stable_id,word,field,category,severity,original_text,correction,rationale,confidence,discovery_source,discovery_date,disposition
SB-0978,regime,definitionUa,other,P1,"Форма правління або правління при владі, зокрема авторитарне чи тоталітарне.","Форма правління при владі, зокрема авторитарне чи тоталітарне.","Connector-separated identical-word repetition (правління або правління); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-1015,retrieve,definitionUa,other,P1,Повернути або повернути щось.,Повернути щось.,"Connector-separated identical-word repetition (Повернути або Повернути); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-1030,rotate,definitionUa,other,P1,"Крутитись, обертатися чи обертатися.","Крутитись, обертатися.","Connector-separated identical-word repetition (обертатися чи обертатися); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-1043,scope,definitionUa,other,P1,"Широта, глибина або охоплення теми; ступінь застосовності або актуальності; домен, компетенція або компетенція.","Широта, глибина або охоплення теми; ступінь застосовності або актуальності; домен, компетенція.","Connector-separated identical-word repetition (компетенція або компетенція); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-1053,senator,definitionUa,other,P1,"Член, який зазвичай обирається до палати або палати законодавчого органу, який називається сенатом, як, наприклад, законодавчі органи Сполучених Штатів і Канади.","Член, який зазвичай обирається до палати законодавчого органу, який називається сенатом, як, наприклад, законодавчі органи Сполучених Штатів і Канади.","Connector-separated identical-word repetition (палати або палати); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-1056,sentiment,definitionUa,other,P1,"Загальна думка, відчуття чи відчуття.","Загальна думка, відчуття.","Connector-separated identical-word repetition (відчуття чи відчуття); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-1146,suburban,definitionUa,other,P1,"Пов’язаний із містом, характерний для нього чи розташований на околиці міста; передмістя або передмістя.","Пов’язаний із містом, характерний для нього чи розташований на околиці міста; передмістя.","Connector-separated identical-word repetition (передмістя або передмістя); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-1173,sustain,definitionUa,other,P1,Підтримувати або підтримувати існування.,Підтримувати існування.,"Connector-separated identical-word repetition (Підтримувати або Підтримувати); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-1182,tactical,definitionUa,other,P1,Що стосується тактики або тактики.,Що стосується тактики.,"Connector-separated identical-word repetition (тактики або тактики); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-1213,tolerate,definitionUa,other,P1,"Дозволити або дозволити без явного схвалення, як правило, якщо це сприймається як негативне.","Дозволити без явного схвалення, як правило, якщо це сприймається як негативне.","Connector-separated identical-word repetition (Дозволити або Дозволити); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-1257,utility,definitionUa,other,P1,Стан чи стан корисності; корисність.,Стан корисності; корисність.,"Connector-separated identical-word repetition (Стан чи Стан); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-1262,validity,definitionUa,other,P1,"Стан дійсності, автентичності чи автентичності.","Стан дійсності, автентичності.","Connector-separated identical-word repetition (автентичності чи автентичності); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-1285,vulnerability,definitionUa,other,P1,"Стан уразливості; сприйнятливість до нападу чи травми, фізичної чи емоційної; стан або стан слабкості чи поганого захисту.","Стан уразливості; сприйнятливість до нападу чи травми, фізичної чи емоційної; стан слабкості чи поганого захисту.","Connector-separated identical-word repetition (стан або стан); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-1323,benefit,definitionUa,other,P1,Перевага; допомога або допомога від чогось.,Перевага; допомога від чогось.,"Connector-separated identical-word repetition (допомога або допомога); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-1326,context,definitionUa,other,P1,"Оточення, обставини, навколишнє середовище, фон або налаштування, які визначають, уточнюють або уточнюють значення події чи іншого явища.","Оточення, обставини, навколишнє середовище, фон або налаштування, які визначають, уточнюють значення події чи іншого явища.","Connector-separated identical-word repetition (уточнюють або уточнюють); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-1412,purchase,definitionUa,other,P1,Придбання права власності або власності на що-небудь за певну ціну; купівля за гроші або їх еквівалент.,Придбання права власності на що-небудь за певну ціну; купівля за гроші або їх еквівалент.,"Connector-separated identical-word repetition (власності або власності); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-1446,ensure,definitionUa,other,P1,Переконатися або переконатися в чомусь (зазвичай у якійсь майбутній події чи стані).,Переконатися в чомусь (зазвичай у якійсь майбутній події чи стані).,"Connector-separated identical-word repetition (Переконатися або Переконатися); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-1587,acknowledged,definitionUa,other,P1,"Загальноприйнятий, визнаний або визнаний.","Загальноприйнятий, визнаний.","Connector-separated identical-word repetition (визнаний або визнаний); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-1589,assigned,definitionUa,other,P1,Який був призначений або призначений для якоїсь мети.,Який був призначений для якоїсь мети.,"Connector-separated identical-word repetition (призначений або призначений); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-1632,channel,definitionUa,other,P1,"Щось, через що проходить інша річ; засіб передачі або передачі.","Щось, через що проходить інша річ; засіб передачі.","Connector-separated identical-word repetition (передачі або передачі); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-1657,isolated,definitionUa,other,P1,Розміщені або стоять окремо або окремо; в ізоляції.,Розміщені або стоять окремо; в ізоляції.,"Connector-separated identical-word repetition (окремо або окремо); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-1725,attained,definitionUa,other,P1,Бути досягнутим або досягнутим.,Бути досягнутим.,"Connector-separated identical-word repetition (досягнутим або досягнутим); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-1756,route,definitionUa,other,P1,"Курс або шлях, який пройдено або пройдено.","Курс або шлях, який пройдено.","Connector-separated identical-word repetition (пройдено або пройдено); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
SB-1780,ongoing,definitionUa,other,P1,Зараз або зараз відбувається; в процесі.,Зараз відбувається; в процесі.,"Connector-separated identical-word repetition (Зараз або Зараз); distinct class, NOT in T5-B adjacent/punctuation scan scope; proposed correction is mechanical and unadjudicated.",medium,T5-B connector-separated diagnostic scan (out-of-scope discovery),2026-09-10,open-deferred-followup
