id,bucket,source,disposition,category,headword,pos,ua,definitionUa,rationale,confidence,reviewer_agree
SB-0437,d_clean,clean-pool,clean,,emergence,n.,поява,"Акт підйому з рідини, виходу з огортання чи приховування, або підняття в поле зору; зовнішній вигляд.",,medium,
SB-0438,d_clean,clean-pool,clean,,empirical,adj.,емпіричний,"Стосовно або засноване на досвіді, на відміну від теорії.",,medium,
SB-0441,d_clean,clean-pool,clean,,encompass,v.,охоплювати,"Включити в його сферу дії; обвести або обійти так, щоб оточити; підкладати; містити.",,medium,
SB-0442,d_clean,clean-pool,clean,,encouragement,n.,заохочення,"Слова чи дії, які підвищують чиюсь впевненість",,medium,
SB-0444,d_clean,clean-pool,clean,,endeavour,n.,зусилля,Серйозна або наполеглива спроба досягти певної мети.,,medium,
SB-0445,d_clean,clean-pool,clean,,endless,adj.,нескінченний,Не маючи кінця.,,medium,
SB-0446,d_clean,clean-pool,clean,,endorse,v.,схвалити,"Виражати підтримку чи схвалення, особливо офіційно чи публічно; надати індосамент.",,medium,
SB-0453,d_clean,clean-pool,clean,,enquire,v.,запитувати,"Просити інформацію або ставити запитання, щоб щось з’ясувати.",,medium,
SB-0455,d_clean,clean-pool,clean,,enrol,v.,зарахувати,"Офіційно записати або записатися на курс, програму чи до установи.",,medium,
SB-0457,d_clean,clean-pool,clean,,enterprise,n.,підприємство,"Компанія, бізнес, організація чи інша цілеспрямована діяльність.",,medium,
SB-0458,d_clean,clean-pool,clean,,enthusiast,n.,ентузіаст,"Людина, сповнена або керована ентузіазмом.",,medium,
SB-0460,d_clean,clean-pool,clean,,entity,n.,сутність,"Те, що існує як окрема одиниця, часто використовується для організацій, які не мають фізичної форми.",,medium,
SB-0461,d_clean,clean-pool,clean,,epidemic,n.,епідемія,"Широко поширене захворювання, яке вражає багато людей у ​​популяції.",,medium,
SB-0464,d_clean,clean-pool,clean,,erect,v.,звести,Збирати шляхом з’єднання матеріалів або частин.,,medium,
SB-0466,d_clean,clean-pool,clean,,essence,n.,суть,Внутрішня природа речі або ідеї.,,medium,
SB-0467,c_known_open,known-open-confirmation,P1,grammar-calque-fragment,establishment,n.,заклад,"Те, що встановлено; як форма правління, постійна організація, бізнес або сила, або місце, де людина постійно проживає.","Run-on, malformed establishment list ('...постійна організація, бізнес або сила...'); 'сила' is an off gloss and the list is grammatically awkward.",medium,True
SB-0468,d_clean,clean-pool,clean,,eternal,adj.,вічний,Триває назавжди; нескінченний.,,medium,
SB-0470,d_clean,clean-pool,clean,,evoke,v.,викликати,"Викликати прояв чогось (емоції, картини тощо) в чиємусь розумі чи уяві.",,medium,
SB-0471,d_clean,clean-pool,clean,,evolutionary,adj.,еволюційний,Відносно біологічної теорії еволюції або до неї.,,medium,
SB-0472,d_clean,clean-pool,clean,,exaggerate,v.,перебільшувати,"Перебільшувати, описувати більше, ніж факт.",,medium,
SB-0474,d_clean,new-finding,P2,grammar-calque-fragment,exceptional,adj.,винятковий,Формування винятку; не звичайний; незвичайний; рідкісні.,'exceptional' led with awkward calque 'Формування винятку' (formation of an exception) and ends with number-disagreeing plural adj 'рідкісні' (should be sing. 'рідкісний'); core sense 'незвичайний' present.,medium,
SB-0475,d_clean,clean-pool,clean,,excess,"n., adj.",надлишок,"Стан перевищення або виходу за межі; стан поза достатністю, необхідністю або обов'язком; більше, ніж те, що є звичайним або належним.",,medium,
SB-0478,d_clean,clean-pool,clean,,exclusively,adv.,виключно,на виключення будь-чого або будь-кого іншого; виключно або цілком,,medium,
SB-0479,d_clean,clean-pool,clean,,execute,v.,виконувати,Здійснювати; ввести в дію.,,medium,
SB-0480,d_clean,clean-pool,clean,,execution,n.,виконання,"Дія, спосіб або стиль виконання (дій, маневрів, вистав).",,medium,
SB-0482,d_clean,clean-pool,clean,,exile,n.,вигнання,Стан вигнання з дому чи країни.,,medium,
SB-0485,d_clean,clean-pool,clean,,experimental,adj.,експериментальний,Відносно або засноване на експерименті.,,medium,
SB-0489,d_clean,clean-pool,clean,,exploitation,n.,експлуатація,Неправомірне використання чого-небудь в корисливих цілях.,,medium,
SB-0492,d_clean,clean-pool,clean,,extremist,n.,екстреміст,"Людина, яка дотримується крайніх поглядів, особливо той, хто відстоює такі погляди; радикал або фанатик.",,medium,
SB-0493,d_clean,new-finding,P2,grammar-calque-fragment,facilitate,v.,сприяти,Зробити легко або легше.,'facilitate' glossed 'Зробити легко' uses adverb 'легко' where 'зробити легким/полегшити' is required; 'або легше' is fine.,low,
SB-0494,d_clean,clean-pool,clean,,faction,n.,фракція,"Група людей, особливо всередині політичної організації, яка висловлює спільні переконання або думку, відмінну від людей, які не є частиною групи.",,medium,
SB-0498,c_known_open,known-open-confirmation,P1,pos-morphology-mismatch,fatal,adj.,фатальний,Заподіяння смерті або руйнування.,Adjective 'fatal' defined with a noun head 'Заподіяння' ('the causing'); should be adjectival (смертельний/згубний).,high,True
SB-0499,d_clean,clean-pool,clean,,fate,n.,доля,"Передбачувана причина, сила, принцип або божественна воля, яка визначає події.",,medium,
SB-0500,d_clean,clean-pool,clean,,favourable,adj.,сприятливий,"Вираження або вказівка ​​на прихильність чи доброзичливість; схвалюючи, заохочуючи.",,medium,
SB-0501,d_clean,clean-pool,clean,,feat,n.,подвиг; визначне досягнення,Відносно рідкісне або важке досягнення.,,medium,
SB-0503,d_clean,clean-pool,clean,,fibre,n.,клітковина,Харчові волокна.,,medium,
SB-0508,d_clean,clean-pool,clean,,firearm,n.,вогнепальна зброя,"Особиста зброя, яка використовує вибуховий порох для приведення в дію снаряда, який часто виготовляється зі свинцю.",,medium,
SB-0511,d_clean,clean-pool,clean,,flaw,n.,недолік,"Дефект, помилка або недосконалість, особливо прихована.",,medium,
SB-0512,d_clean,clean-pool,clean,,flawed,adj.,дефектний,Наявність недоліку або недосконалості.,,medium,
SB-0513,d_clean,clean-pool,clean,,flee,v.,тікати,Втікати; втекти.,,medium,
SB-0514,d_clean,clean-pool,clean,,fleet,n.,флот,Група суден або транспортних засобів.,,medium,
SB-0515,d_clean,clean-pool,clean,,flesh,n.,плоть,"М’які тканини тіла, особливо м’язи та жир.",,medium,
SB-0516,d_clean,clean-pool,clean,,flexibility,n.,гнучкість,"Якість бути гнучким, фізично чи метафорично.",,medium,
SB-0518,d_clean,clean-pool,clean,,fluid,n.,рідина,Рідина (на відміну від твердого або газоподібного).,,medium,
SB-0519,d_clean,clean-pool,clean,,footage,n.,кадри,"Кількість плівки або стрічки, яка була використана для запису чогось.",,medium,
SB-0520,d_clean,clean-pool,clean,,foreigner,n.,іноземець,Людина з чужої країни.,,medium,
SB-0522,d_clean,clean-pool,clean,,formula,n.,формула,План або метод вирішення проблеми або досягнення результату.,,medium,
SB-0523,d_clean,clean-pool,clean,,formulate,v.,формулювати,Викласти в ясній і певній формі твердження або вираз.,,medium,
SB-0524,d_clean,clean-pool,clean,,forth,adv.,вперед,"Назовні, уперед або від певного місця; переважно у сталих виразах.",,medium,
SB-0527,d_clean,clean-pool,clean,,fragile,adj.,крихкий,"Легко ламається, не міцний; з ніжного матеріалу.",,medium,
SB-0528,d_clean,clean-pool,clean,,franchise,n.,франшиза; право на здійснення діяльності,"Дозвіл, наданий компанією на продаж або розповсюдження своїх товарів чи послуг на певній території.",,medium,
SB-0533,d_clean,clean-pool,clean,,functional,adj.,функціональний,"Корисний; служіння меті, виконання функції.",,medium,
SB-0534,d_clean,clean-pool,clean,,fundraising,n.,збір коштів,Процес збору грошей шляхом запитів пожертвувань від приватних осіб і компаній.,,medium,
SB-0535,d_clean,clean-pool,clean,,funeral,n.,похорон,"Церемонія вшанування та пам’яті померлої людини, яка часто відрізняється від панахиди присутністю тіла померлого.",,medium,
SB-0537,d_clean,clean-pool,clean,,gambling,n.,азартні ігри,"Діяльність, що характеризується балансом між виграшем і програшем, що регулюється сумішшю навичок і випадковості, як правило, із ставкою на результат.",,medium,
SB-0539,d_clean,clean-pool,clean,,gaze,"n., v.",погляд,Дивитися пильно або серйозно.,,medium,
SB-0542,d_clean,clean-pool,clean,,genocide,n.,геноцид,"Систематичне та умисне знищення групи людей; як правило, вбиваючи значну кількість з них на основі їхньої етнічної приналежності, релігії чи національності.",,medium,
SB-0543,d_clean,clean-pool,clean,,glance,"n., v.",погляд,"Звернути (очі чи погляд) на щось, часто ненадовго.",,medium,
SB-0545,d_clean,clean-pool,clean,,glorious,adj.,славний,"Демонстрація атрибутів, якостей або вчинків, які гідні чи отримують славу.",,medium,
SB-0546,d_clean,clean-pool,clean,,glory,n.,слава,"Честь, захоплення чи відзнака, надані особі чи речі за спільною згодою; висока репутація; відомість.",,medium,
SB-0547,d_clean,clean-pool,clean,,governance,n.,управління,"Процес, або сила, управління; уряд або адміністрація.",,medium,
SB-0550,d_clean,clean-pool,clean,,grave (for dead person),n.,могила,"Місце в землі, де поховано померлу людину.",,medium,
SB-0551,d_clean,clean-pool,clean,,grave (serious),adj.,серйозний; тяжкий,"Надзвичайно серйозний, небезпечний або такий, що викликає значне занепокоєння.",,medium,
SB-0553,d_clean,clean-pool,clean,,grid,n.,сітка,"Система доставки електроенергії, що складається з різних підстанцій, трансформаторів і генераторів, з'єднаних дротом.",,medium,
SB-0556,d_clean,clean-pool,clean,,grind,v.,молоти,Розрізати на дрібніші шматки шляхом подрібнення бічними рухами.,,medium,
SB-0559,d_clean,clean-pool,clean,,guerrilla,n.,партизан,"Солдат у невеликій незалежній групі, який бореться проти уряду чи регулярних сил шляхом раптових набігів.",,medium,
SB-0560,d_clean,clean-pool,clean,,guidance,n.,керівництво,Порада або консультація з якоїсь теми.,,medium,
SB-0561,d_clean,clean-pool,clean,,guilt,n.,вина,Відповідальність за протиправні дії.,,medium,
SB-0562,d_clean,clean-pool,clean,,gut,n.,кишка,"Травний тракт, особливо кишечник.",,medium,
SB-0564,d_clean,clean-pool,clean,,halfway,adv.,на півдорозі,Половина шляху між двома точками.,,medium,
SB-0566,d_clean,clean-pool,clean,,handful,n.,жменя,"Кількість, яку рука може схопити або вмістити.",,medium,
SB-0567,d_clean,clean-pool,clean,,handling,n.,поводження,"Торкатися, контролювати, керувати, використовувати, піклуватися тощо рукою або руками або як руками.",,medium,
SB-0568,d_clean,clean-pool,clean,,handy,adj.,зручний,"Простий у використанні, корисний.",,medium,
SB-0571,c_known_open,known-open-confirmation,P1,semantic-pedagogical-error,harmony,n.,гармонія,Договір чи згода.,'Договір' (a contract) is wrong for harmony; harmony = 'співзвуччя/злагода'.,high,True
SB-0573,d_clean,clean-pool,clean,,harvest,"n., v.",урожай,Принести врожай; жати; підбирати.,,medium,
SB-0574,d_clean,clean-pool,clean,,hatred,n.,ненависть,Сильна відраза; сильна неприязнь.,,medium,
SB-0575,d_clean,clean-pool,clean,,haunt,v.,переслідувати,Населяти або часто відвідувати (найчастіше використовується стосовно привидів).,,medium,
SB-0578,d_clean,clean-pool,clean,,heritage,n.,спадщина,"традиція; практика або набір цінностей, які передаються від попередніх поколінь через сім’ї або через інституційну пам’ять.",,medium,
SB-0579,d_clean,clean-pool,clean,,hierarchy,n.,ієрархія,"Соціальна, релігійна, економічна чи політична система або організація, в якій люди або групи людей перевищують інших на основі їхнього статусу, авторитету чи інших рис.",,medium,
SB-0580,d_clean,clean-pool,clean,,high-profile,adj.,гучний,Важливий або добре розрекламований.,,medium,
SB-0581,d_clean,clean-pool,clean,,hint,"n., v.",підказка,Мати на увазі без прямого твердження; щоб надати підказку.,,medium,
SB-0582,d_clean,clean-pool,clean,,homeland,n.,батьківщина,"Країна, яку людина вважає домом.",,medium,
SB-0585,d_clean,clean-pool,clean,,horizon,n.,горизонт,"Видима горизонтальна лінія (у всіх напрямках), де небо, здається, зустрічається з землею на відстані.",,medium,
SB-0586,d_clean,clean-pool,clean,,horn,n.,ріг,"Твердий наріст кератину, який виступає з верхньої частини голови певних тварин, як правило, парний.",,medium,
SB-0587,d_clean,clean-pool,clean,,hostage,n.,заручник,"Особа, захоплена з метою примусити іншу сторону діяти (або утримуватися від дій) певним чином через загрозу заподіяння шкоди заручнику.",,medium,
SB-0588,d_clean,clean-pool,clean,,hostile,adj.,ворожий,Не доброзичливий; відповідний ворогові; показ розташування ворога; прояв злої волі та зловмисності або бажання перешкодити та завдати шкоди.,,medium,
SB-0589,d_clean,clean-pool,clean,,hostility,n.,ворожість,Стан ворожості.,,medium,
SB-0590,d_clean,clean-pool,clean,,humanitarian,adj.,гуманітарний,Що стосується добробуту людей.,,medium,
SB-0591,d_clean,clean-pool,clean,,humanity,n.,людство,Людство; люди як група.,,medium,
SB-0592,d_clean,clean-pool,clean,,humble,adj.,скромний,"Мати низьку думку про себе; не гордий, зарозумілий або самовпевнений; скромний.",,medium,
SB-0593,d_clean,clean-pool,clean,,hydrogen,n.,водень,"Найлегший хімічний елемент (символ H), з атомним номером 1 і атомною вагою 1,008.",,medium,
SB-0595,d_clean,clean-pool,clean,,ideological,adj.,ідеологічний,Що стосується однієї чи кількох ідеологій.,,medium,
SB-0596,d_clean,clean-pool,clean,,ideology,n.,ідеологія,"Доктрина, філософія, сукупність переконань або принципів, що належать окремій особі чи групі.",,medium,
SB-0598,d_clean,clean-pool,clean,,ignorance,n.,незнання,Стан необізнаності або неосвіченості; брак знань або інформації.,,medium,
SB-0599,d_clean,clean-pool,clean,,imagery,n.,зображення,"Риторичне оформлення в письмовій чи усній формі; яскраві описи, що представляють або навіюють образи чуттєвих об'єктів; фігури в дискурсі.",,medium,
SB-0600,d_clean,clean-pool,clean,,immense,adj.,величезний,"Величезний, гігантський, дуже великий.",,medium,
SB-0602,d_clean,clean-pool,clean,,implementation,n.,впровадження,"Процес переходу ідеї від концепції до реальності. У бізнесі, інженерії та інших сферах реалізація відноситься до процесу будівництва, а не до процесу проектування.",,medium,
SB-0605,d_clean,clean-pool,clean,,inability,n.,неспроможність,Відсутність вміння щось робити; недієздатність.,,medium,
SB-0610,d_clean,clean-pool,clean,,inclusion,n.,включення,"Акт включення, тобто додавання або анексування (чогось) до групи, набору або сукупності.",,medium,
SB-0611,d_clean,clean-pool,clean,,incur,v.,понести,"Накликати на себе або піддаватися, особливо чомусь незручному, шкідливому чи обтяжливому; стати відповідальним або підлягати.",,medium,
SB-0614,d_clean,clean-pool,clean,,indigenous,adj.,корінний,"Народився або походить з країни чи регіону, особливо до вторгнення.",,medium,
SB-0619,d_clean,clean-pool,clean,,infant,n.,немовля,"Дуже молода людська істота, від народження до віку від шести місяців до двох років після народження, яка потребує майже постійного догляду та уваги.",,medium,
SB-0620,d_clean,clean-pool,clean,,infect,v.,заразити,"Привести (тіло або його частину) в контакт з речовиною, що викликає хворобу (збудником), щоб збудник почав діяти на організм;",,medium,
SB-0622,d_clean,clean-pool,clean,,influential,adj.,впливовий,Володіння чи здійснення впливу.,,medium,
SB-0623,d_clean,clean-pool,clean,,inherent,adj.,властивий,"Природно, як частина або наслідок чогось.",,medium,
SB-0626,d_clean,clean-pool,clean,,inject,v.,вводити,"Робити ін’єкцію (комусь або чомусь), особливо ліків або наркотиків.",,medium,
SB-0628,d_clean,clean-pool,clean,,injustice,n.,несправедливість,Порушення прав іншої людини чи людей.,,medium,
SB-0629,d_clean,clean-pool,clean,,inmate,n.,в'язень,"Особа, яка перебуває в установі, наприклад, в’язниці (як засуджений) або лікарні (як пацієнт).",,medium,
SB-0630,d_clean,clean-pool,clean,,insertion,n.,вставка,Акт вставки або щось вставлене.,,medium,
SB-0631,d_clean,clean-pool,clean,,insider,n.,інсайдер,"Особа, яка володіє спеціальними знаннями про внутрішню роботу групи, організації чи установи.",,medium,
SB-0632,d_clean,clean-pool,clean,,inspect,v.,оглядати,Вивчати критично або уважно; особливо для пошуку проблем або визначення стану; придивлятися.,,medium,
SB-0633,d_clean,clean-pool,clean,,inspection,n.,огляд,"Акт вивчення чогось, часто уважно.",,medium,
SB-0634,d_clean,clean-pool,clean,,inspiration,n.,натхнення,"Акт або процес піднесення чи стимулювання впливу на інтелект, емоції чи творчість.",,medium,
SB-0635,d_clean,clean-pool,clean,,instinct,n.,інстинкт,Природний або вроджений імпульс або поведінка.,,medium,
SB-0636,d_clean,clean-pool,clean,,institutional,adj.,інституційний,"З, відноситься до, характерний або організований за принципами установи.",,medium,
SB-0639,d_clean,clean-pool,clean,,insufficient,adj.,недостатній,"Недостатньо; типу або виду, якого недостатньо, який не задовольняє вимоги чи потреби.",,medium,
SB-0642,d_clean,clean-pool,clean,,intake,n.,споживання,Прийнята кількість.,,medium,
SB-0644,d_clean,clean-pool,clean,,integrated,adj.,інтегрований,"складений і скоординований, щоб утворити ціле",,medium,
SB-0647,c_known_open,known-open-confirmation,P1,semantic-pedagogical-error,intellectual,n.,інтелектуал,"Розумна, вчена людина, особливо та, яка говорить про вчені питання.",Defining trait 'говорить про вчені питання' (merely talks about learned matters) misrepresents 'intellectual'.,medium,True
SB-0648,d_clean,clean-pool,clean,,intensify,v.,посилити,Стати інтенсивним або більш інтенсивним; діяти зі зростаючою силою чи енергією.,,medium,
SB-0649,d_clean,clean-pool,clean,,intensity,n.,інтенсивність,Якість інтенсивності.,,medium,
SB-0650,d_clean,clean-pool,clean,,intensive,adj.,інтенсивний,Виконується з інтенсивністю або значною мірою; ретельний.,,medium,
SB-0651,d_clean,clean-pool,clean,,intent,n.,намір,Щось призначене.,,medium,
SB-0652,d_clean,clean-pool,clean,,interactive,adj.,інтерактивний,Пропозиція або залучення взаємодії з користувачем.,,medium,
SB-0653,d_clean,clean-pool,clean,,interface,n.,інтерфейс,Точка взаємозв'язку між системами або підсистемами.,,medium,
SB-0654,d_clean,clean-pool,clean,,interfere,v.,заважати,"Вплутуватися або втягуватись, завдаючи занепокоєння.",,medium,
SB-0656,d_clean,clean-pool,clean,,interim,adj.,тимчасовий,Тимчасовий.,,medium,
SB-0658,d_clean,clean-pool,clean,,intermediate,adj.,проміжний,Знаходження між двома крайнощами або в середині діапазону.,,medium,
SB-0659,d_clean,new-finding,P2,other,intervene,v.,втручатися,"Втягнутися в ситуацію, щоб змінити або запобігти дії. [з в]",definitionUa carries a stray editorial artifact '[з в]' leaked into learner-facing text.,medium,
SB-0662,d_clean,clean-pool,clean,,intriguing,adj.,інтригуючий,Викликання бажання знати більше; таємничий.,,medium,
SB-0664,d_clean,clean-pool,clean,,invisible,adj.,невидимий,Неможливо побачити; з поля зору; не видно.,,medium,
SB-0668,d_clean,clean-pool,clean,,ironically,adv.,іронічно,В іронічній манері; певною мірою демонструючи іронію.,,medium,
SB-0671,d_clean,clean-pool,clean,,isolation,n.,ізоляція,"Стан ізольованості, відчуженості або відокремленості; стан віддаленості від інших людей.",,medium,
SB-0672,d_clean,clean-pool,clean,,judicial,adj.,судовий,Що стосується відправлення правосуддя.,,medium,
SB-0674,d_clean,clean-pool,clean,,jurisdiction,n.,юрисдикція,"Влада, право чи повноваження тлумачити та застосовувати закон.",,medium,
SB-0676,d_clean,clean-pool,clean,,justification,n.,виправдання,"Причина, пояснення або виправдання, які, на думку когось, надають переконливу, морально прийнятну підтримку для поведінки, віри чи події.",,medium,
SB-0678,d_clean,clean-pool,clean,,kidney,n.,нирка,"Орган в організмі, який фільтрує кров, утворюючи сечу.",,medium,
SB-0681,d_clean,clean-pool,clean,,landlord,n.,орендодавець,"Особа, яка здає в оренду нерухоме майно; орендодавець.",,medium,
SB-0685,d_clean,clean-pool,clean,,laser,n.,лазер,"Пристрій, який створює монохроматичний когерентний пучок світла.",,medium,
SB-0687,d_clean,clean-pool,clean,,lawn,n.,газон,"Земля (зазвичай перед або навколо будинку), вкрита травою, ретельно підкошена.",,medium,
SB-0688,d_clean,clean-pool,clean,,lawsuit,n.,позов,"У цивільному праві — справа, у якій двоє або більше людей не погоджуються, і одна або більше сторін передають справу до суду для вирішення.",,medium,
SB-0689,d_clean,clean-pool,clean,,layout,n.,макет,Структуроване розташування елементів у певних межах.,,medium,
SB-0692,d_clean,clean-pool,clean,,legacy,n.,спадок,Щось успадковане від попередника чи минулого.,,medium,
SB-0693,d_clean,clean-pool,clean,,legendary,adj.,легендарний,"Маючи неймовірну велич; чудовий до такої міри, щоб викликати історії.",,medium,
SB-0694,d_clean,clean-pool,clean,,legislation,n.,законодавство,"Закон, прийнятий законодавчим або іншим керівним органом.",,medium,
SB-0695,d_clean,clean-pool,clean,,legislative,adj.,законодавчий,Створення закону або законів або наявність повноважень приймати закони; правотворчість.,,medium,
SB-0697,d_clean,clean-pool,clean,,legitimate,adj.,законний,Відповідно до закону або встановлених правових форм і вимог.,,medium,
SB-0700,d_clean,clean-pool,clean,,lesser,adj.,менший,"З двох (або, рідше, більше двох) речей: меншої за розміром (менше), за цінністю, за важливістю тощо.",,medium,
SB-0704,d_clean,clean-pool,clean,,liberation,n.,звільнення,Акт звільнення або стан звільнення.,,medium,
SB-0709,d_clean,clean-pool,clean,,limb,n.,кінцівка,"Основний відросток людини або тварини, який використовується для пересування (наприклад, рука, нога або крило).",,medium,
SB-0710,d_clean,clean-pool,clean,,linear,adj.,лінійний,Має форму лінії; прямі або приблизно прямі; за прямим курсом.,,medium,
SB-0711,d_clean,clean-pool,clean,,line-up,n.,склад учасників; програма,"Склад людей або виконавців, які беруть участь у події, команді чи програмі.",,medium,
SB-0713,d_clean,clean-pool,clean,,listing,n.,список,Запис у списку або каталозі.,,medium,
SB-0714,d_clean,clean-pool,clean,,literacy,n.,грамотність,Уміння читати і писати.,,medium,
SB-0715,d_clean,clean-pool,clean,,liver,n.,печінка,"Великий орган в організмі, який зберігає та метаболізує поживні речовини, знищує токсини та виробляє жовч. Він відповідає за тисячі біохімічних реакцій.",,medium,
SB-0718,d_clean,clean-pool,clean,,logic,n.,логіка,"Метод людського мислення, який передбачає лінійне, поетапне мислення про те, як можна вирішити проблему. Логіка є основою багатьох принципів, включаючи науковий метод.",,medium,
SB-0719,d_clean,clean-pool,clean,,long-standing,adj.,давній,Існуючи тривалий час; тривалого існування.,,medium,
SB-0720,d_clean,clean-pool,clean,,long-time,adj.,давній,"Такий, що існує, триває або виконує певну роль протягом тривалого часу.",,medium,
SB-0723,d_clean,clean-pool,clean,,loyalty,n.,вірність,"Вірність або відданість якійсь людині, справі чи нації.",,medium,
SB-0724,c_known_open,known-open-confirmation,P1,grammar-calque-fragment,machinery,n.,машини,"Машини, що складають виробничий апарат на заводі тощо, разом.",Malformed word order: trailing 'разом' dangles at the end of the definition.,high,True
SB-0726,d_clean,clean-pool,clean,,magistrate,n.,суддя,"Судовий службовець з обмеженими повноваженнями для адміністрування та забезпечення виконання закону. Магістратський суд може мати юрисдикцію в цивільних або кримінальних справах, або в обох.",,medium,
SB-0728,d_clean,clean-pool,clean,,magnitude,n.,величина,"Абсолютний або відносний розмір, ступінь або важливість чогось.",,medium,
SB-0729,d_clean,clean-pool,clean,,mainland,n.,материк,"Континент; основна земля, на відміну від островів або півострова.",,medium,
SB-0730,d_clean,clean-pool,clean,,mainstream,"n., adj.",мейнстрим; загальноприйнятий напрям,"Те, що загальне; норма.",,medium,
SB-0732,d_clean,clean-pool,clean,,mandate,n.,мандат; офіційні повноваження,Офіційна або авторитетна команда; наказ чи розпорядження; комісія; судовий припис; дозвіл.,,medium,
SB-0733,d_clean,clean-pool,clean,,mandatory,adj.,обов'язковий,обов'язковий; вимагається або наказується владою.,,medium,
SB-0736,d_clean,clean-pool,clean,,manipulation,n.,маніпуляція,Практика маніпулювання або стан маніпулювання.,,medium,
SB-0737,d_clean,clean-pool,clean,,manuscript,n.,рукопис,"Книга, твір або будь-який інший документ, написаний від руки (або машинописний), не відтворений механічно.",,medium,
SB-0740,d_clean,clean-pool,clean,,marine,adj.,морський,Приналежність або характеристика моря; існуючі або знайдені в морі; утворені або вироблені морем.,,medium,
SB-0741,d_clean,clean-pool,clean,,marketplace,n.,ринок,Світ комерції та торгівлі.,,medium,
SB-0742,d_clean,clean-pool,clean,,mask,n.,маска,"Покриття, або часткове покриття, для обличчя, яке використовується для маскування або захисту.",,medium,
SB-0743,d_clean,clean-pool,clean,,massacre,n.,різанина,"Вбивство значної кількості (зазвичай обмежене людьми), де спротив чинити незначний або взагалі відсутній, із застосуванням невибіркового насильства, без необхідності та/або всупереч цивілізованим нормам.",,medium,
SB-0746,d_clean,clean-pool,clean,,maximize,v.,максимізувати,Зробити якомога більшим.,,medium,
SB-0747,d_clean,clean-pool,clean,,meaningful,adj.,значущий,"Має значення, значний.",,medium,
SB-0748,d_clean,clean-pool,clean,,meantime,n.,тим часом,"Час, витрачений на очікування іншої події; час між ними.",,medium,
SB-0749,c_known_open,known-open-confirmation,P1,pos-morphology-mismatch,medieval,adj.,середньовічний,"Середньовіччя або пов’язане з ним, період приблизно з 500 до 1500 року нашої ери.",Adjective 'medieval' defined starting with the noun 'Середньовіччя'; POS mismatch.,medium,True
SB-0751,d_clean,clean-pool,clean,,melody,n.,мелодія,"Послідовність нот, що складає музичну фразу.",,medium,
SB-0752,d_clean,clean-pool,clean,,memo,n.,записка,Коротка записка; меморандум.,,medium,
SB-0753,d_clean,clean-pool,clean,,memoir,n.,мемуари,"автобіографія; книга, що описує особистий досвід автора.",,medium,
SB-0754,d_clean,clean-pool,clean,,memorial,n.,меморіал,"Щось, наприклад пам'ятник, яким хтось або щось згадується.",,medium,
SB-0755,d_clean,clean-pool,clean,,mentor,n.,ментор,Мудрий і надійний порадник або вчитель.,,medium,
SB-0756,d_clean,clean-pool,clean,,merchant,n.,купець,"Людина, яка торгує товарами з метою отримання прибутку.",,medium,
SB-0757,d_clean,clean-pool,clean,,mercy,n.,милосердя,"Прощення або співчуття, особливо до тих, кому пощастило менше.",,medium,
SB-0760,d_clean,clean-pool,clean,,merge,v.,злити,Поєднати в ціле.,,medium,
SB-0761,d_clean,clean-pool,clean,,merger,n.,злиття,"Юридичне об’єднання двох або більше корпорацій в одну юридичну особу, активи та зобов’язання, як правило, бере на себе сторона-покупець.",,medium,
SB-0762,d_clean,clean-pool,clean,,merit,n.,заслуга,"Щось, що заслуговує або гідне позитивного визнання чи винагороди.",,medium,
SB-0763,d_clean,clean-pool,clean,,methodology,n.,методологія,"Набір методів, практик, процедур і правил, які використовують ті, хто працює в певній сфері.",,medium,
SB-0764,d_clean,clean-pool,clean,,midst,n.,посеред,Місце в середині чого-небудь; може використовуватися в буквальному або метафоричному значенні.,,medium,
SB-0765,d_clean,clean-pool,clean,,migration,n.,міграція,Випадок переїзду на деякий час жити в інше місце.,,medium,
SB-0768,d_clean,clean-pool,clean,,mill,n.,млин,"Пристрій для подрібнення таких речовин, як зерно, насіння тощо (деякі малі та прості, а інші великі та складні).",,medium,
SB-0769,d_clean,clean-pool,clean,,minimal,adj.,мінімальний,"Найменша можлива сума, кількість або ступінь.",,medium,
SB-0770,d_clean,clean-pool,clean,,minimize,v.,мінімізувати,Зробити (щось) менше або якомога менше; скорочуватися; зменшити.,,medium,
SB-0771,d_clean,clean-pool,clean,,mining,n.,видобуток,Діяльність із вилучення цінних ресурсів (часто мінералів) із землі.,,medium,
SB-0774,d_clean,clean-pool,clean,,miracle,n.,чудо,"Подія, яка здається незрозумілою за законами природи і тому вважається надприродною за походженням.",,medium,
SB-0775,d_clean,clean-pool,clean,,misery,n.,страждання,Велике нещастя; сильний біль тіла або розуму; убогість; дистрес; горе.,,medium,
SB-0776,d_clean,clean-pool,clean,,misleading,adj.,оманливий,"Оманливий або схильний вводити в оману чи створювати хибне враження, навіть якщо технічно відповідає дійсності.",,medium,
SB-0779,d_clean,clean-pool,clean,,mobility,n.,мобільність,Здатність до пересування; здатність до руху.,,medium,
SB-0782,d_clean,clean-pool,clean,,modification,n.,модифікація,Результат модифікації чогось; нову або змінену форму.,,medium,
SB-0784,d_clean,clean-pool,clean,,monk,n.,чернець,"Чоловічий член чернечого ордену, який присвятив своє життя релігійному служінню.",,medium,
