id,word,pos,ua,definitionUa,pass_a_disposition,pass_a_rationale,pass_b_disposition,pass_b_rationale,evidence_quote,final_disposition,confidence,category,rationale,proposed_target,proposed_value
SB-1010,respectively,adv.,відповідно,"У відносний спосіб; часто використовується під час порівняння списків масивів, де цей термін означає, що елементи в списках відповідають один одному в тому порядку, в якому вони вказані.",P1,«У відносний спосіб» is a false literal rendering; the arrays explanation is needlessly technical and awkward.,clean-candidate,"respectively → «відповідно»; definition (in a relative manner, matching items in listed order) is accurate; adverb POS matches.",У відносний спосіб,P1,high,semantic-fidelity,«У відносний спосіб» is a false literal rendering and the arrays explanation is needlessly technical — confirmed.,definitionUa,У тому самому порядку для кожного з уже названих елементів.
SB-0271,contractor,n.,підрядник,"Особа або компанія, яка будує або вдосконалює будівлі чи споруди.",P1,"The definition restricts contractor to construction, omitting contracted services and other work.",clean-candidate,contractor → «підрядник»; definition (a person/company that builds or improves structures) is accurate; noun POS matches.,будує або вдосконалює будівлі,P1,high,sense-coverage,"the definition restricts contractor to construction, omitting contracted services and other work — sense-coverage confirmed.",definitionUa,"Особа або компанія, що за договором виконує роботи чи надає послуги."
SB-1769,convinced,word family,переконаний,"У стані віри, особливо на основі доказів, але не обов'язково.",P1,«У стані віри» is a literal calque and does not express being firmly persuaded.,clean-candidate,"convinced → «переконаний»; definition (in a state of belief, esp. based on evidence) conveys the sense despite the trailing «але не обов'язково»; adjective POS matches.",У стані віри,P1,high,calque-russianism,«У стані віри» is a literal calque and does not express being firmly persuaded — confirmed.,definitionUa,Твердий у певному переконанні або впевнений у його правдивості.
SB-1524,predicted,word family,передбачив,відомо заздалегідь,P1,ua masculine past «передбачив» and lowercase impersonal «відомо» do not align with predicted.,P2,"predicted glossed «передбачив» is a 3sg masculine past-tense verb, an odd citation for a participle/word-family entry; definition «відомо заздалегідь» is a lowercase fragment.",передбачив,P1,high,pos-alignment,ua «передбачив» is a masculine-past finite verb (a bad citation) and «відомо заздалегідь» is a lowercase fragment — the combined defect is confirmed over Pass B's P2.,both,ua: передбачений | definitionUa: Визначений або очікуваний заздалегідь.
SB-0823,offspring,n.,потомство,дочка чи син людини; дитина людини.,P2,The definition starts with a lowercase letter.,clean-candidate,offspring → «потомство»; definition (a person's daughter or son; a person's child) is accurate; noun POS matches.,дочка чи син людини,P2,high,ui-formatting,"the definition starts with a lowercase letter — cosmetic P2, confirmed.",definitionUa,Дочка або син людини; її дитина чи нащадок.
SB-1465,physical,word family,фізичний,"Відноситься до світу, як його розуміють почуттями, а не розумом; матеріальний, конкретний; справжній. Має відношення до матеріального світу.",P1,The definition twice uses Russian-influenced «відноситься/має відношення».,clean-candidate,physical → «фізичний»; definition (of the material world perceived by senses) is accurate; adjective POS matches.,Відноситься до світу,P1,high,calque-russianism,the definition twice uses the Russian-influenced «відноситься/має відношення» — calque confirmed.,definitionUa,Пов’язаний із матеріальним світом або тілом; відчутний і конкретний.
SB-0360,detain,v.,затримувати,"Перешкоджати комусь продовжити, стримуючи їх або висуваючи претензії на їх увагу.",P1,The definition uses mismatched plural pronouns and an opaque attention-claim sense instead of detention.,clean-candidate,detain → «затримувати»; definition (prevent someone from proceeding by holding them back or claiming their attention) is accurate; verb POS matches.,висуваючи претензії на їх увагу,P1,high,semantic-fidelity,the definition uses mismatched plural pronouns and an opaque attention-claim sense instead of detention — confirmed.,definitionUa,Не дозволяти комусь піти або тимчасово тримати під вартою.
SB-1482,volume,word family,обсяг,"Тривимірна міра простору, яка складається з довжини, ширини та висоти. Він вимірюється в одиницях кубічних сантиметрів у метричних, кубічних дюймах або кубічних футах в англійській мові.",P1,The unit sentence confuses metric/imperial systems with languages and is grammatically malformed.,clean-candidate,"volume → «обсяг»; definition (a three-dimensional measure of space of length, width and height, measured in cubic units) is accurate; noun POS matches.",кубічних футах в англійській мові,P1,high,grammar-syntax,the unit sentence confuses metric/imperial systems with languages and is grammatically malformed — confirmed.,definitionUa,"Кількість тривимірного простору, яку займає тіло; вимірюється в кубічних одиницях."
SB-0172,cattle,n.,худоба,"Домашня тварина виду Bos taurus (корови, бики, бички, воли тощо) та інші копитні ссавці роду Bos.",P1,The plural mass noun cattle is defined as one domestic animal and then broadened inconsistently.,clean-candidate,"cattle → «худоба»; definition (domestic animals of the species Bos taurus and related bovines) is accurate; the Latin binomial is a legitimate scientific name, not language leakage.",Домашня тварина виду,P1,high,number-agreement,the plural mass noun cattle is defined as one «Домашня тварина» and then broadened inconsistently — number-agreement confirmed.,definitionUa,"Свійські тварини виду Bos taurus, зокрема корови, бики й воли."
SB-0636,institutional,adj.,інституційний,"З, відноситься до, характерний або організований за принципами установи.",P1,"«З, відноситься до» is malformed and contains the Russian-influenced «відноситься до».",clean-candidate,institutional → «інституційний»; definition (of/relating to an institution) is accurate; adjective POS matches.,"З, відноситься до",P1,high,calque-russianism,"«З, відноситься до» is malformed and contains the Russian-influenced «відноситься до» — confirmed.",definitionUa,Пов’язаний з установою або характерний для неї.
SB-0860,peasant,n.,селянин,"Член нижчого соціального класу, який працює на землі, складається з дрібних фермерів і орендарів, пайовиків, батраків та інших робітників на землі, де вони утворюють основну робочу силу в сільському господарстві та садівни...",P1,The learner-facing definition is physically truncated at «садівни...» and is incomplete.,P2,"peasant definition is truncated mid-word, ending «...та садівни...»; the gloss «селянин» is correct but the learner sees a broken word.",та садівни,P1,high,ui-truncation,the learner-facing definition is physically truncated mid-word at «…та садівни…» — broken text confirmed over Pass B's P2.,definitionUa,"Представник сільського населення, який обробляє землю, зазвичай дрібний землероб або орендар."
SB-1176,symbolic,adj.,символічний,Непряме представлення або посилання на іншу річ.,P2,The noun phrase «Непряме представлення» does not directly define the adjective.,clean-candidate,symbolic → «символічний»; definition (indirect representation of/reference to another thing) is accurate; adjective POS matches.,Непряме представлення,P2,high,pos-alignment,"«Непряме представлення» is a noun phrase, not an adjective definition for symbolic — confirmed (Pass A P2).",definitionUa,"Такий, що слугує символом або непрямо представляє іншу річ."
SB-1637,confirmed,word family,підтверджено,Перевірено або ратифіковано.,P2,ua impersonal «підтверджено» does not align cleanly with confirmed.,clean-candidate,confirmed → «підтверджено»; definition (verified or ratified) is accurate and consistent.,Перевірено або ратифіковано,P2,high,pos-alignment,ua «підтверджено» is impersonal where a participle fits the family — citation confirmed (Pass A P2).,ua,підтверджений
SB-0445,endless,adj.,нескінченний,Не маючи кінця.,P2,"«Не маючи кінця» is an adverbial participle, not a direct adjective definition.",clean-candidate,endless → «нескінченний»; definition (having no end) is accurate; adjective POS matches.,Не маючи кінця,P2,high,pos-alignment,"«Не маючи кінця» is an adverbial participle, not a direct adjective definition for endless — confirmed (Pass A P2).",definitionUa,"Такий, що не має кінця; нескінченний."
SB-0987,remainder,n.,залишок,"Частина або частини, що залишилися після того, як деякі були видалені або вже виникли.",P1,"«Вже виникли» does not express items already used, taken, or accounted for.",clean-candidate,remainder → «залишок»; definition (the part(s) left after some were removed) is accurate; noun POS matches.,вже виникли,P1,high,semantic-fidelity,"«вже виникли» does not express items already used, taken or accounted for — semantic defect confirmed.",definitionUa,"Частина, що залишається після того, як решту використали, видалили або врахували."
SB-1480,techniques,word family,техніки,"Спосіб досягнення чогось або здійснення чогось, особливо такий, що вимагає певних навичок або знань.",P1,Plural techniques is defined as one method.,clean-candidate,"techniques → «техніки»; definition (a way of achieving or doing something, esp. requiring skill or knowledge) is accurate; plural noun POS matches.",Спосіб досягнення чогось,P1,high,number-agreement,plural techniques is defined as one «Спосіб» — number-agreement confirmed.,definitionUa,"Практичні способи виконання дії, особливо ті, що потребують навичок."
SB-1099,specialized,adj.,спеціалізований,Має високу кваліфікацію в конкретній галузі або спеціально адаптована до неї.,P1,Masculine «Має» and feminine «адаптована» do not share an agreeing subject.,clean-candidate,specialized → «спеціалізований»; definition (highly skilled in or specially adapted to a particular field) is accurate; adjective POS matches.,адаптована до неї,P1,high,grammar-syntax,masculine «Має» and feminine «адаптована» lack an agreeing subject — confirmed.,definitionUa,"Такий, що має вузьку спеціалізацію або спеціально пристосований до певної галузі."
SB-1341,function,word family,функція; функціонувати,Що щось робить або для чого використовується.,P1,"The word-family ua includes noun and verb, but the definition covers only the noun sense.",clean-candidate,function → «функція; функціонувати»; definition (what something does/is used for) is accurate; noun+verb pair matches the word family.,Що щось робить або для чого використовується,P1,high,sense-coverage,"the word-family ua includes noun and verb, but the definition covers only the noun sense — coverage confirmed.",definitionUa,Призначення або роль чогось; також працювати чи діяти належним чином.
SB-1026,ritual,n.,ритуал,"обряд; повторюваний набір дій, особливо в релігійному контексті.",P2,The definition starts with a lowercase letter.,clean-candidate,"ritual → «ритуал»; definition (a rite; repeated set of actions, esp. religious) is accurate; lowercase start is trivial.",обряд; повторюваний набір дій,P2,high,ui-formatting,"the definition starts with a lowercase letter — cosmetic P2, confirmed.",definitionUa,"Обряд або повторюваний набір дій, особливо в релігійному контексті."
SB-1137,submission,n.,подання,Акт подання або надання напр. завершена робота.,P2,«Напр. завершена робота» lacks the punctuation and construction needed to attach the example.,P2,submission definition «...надання напр. завершена робота» has a case error («завершена робота» should be genitive «завершеної роботи») and an unexpanded abbreviation.,надання напр. завершена робота,P2,high,grammar-syntax,«напр. завершена робота» has a case error (should be genitive) and an unexpanded abbreviation — both passes agree P2.,definitionUa,"Акт подання; також матеріал, поданий на розгляд, наприклад завершена робота."
SB-0634,inspiration,n.,натхнення,"Акт або процес піднесення чи стимулювання впливу на інтелект, емоції чи творчість.",P1,«Піднесення чи стимулювання впливу» is grammatically opaque and does not explain inspiration.,clean-candidate,"inspiration → «натхнення»; definition (process of stimulating the intellect, emotions or creativity) is accurate; noun POS matches.",стимулювання впливу,P1,high,grammar-syntax,«піднесення чи стимулювання впливу» is grammatically opaque and does not explain inspiration — confirmed.,definitionUa,"Вплив або ідея, що спонукає до творчості, дії чи нового задуму."
SB-1738,erosion,word family,ерозія,"Результат зносу або ерозії, як льодовик на скелі або море на скелі.",P1,"Erosion is a process, not merely its result, and «як льодовик на скелі» is grammatically defective.",clean-candidate,"erosion → «ерозія»; definition (the result of wearing away, e.g. a glacier on rock or the sea on a cliff) conveys the sense despite using the cognate.",як льодовик на скелі або море на скелі,P1,high,semantic-fidelity,"erosion is a process, not merely its result, and «як льодовик на скелі» is grammatically defective — confirmed.",definitionUa,"Поступове руйнування й перенесення ґрунту або породи водою, вітром, льодом чи іншими чинниками."
SB-1338,export,word family,експорт; експортувати,Акт вивезення.,P1,"The word-family ua includes noun and verb, but the definition gives only the noun act.",clean-candidate,export → «експорт; експортувати»; definition (the act of exporting) is accurate; covers noun+verb senses.,Акт вивезення,P1,high,pos-alignment,"the word-family ua includes noun and verb, but the definition gives only the noun act — coverage confirmed.",definitionUa,Вивезення товарів за кордон для продажу; також вивозити або передавати дані назовні.
SB-1688,detected,word family,виявлено,Будучи поміченим.,P2,ua impersonal «виявлено» and «Будучи поміченим» do not align cleanly with detected.,clean-candidate,detected → «виявлено»; definition (being noticed) conveys the sense though the gerund phrasing is terse; consistent gloss.,Будучи поміченим,P2,high,pos-alignment,ua impersonal «виявлено» and «Будучи поміченим» do not align cleanly with detected — confirmed (Pass A P2).,both,ua: виявлений | definitionUa: Помічений або встановлений унаслідок перевірки чи спостереження.
SB-0385,discourse,n.,дискурс,"Вираження словами, усним або письмовим.",P1,"«Вираження словами, усним або письмовим» has broken case and adjective agreement.",clean-candidate,"discourse → «дискурс»; definition (expression in words, spoken or written) is accurate; noun POS matches.","Вираження словами, усним або письмовим",P1,high,grammar-syntax,"«Вираження словами, усним або письмовим» has broken case and adjective agreement — confirmed.",definitionUa,Усне або письмове висловлення думок; зв’язна мова чи обговорення певної теми.
SB-0430,eligible,adj.,придатний,Дозвіл і відповідність необхідним умовам для участі в чомусь або бути обраним для чогось,P1,"The noun-phrase definition does not define an adjective, and «придатний» alone misses having the right to participate.",clean-candidate,eligible → «придатний»; definition (permitted and meeting required conditions to take part or be chosen) conveys the sense; adjective POS matches.,Дозвіл і відповідність необхідним умовам,P1,high,pos-alignment,"the noun-phrase definition does not define an adjective, and «придатний» alone misses having the right to participate — confirmed.",both,"ua: той, хто має право; придатний | definitionUa: Такий, що відповідає вимогам і тому має право брати участь або бути обраним."
SB-1273,vessel,n.,судно,"Судно для пересування по воді, повітрі або в космосі.",P2,"Bare «судно» normally suggests watercraft, while the definition extends it to air and space without qualifiers.",clean-candidate,"vessel → «судно»; definition (a craft for travel over water, air or space) selects the craft sense, consistent with the gloss; noun POS matches.","по воді, повітрі або в космосі",P2,high,ua-definition-consistency,"bare «судно» suggests watercraft, while the definition extends it to air and space without qualifiers — ua↔definition inconsistency confirmed (Pass A P2).",both,"ua: судно; літальний або космічний апарат | definitionUa: Засіб пересування по воді, у повітрі або в космосі."
SB-1510,imposed,word family,нав'язаний,викладено авторитетно як обов'язкові,P1,Lowercase plural «обов’язкові» has no agreeing noun and does not define imposed.,clean-candidate,imposed → «нав'язаний»; definition (set out authoritatively as binding) conveys the sense despite terse phrasing; consistent gloss.,викладено авторитетно як,P1,high,grammar-syntax,lowercase plural «обов’язкові» has no agreeing noun and does not define imposed — confirmed.,definitionUa,Нав’язаний або установлений владою як обов’язковий.
SB-1339,factors,word family,чинники; фактори,"Один із елементів, обставин або впливів, які сприяють досягненню результату.",P1,Plural headword factors is defined with singular «Один із елементів».,clean-candidate,"factors → «чинники; фактори»; definition (one of the elements, circumstances or influences contributing to a result) is accurate; plural noun POS matches.",Один із елементів,P1,high,number-agreement,the plural headword factors is defined with singular «Один із елементів» — number-agreement confirmed.,definitionUa,"Елементи, обставини або впливи, що сприяють певному результату."
SB-1479,technical,word family,технічний,Технології або пов’язані з ними.,P1,«Технології або пов’язані з ними» combines a noun with a plural adjective and does not define technical.,clean-candidate,technical → «технічний»; definition (of or relating to technology) is accurate; adjective POS matches.,Технології або,P1,high,grammar-syntax,«Технології або пов’язані з ними» combines a noun with a plural adjective and does not define technical — confirmed.,definitionUa,"Пов’язаний із технікою, технологією або спеціальними практичними знаннями."
SB-1463,partnership,word family,партнерство,Об’єднання двох або більше осіб для ведення бізнесу.,P2,"The definition restricts partnership to conducting a business, omitting other formal cooperation.",clean-candidate,partnership → «партнерство»; definition (association of two or more persons to run a business) is accurate; noun POS matches.,для ведення бізнесу,P2,high,sense-coverage,"the definition restricts partnership to conducting a business, omitting other formal cooperation — sense-coverage confirmed (Pass A P2).",definitionUa,Об’єднання двох або більше сторін для спільної діяльності чи мети.
SB-1733,conversely,word family,навпаки,З іншої точки зору; з іншого боку.,P1,"Conversely means in an opposite or reversed relation, not merely from another viewpoint.",clean-candidate,conversely → «навпаки»; definition (from another point of view; on the other hand) is accurate; adverb POS matches.,З іншої точки зору; з іншого боку,P1,high,semantic-fidelity,"conversely means in an opposite or reversed relation, not merely from another viewpoint — semantic defect confirmed.",definitionUa,Навпаки; якщо розглянути протилежне співвідношення.
SB-0533,functional,adj.,функціональний,"Корисний; служіння меті, виконання функції.",P2,The noun phrase «служіння меті» does not directly define the adjective.,clean-candidate,"functional → «функціональний»; definition (useful; serving a purpose, performing a function) conveys the sense; adjective POS matches.",служіння меті,P2,high,pos-alignment,the noun phrase «служіння меті» does not directly define the adjective functional — confirmed (Pass A P2).,definitionUa,"Практичний, корисний або здатний виконувати призначену функцію."
SB-0547,governance,n.,управління,"Процес, або сила, управління; уряд або адміністрація.",P1,"«Процес, або сила, управління» has invalid punctuation and does not coherently define governance.",clean-candidate,governance → «управління»; definition (the process or power of governing; government or administration) is accurate; noun POS matches.,"Процес, або сила, управління",P1,high,grammar-syntax,"«Процес, або сила, управління» has invalid punctuation and does not coherently define governance — confirmed.",definitionUa,"Система й процеси, за допомогою яких організацією або державою керують і контролюють її діяльність."
SB-0658,intermediate,adj.,проміжний,Знаходження між двома крайнощами або в середині діапазону.,P1,The noun phrase «Знаходження між» is a Russian-influenced construction and does not define the adjective.,clean-candidate,intermediate → «проміжний»; definition (lying between two extremes / mid-range) is accurate; adjective POS matches.,Знаходження між двома крайнощами,P1,high,calque-russianism,the noun phrase «Знаходження між» is a Russian-influenced construction and does not define the adjective intermediate — confirmed.,definitionUa,"Розташований або такий, що перебуває між двома рівнями чи крайнощами."
SB-0853,pastor,n.,пастор,Хтось із духовною владою над групою людей.,P2,«Хтось із духовною владою» is vague and does not identify a pastor as a Christian minister.,clean-candidate,pastor → «пастор»; definition (someone with spiritual authority over a group of people) is accurate; noun POS matches.,Хтось із духовною владою,P2,high,pedagogical-definition,«Хтось із духовною владою» is vague and does not identify a pastor as a Christian minister — pedagogical confirmed (Pass A P2).,definitionUa,"Християнський священнослужитель, який очолює громаду або опікується нею."
SB-0972,reflection,n.,відображення,Акт відображення або стан відображення.,P2,The definition merely repeats reflection and does not explain the stated image sense.,clean-candidate,reflection → «відображення»; definition (act/state of reflecting) covers the mirror/optical sense correctly; contemplation sense is a separate entry concern.,Акт відображення або стан відображення,P2,high,pedagogical-definition,the definition merely repeats reflection and does not explain the stated image sense — pedagogical confirmed (Pass A P2).,definitionUa,"Зображення, утворене світлом, що відбилося від поверхні; також сам процес відбиття."
SB-1096,span,"v., n.",охоплювати; тривати,Протягнути через відстань між або впоперек.,P1,"The source is verb and noun, but ua and the definition provide only verb senses.",clean-candidate,"span → «охоплювати; тривати»; definition (to stretch across the distance between or across) is accurate; v.,n. POS matches.",Протягнути через відстань,P1,high,pos-alignment,"span is v.,n. but ua and the definition provide only verb senses — coverage defect confirmed.",both,ua: охоплювати; проміжок | definitionUa: Простягатися через відстань або тривати певний час; також сама відстань чи тривалість.
SB-1246,twist,"v., n.",крутити,"Повертати кінці чого-небудь, зазвичай нитки, мотузки тощо, у протилежних напрямках, часто із застосуванням сили.",P1,"The source is verb and noun, but ua and the definition cover only the verb.",clean-candidate,"twist → «крутити»; definition (to turn the ends of something, usually thread or rope, in opposite directions, often with force) is accurate; v.,n. POS matches.",Повертати кінці чого-небудь,P1,high,pos-alignment,"twist is v.,n. but ua and the definition cover only the verb — coverage defect confirmed.",both,"ua: крутити; поворот | definitionUa: Обертати або скручувати; також поворот, вигин чи несподівана зміна."
SB-0039,aesthetic,adj.,естетичний,"Стурбований красою, художнім ефектом або зовнішнім виглядом.",P1,«Стурбований красою» mistranslates concerned with and gives the wrong Ukrainian sense.,clean-candidate,"aesthetic → «естетичний»; definition (concerned with beauty, artistic effect or appearance) is accurate; adjective POS matches.",Стурбований красою,P1,high,calque-russianism,«Стурбований красою» mistranslates 'concerned with' and gives the wrong Ukrainian sense of aesthetic — confirmed (Pass B wrongly cleared it).,definitionUa,"Пов’язаний із красою, мистецтвом або привабливим зовнішнім виглядом."
SB-1184,tempt,v.,спокусити,"Спровокувати когось на неправоту, особливо обіцяючи винагороду; заманювати.",P1,«Спровокувати когось на неправоту» is an unidiomatic false rendering of entice someone to wrongdoing.,clean-candidate,"tempt → «спокусити»; definition (to provoke someone toward wrongdoing, esp. by promising reward; to lure) is accurate; verb POS matches.",Спровокувати когось на неправоту,P1,high,semantic-fidelity,«Спровокувати когось на неправоту» is an unidiomatic false rendering of enticing someone to wrongdoing — confirmed.,definitionUa,Спонукати когось зробити щось привабливою обіцянкою або бажаною винагородою.
SB-1677,accompanied,word family,у супроводі,Наявність супроводу; бути частиною групи щонайменше з двох.,P1,Prepositional ua «у супроводі» and noun/infinitive definition do not align with accompanied.,clean-candidate,accompanied → «у супроводі»; definition (being escorted; part of a group of at least two) is accurate and consistent.,Наявність супроводу,P1,high,pos-alignment,prepositional ua «у супроводі» and the noun/infinitive definition do not align with accompanied — confirmed.,both,"ua: супроводжуваний; у супроводі | definitionUa: Такий, що прибув або відбувся разом із кимось чи чимось."
SB-0943,psychiatric,adj.,психіатричний,Психіатрія або пов'язана з нею.,P1,The noun «Психіатрія» followed by feminine «пов’язана» does not define the adjective.,clean-candidate,psychiatric → «психіатричний»; definition (of or relating to psychiatry) is accurate; adjective POS matches.,Психіатрія або,P1,high,pos-alignment,the noun «Психіатрія» followed by feminine «пов’язана» does not define the adjective psychiatric — confirmed.,definitionUa,Пов’язаний із психіатрією або лікуванням психічних розладів.
SB-0047,alien,adj.,чужий,"Не належать до тієї самої країни, землі чи уряду, чи до їхніх громадян чи підданих; іноземні.",P1,"The singular adjective is defined with plural verb and adjective forms, making the sentence grammatically incoherent.",clean-candidate,"alien → «чужий»; definition (not belonging to the same country, land or government or its citizens; foreign) is accurate; adjective POS matches.",Не належать до тієї самої країни,P1,high,grammar-syntax,"the singular adjective alien is defined with plural verb and adjective forms, making the sentence grammatically incoherent — confirmed (Pass B wrongly cleared it).",definitionUa,"Такий, що належить іншій країні або є чужим для певного середовища."
SB-0871,pirate,n.,пірат,"Злочинець, який грабує на морі; зазвичай нападають на торговельні судна, хоча часто грабують портові міста.",P1,The definition shifts from singular «злочинець» to plural «нападають» without an antecedent.,clean-candidate,"pirate → «пірат»; definition (a criminal who robs at sea, usually attacking merchant vessels) is accurate; noun POS matches.",зазвичай нападають,P1,high,grammar-syntax,the definition shifts from singular «злочинець» to plural «нападають» without an antecedent — confirmed.,definitionUa,"Злочинець, який нападає на судна або прибережні місця й грабує їх."
SB-1783,so-called,word family,т. зв,Так названо; зазвичай називають.,P2,ua abbreviation lacks its final period and the passive definition is awkward.,clean-candidate,so-called → «т. зв»; definition (so named; commonly called) is accurate; the abbreviation matches Ukrainian usage; consistent gloss.,Так названо; зазвичай називають,P2,high,ui-formatting,the ua abbreviation lacks its final period and the passive definition is awkward — confirmed (Pass A P2).,both,"ua: т. зв. | definitionUa: Так званий; відомий під певною назвою, іноді сумнівною."
SB-0622,influential,adj.,впливовий,Володіння чи здійснення впливу.,P2,The noun phrase «Володіння чи здійснення впливу» does not define the adjective.,clean-candidate,influential → «впливовий»; definition (possessing or exercising influence) conveys the sense despite noun-framing; adjective POS matches.,Володіння чи здійснення впливу,P2,high,pos-alignment,the noun phrase «Володіння чи здійснення впливу» does not define the adjective influential — confirmed (Pass A P2).,definitionUa,"Такий, що має значний вплив на людей або події."
SB-1431,comments,word family,коментарі,Усне або письмове зауваження.,P1,Plural comments is defined as one remark.,clean-candidate,comments → «коментарі»; definition (an oral or written remark) is accurate; plural noun POS matches.,Усне або письмове зауваження,P1,high,number-agreement,plural comments is defined as one «зауваження» — number-agreement confirmed.,definitionUa,Усні або письмові зауваження чи пояснення.
SB-0446,endorse,v.,схвалити,"Виражати підтримку чи схвалення, особливо офіційно чи публічно; надати індосамент.",P1,The unexplained specialist borrowing «індосамент» is inappropriate in a general definition of endorse.,clean-candidate,"endorse → «схвалити»; definition (express support/approval, esp. officially; give an endorsement) is accurate; verb POS matches.",індосамент,P1,high,learner-register,the unexplained specialist borrowing «індосамент» is inappropriate in a general definition of endorse — register confirmed.,definitionUa,Публічно або офіційно висловлювати підтримку чи схвалення.
SB-0740,marine,adj.,морський,Приналежність або характеристика моря; існуючі або знайдені в морі; утворені або вироблені морем.,P1,"The definition shifts from a singular noun to plural participles, producing broken adjective agreement.",clean-candidate,marine → «морський»; definition (belonging to or characteristic of the sea) is accurate; adjective POS matches.,Приналежність або характеристика моря,P1,high,grammar-syntax,"the definition shifts from a singular noun to plural participles, producing broken adjective agreement — confirmed.",definitionUa,"Пов’язаний із морем; такий, що існує, утворюється або відбувається в морі."
