id,word,pos,ua,definitionUa,source_stage,final_disposition,category,confidence,provenance,proposal_state,proposed_target,proposed_value
SB-0407,donor,n.,донор,"Той, хто робить пожертву.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0408,dose,n.,доза,"Відміряна порція ліків, прийнята в будь-який час.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0413,dual,adj.,подвійний,Характеризується наявністю двох (зазвичай еквівалентних) компонентів.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0419,earnings,n.,заробіток,"Заробітна плата, зароблені гроші, дохід.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0422,ecological,adj.,екологічний,"Пов’язаний з екологією, взаємозв’язками організмів і навколишнього середовища.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0426,ego,n.,его,"Я, особливо з почуттям власної значущості.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0428,electoral,adj.,виборчий,Щодо виборів або щодо них.,part1-floor,P1,grammar-calque,high,Codex seed-20260914 blinded acceptance challenge,absent,,
SB-0429,elevate,v.,підняти,Підняти (щось) на вищу посаду.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0430,eligible,adj.,придатний,Дозвіл і відповідність необхідним умовам для участі в чомусь або бути обраним для чогось,r2-reconciliation,P1,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,both,"ua: той, хто має право; придатний | definitionUa: Такий, що відповідає вимогам і тому має право брати участь або бути обраним."
SB-0431,elite,n.,еліта,"Особлива група або соціальний клас людей, які мають вищий соціальний чи економічний статус і відповідну владу, переваги чи привілеї в суспільстві; член такої групи.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0433,embarrassment,n.,збентеження,"Стан дискомфорту, що виникає через сором'язливість або свідомість порушення соціального правила; приниження.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0434,embassy,n.,посольство,"Організація або група офіційних осіб, які постійно представляють суверенну державу в другій суверенній державі або щодо міжнародної організації, такої як ООН.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0435,embed,v.,вбудовувати,Для інкапсуляції в інший документ або файл даних.,r2-reconciliation,P1,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Вставляти один об’єкт, файл або фрагмент даних в інший."
SB-0436,embody,v.,втілювати,Представляти у фізичній або конкретній формі; втілювати чи персоніфікувати.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0437,emergence,n.,поява,"Акт підйому з рідини, виходу з огортання чи приховування, або підняття в поле зору; зовнішній вигляд.",r2-reconciliation,P1,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Процес появи, виникнення або виходу з прихованого стану."
SB-0438,empirical,adj.,емпіричний,"Стосовно або засноване на досвіді, на відміну від теорії.",r2-reconciliation,P2,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Такий, що ґрунтується на досвіді або спостереженні, а не лише на теорії."
SB-0441,encompass,v.,охоплювати,"Включити в його сферу дії; обвести або обійти так, щоб оточити; підкладати; містити.",r2-reconciliation,P1,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Охоплювати, включати до свого складу або оточувати."
SB-0442,encouragement,n.,заохочення,"Слова чи дії, які підвищують чиюсь впевненість",r2-reconciliation,P2,ui-formatting,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Слова чи дії, які підвищують чиюсь упевненість."
SB-0444,endeavour,n.,зусилля,Серйозна або наполеглива спроба досягти певної мети.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0445,endless,adj.,нескінченний,Не маючи кінця.,r2-reconciliation,P2,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Такий, що не має кінця; нескінченний."
SB-0446,endorse,v.,схвалити,"Виражати підтримку чи схвалення, особливо офіційно чи публічно; надати індосамент.",r2-reconciliation,P1,learner-register,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Публічно або офіційно висловлювати підтримку чи схвалення.
SB-0453,enquire,v.,запитувати,"Просити інформацію або ставити запитання, щоб щось з’ясувати.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0455,enrol,v.,зарахувати,"Офіційно записати або записатися на курс, програму чи до установи.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0457,enterprise,n.,підприємство,"Компанія, бізнес, організація чи інша цілеспрямована діяльність.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0458,enthusiast,n.,ентузіаст,"Людина, сповнена або керована ентузіазмом.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0460,entity,n.,сутність,"Те, що існує як окрема одиниця, часто використовується для організацій, які не мають фізичної форми.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0461,epidemic,n.,епідемія,"Широко поширене захворювання, яке вражає багато людей у ​​популяції.",part1-floor,P2,semantic-precision,medium,Codex seed-20260914 blinded acceptance challenge,absent,,
SB-0464,erect,v.,звести,Збирати шляхом з’єднання матеріалів або частин.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0466,essence,n.,суть,Внутрішня природа речі або ідеї.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0467,establishment,n.,заклад,"Те, що встановлено; як форма правління, постійна організація, бізнес або сила, або місце, де людина постійно проживає.",part1-floor,P1,grammar-calque-fragment,medium,R1-listed defect; severity normalized to P1 by Codex acceptance review,present,definitionUa,"Установа, заклад або підприємство, створені для сталої діяльності; також сам процес заснування."
SB-0468,eternal,adj.,вічний,Триває назавжди; нескінченний.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0470,evoke,v.,викликати,"Викликати прояв чогось (емоції, картини тощо) в чиємусь розумі чи уяві.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0471,evolutionary,adj.,еволюційний,Відносно біологічної теорії еволюції або до неї.,r2-reconciliation,P1,calque-russianism,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Пов’язаний з еволюцією або теорією еволюції.
SB-0472,exaggerate,v.,перебільшувати,"Перебільшувати, описувати більше, ніж факт.",r2-reconciliation,P2,pedagogical-definition,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Представляти щось більшим, кращим, гіршим або важливішим, ніж воно є насправді."
SB-0474,exceptional,adj.,винятковий,Формування винятку; не звичайний; незвичайний; рідкісні.,part1-floor,P1,grammar-calque-fragment,medium,R1-listed defect; severity normalized to P1 by Codex acceptance review,present,definitionUa,"Такий, що становить виняток; незвичайний; рідкісний."
SB-0475,excess,"n., adj.",надлишок,"Стан перевищення або виходу за межі; стан поза достатністю, необхідністю або обов'язком; більше, ніж те, що є звичайним або належним.",r2-reconciliation,P1,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,both,"ua: надлишок; надмірний | definitionUa: Кількість понад необхідну норму; також більший, ніж потрібно або дозволено."
SB-0478,exclusively,adv.,виключно,на виключення будь-чого або будь-кого іншого; виключно або цілком,r2-reconciliation,P1,calque-russianism,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Лише для когось або чогось, без залучення інших; винятково."
SB-0479,execute,v.,виконувати,Здійснювати; ввести в дію.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0480,execution,n.,виконання,"Дія, спосіб або стиль виконання (дій, маневрів, вистав).",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0482,exile,n.,вигнання,Стан вигнання з дому чи країни.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0485,experimental,adj.,експериментальний,Відносно або засноване на експерименті.,r2-reconciliation,P1,calque-russianism,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Такий, що стосується експерименту або ґрунтується на ньому."
SB-0489,exploitation,n.,експлуатація,Неправомірне використання чого-небудь в корисливих цілях.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0492,extremist,n.,екстреміст,"Людина, яка дотримується крайніх поглядів, особливо той, хто відстоює такі погляди; радикал або фанатик.",r2-reconciliation,P2,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Людина, яка дотримується або активно обстоює крайні погляди; радикал."
SB-0493,facilitate,v.,сприяти,Зробити легко або легше.,part1-floor,P1,grammar-calque-fragment,low,R1-listed defect; severity normalized to P1 by Codex acceptance review,present,definitionUa,Робити легшим; полегшувати.
SB-0494,faction,n.,фракція,"Група людей, особливо всередині політичної організації, яка висловлює спільні переконання або думку, відмінну від людей, які не є частиною групи.",r2-reconciliation,P1,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Група всередині більшої організації, члени якої мають спільні погляди, відмінні від поглядів інших членів."
SB-0498,fatal,adj.,фатальний,Заподіяння смерті або руйнування.,part1-floor,P1,pos-morphology-mismatch,high,R1-listed defect; severity normalized to P1 by Codex acceptance review,present,definitionUa,"Такий, що спричиняє смерть або руйнування; смертельний, згубний."
SB-0499,fate,n.,доля,"Передбачувана причина, сила, принцип або божественна воля, яка визначає події.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0500,favourable,adj.,сприятливий,"Вираження або вказівка ​​на прихильність чи доброзичливість; схвалюючи, заохочуючи.",r2-reconciliation,P1,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Такий, що виражає схвалення або створює добрі умови для успіху."
SB-0501,feat,n.,подвиг; визначне досягнення,Відносно рідкісне або важке досягнення.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0503,fibre,n.,клітковина,Харчові волокна.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0508,firearm,n.,вогнепальна зброя,"Особиста зброя, яка використовує вибуховий порох для приведення в дію снаряда, який часто виготовляється зі свинцю.",r2-reconciliation,P2,pedagogical-definition,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Зброя, що вистрілює снаряд завдяки вибуху пороху."
SB-0511,flaw,n.,недолік,"Дефект, помилка або недосконалість, особливо прихована.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0512,flawed,adj.,дефектний,Наявність недоліку або недосконалості.,part1-floor,P2,pos-style,medium,Codex seed-20260914 blinded acceptance challenge,absent,,
SB-0513,flee,v.,тікати,Втікати; втекти.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0514,fleet,n.,флот,Група суден або транспортних засобів.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0515,flesh,n.,плоть,"М’які тканини тіла, особливо м’язи та жир.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0516,flexibility,n.,гнучкість,"Якість бути гнучким, фізично чи метафорично.",part1-floor,P1,grammar-calque,high,Codex seed-20260914 blinded acceptance challenge,absent,,
SB-0518,fluid,n.,рідина,Рідина (на відміну від твердого або газоподібного).,r2-reconciliation,P1,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),present,both,"ua: рідина; текуча речовина | definitionUa: Речовина, що може текти й набувати форми посудини, зокрема рідина або газ."
SB-0519,footage,n.,кадри,"Кількість плівки або стрічки, яка була використана для запису чогось.",r2-reconciliation,P1,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Відеоматеріал або кадри, записані для фільму, телебачення чи іншої мети."
SB-0520,foreigner,n.,іноземець,Людина з чужої країни.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0522,formula,n.,формула,План або метод вирішення проблеми або досягнення результату.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0523,formulate,v.,формулювати,Викласти в ясній і певній формі твердження або вираз.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0524,forth,adv.,вперед,"Назовні, уперед або від певного місця; переважно у сталих виразах.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0527,fragile,adj.,крихкий,"Легко ламається, не міцний; з ніжного матеріалу.",r2-reconciliation,P2,orthography,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Такий, що легко ламається або пошкоджується; неміцний."
SB-0528,franchise,n.,франшиза; право на здійснення діяльності,"Дозвіл, наданий компанією на продаж або розповсюдження своїх товарів чи послуг на певній території.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0533,functional,adj.,функціональний,"Корисний; служіння меті, виконання функції.",r2-reconciliation,P2,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Практичний, корисний або здатний виконувати призначену функцію."
SB-0534,fundraising,n.,збір коштів,Процес збору грошей шляхом запитів пожертвувань від приватних осіб і компаній.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0535,funeral,n.,похорон,"Церемонія вшанування та пам’яті померлої людини, яка часто відрізняється від панахиди присутністю тіла померлого.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0537,gambling,n.,азартні ігри,"Діяльність, що характеризується балансом між виграшем і програшем, що регулюється сумішшю навичок і випадковості, як правило, із ставкою на результат.",r2-reconciliation,clean-candidate,,medium,R2 A/B reconciliation (union-defect roster),n/a,,
SB-0539,gaze,"n., v.",погляд,Дивитися пильно або серйозно.,r2-reconciliation,P1,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,both,ua: пильний погляд; пильно дивитися | definitionUa: Тривалий уважний погляд; також довго й уважно дивитися.
SB-0542,genocide,n.,геноцид,"Систематичне та умисне знищення групи людей; як правило, вбиваючи значну кількість з них на основі їхньої етнічної приналежності, релігії чи національності.",r2-reconciliation,P2,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Умисне систематичне знищення людей через їхню етнічну належність, релігію, національність або іншу групову ознаку."
SB-0543,glance,"n., v.",погляд,"Звернути (очі чи погляд) на щось, часто ненадовго.",r2-reconciliation,P1,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,both,ua: швидкий погляд; швидко глянути | definitionUa: Короткий погляд; також швидко подивитися на когось або щось.
SB-0545,glorious,adj.,славний,"Демонстрація атрибутів, якостей або вчинків, які гідні чи отримують славу.",r2-reconciliation,P1,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Такий, що заслуговує великої слави або викликає захоплення."
SB-0546,glory,n.,слава,"Честь, захоплення чи відзнака, надані особі чи речі за спільною згодою; висока репутація; відомість.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0547,governance,n.,управління,"Процес, або сила, управління; уряд або адміністрація.",r2-reconciliation,P1,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Система й процеси, за допомогою яких організацією або державою керують і контролюють її діяльність."
SB-0550,grave (for dead person),n.,могила,"Місце в землі, де поховано померлу людину.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0551,grave (serious),adj.,серйозний; тяжкий,"Надзвичайно серйозний, небезпечний або такий, що викликає значне занепокоєння.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0553,grid,n.,сітка,"Система доставки електроенергії, що складається з різних підстанцій, трансформаторів і генераторів, з'єднаних дротом.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0556,grind,v.,молоти,Розрізати на дрібніші шматки шляхом подрібнення бічними рухами.,part1-floor,P1,semantic-pedagogical,high,Codex seed-20260914 blinded acceptance challenge,absent,,
SB-0559,guerrilla,n.,партизан,"Солдат у невеликій незалежній групі, який бореться проти уряду чи регулярних сил шляхом раптових набігів.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0560,guidance,n.,керівництво,Порада або консультація з якоїсь теми.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0561,guilt,n.,вина,Відповідальність за протиправні дії.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0562,gut,n.,кишка,"Травний тракт, особливо кишечник.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0564,halfway,adv.,на півдорозі,Половина шляху між двома точками.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0566,handful,n.,жменя,"Кількість, яку рука може схопити або вмістити.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0567,handling,n.,поводження,"Торкатися, контролювати, керувати, використовувати, піклуватися тощо рукою або руками або як руками.",r2-reconciliation,P1,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Спосіб поводження з предметом, ситуацією або питанням; керування чи оброблення."
SB-0568,handy,adj.,зручний,"Простий у використанні, корисний.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0571,harmony,n.,гармонія,Договір чи згода.,part1-floor,P1,semantic-pedagogical-error,high,R1-listed defect; severity normalized to P1 by Codex acceptance review,present,definitionUa,Злагода або співзвуччя; погодженість.
SB-0573,harvest,"n., v.",урожай,Принести врожай; жати; підбирати.,r2-reconciliation,P1,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,both,ua: урожай; збирати врожай | definitionUa: Зібрані сільськогосподарські культури; також збирати їх після дозрівання.
SB-0574,hatred,n.,ненависть,Сильна відраза; сильна неприязнь.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0575,haunt,v.,переслідувати,Населяти або часто відвідувати (найчастіше використовується стосовно привидів).,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0578,heritage,n.,спадщина,"традиція; практика або набір цінностей, які передаються від попередніх поколінь через сім’ї або через інституційну пам’ять.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0579,hierarchy,n.,ієрархія,"Соціальна, релігійна, економічна чи політична система або організація, в якій люди або групи людей перевищують інших на основі їхнього статусу, авторитету чи інших рис.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0580,high-profile,adj.,гучний,Важливий або добре розрекламований.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0581,hint,"n., v.",підказка,Мати на увазі без прямого твердження; щоб надати підказку.,r2-reconciliation,P1,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,both,ua: натяк; натякати | definitionUa: Непряма підказка; також давати зрозуміти щось без прямого твердження.
SB-0582,homeland,n.,батьківщина,"Країна, яку людина вважає домом.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0585,horizon,n.,горизонт,"Видима горизонтальна лінія (у всіх напрямках), де небо, здається, зустрічається з землею на відстані.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0586,horn,n.,ріг,"Твердий наріст кератину, який виступає з верхньої частини голови певних тварин, як правило, парний.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0587,hostage,n.,заручник,"Особа, захоплена з метою примусити іншу сторону діяти (або утримуватися від дій) певним чином через загрозу заподіяння шкоди заручнику.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0588,hostile,adj.,ворожий,Не доброзичливий; відповідний ворогові; показ розташування ворога; прояв злої волі та зловмисності або бажання перешкодити та завдати шкоди.,r2-reconciliation,P1,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Недружній або ворожий; такий, що виявляє злу волю чи бажання завдати шкоди."
SB-0589,hostility,n.,ворожість,Стан ворожості.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0590,humanitarian,adj.,гуманітарний,Що стосується добробуту людей.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0591,humanity,n.,людство,Людство; люди як група.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0592,humble,adj.,скромний,"Мати низьку думку про себе; не гордий, зарозумілий або самовпевнений; скромний.",r2-reconciliation,P2,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Скромний і не схильний вважати себе кращим за інших.
SB-0593,hydrogen,n.,водень,"Найлегший хімічний елемент (символ H), з атомним номером 1 і атомною вагою 1,008.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0595,ideological,adj.,ідеологічний,Що стосується однієї чи кількох ідеологій.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0596,ideology,n.,ідеологія,"Доктрина, філософія, сукупність переконань або принципів, що належать окремій особі чи групі.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0598,ignorance,n.,незнання,Стан необізнаності або неосвіченості; брак знань або інформації.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0599,imagery,n.,зображення,"Риторичне оформлення в письмовій чи усній формі; яскраві описи, що представляють або навіюють образи чуттєвих об'єктів; фігури в дискурсі.",r2-reconciliation,P1,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),present,both,"ua: образність; образи | definitionUa: Виразні мовні образи й описи, що викликають чуттєві уявлення."
SB-0600,immense,adj.,величезний,"Величезний, гігантський, дуже великий.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0602,implementation,n.,впровадження,"Процес переходу ідеї від концепції до реальності. У бізнесі, інженерії та інших сферах реалізація відноситься до процесу будівництва, а не до процесу проектування.",r2-reconciliation,P1,calque-russianism,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Процес практичного здійснення плану, ідеї, системи або рішення."
SB-0605,inability,n.,неспроможність,Відсутність вміння щось робити; недієздатність.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0610,inclusion,n.,включення,"Акт включення, тобто додавання або анексування (чогось) до групи, набору або сукупності.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0611,incur,v.,понести,"Накликати на себе або піддаватися, особливо чомусь незручному, шкідливому чи обтяжливому; стати відповідальним або підлягати.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0614,indigenous,adj.,корінний,"Народився або походить з країни чи регіону, особливо до вторгнення.",r2-reconciliation,P1,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Корінний для певної країни чи регіону; такий, що походить звідти природно або історично."
SB-0619,infant,n.,немовля,"Дуже молода людська істота, від народження до віку від шести місяців до двох років після народження, яка потребує майже постійного догляду та уваги.",part1-floor,P2,semantic-scope,medium,Codex seed-20260914 blinded acceptance challenge,absent,,
SB-0620,infect,v.,заразити,"Привести (тіло або його частину) в контакт з речовиною, що викликає хворобу (збудником), щоб збудник почав діяти на організм;",r2-reconciliation,P2,ui-formatting,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Заразити організм збудником хвороби, щоб той почав у ньому розмножуватися або діяти."
SB-0622,influential,adj.,впливовий,Володіння чи здійснення впливу.,r2-reconciliation,P2,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Такий, що має значний вплив на людей або події."
SB-0623,inherent,adj.,властивий,"Природно, як частина або наслідок чогось.",r2-reconciliation,P2,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Властивий чомусь від природи й невіддільний від нього.
SB-0626,inject,v.,вводити,"Робити ін’єкцію (комусь або чомусь), особливо ліків або наркотиків.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0628,injustice,n.,несправедливість,Порушення прав іншої людини чи людей.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0629,inmate,n.,в'язень,"Особа, яка перебуває в установі, наприклад, в’язниці (як засуджений) або лікарні (як пацієнт).",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0630,insertion,n.,вставка,Акт вставки або щось вставлене.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0631,insider,n.,інсайдер,"Особа, яка володіє спеціальними знаннями про внутрішню роботу групи, організації чи установи.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0632,inspect,v.,оглядати,Вивчати критично або уважно; особливо для пошуку проблем або визначення стану; придивлятися.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0633,inspection,n.,огляд,"Акт вивчення чогось, часто уважно.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
