id,word,pos,ua,definitionUa,bucket,provenance
SB-0408,dose,n.,доза,"Відміряна порція ліків, прийнята в будь-який час.",d_clean,clean-pool (never flagged)
SB-0413,dual,adj.,подвійний,Характеризується наявністю двох (зазвичай еквівалентних) компонентів.,d_clean,clean-pool (never flagged)
SB-0419,earnings,n.,заробіток,"Заробітна плата, зароблені гроші, дохід.",d_clean,clean-pool (never flagged)
SB-0422,ecological,adj.,екологічний,"Пов’язаний з екологією, взаємозв’язками організмів і навколишнього середовища.",d_clean,clean-pool (never flagged)
SB-0426,ego,n.,его,"Я, особливо з почуттям власної значущості.",d_clean,clean-pool (never flagged)
SB-0428,electoral,adj.,виборчий,Щодо виборів або щодо них.,d_clean,clean-pool (never flagged)
SB-0429,elevate,v.,підняти,Підняти (щось) на вищу посаду.,d_clean,clean-pool (never flagged)
SB-0430,eligible,adj.,придатний,Дозвіл і відповідність необхідним умовам для участі в чомусь або бути обраним для чогось,d_clean,clean-pool (never flagged)
SB-0431,elite,n.,еліта,"Особлива група або соціальний клас людей, які мають вищий соціальний чи економічний статус і відповідну владу, переваги чи привілеї в суспільстві; член такої групи.",d_clean,clean-pool (never flagged)
SB-0433,embarrassment,n.,збентеження,"Стан дискомфорту, що виникає через сором'язливість або свідомість порушення соціального правила; приниження.",d_clean,clean-pool (never flagged)
SB-0434,embassy,n.,посольство,"Організація або група офіційних осіб, які постійно представляють суверенну державу в другій суверенній державі або щодо міжнародної організації, такої як ООН.",d_clean,clean-pool (never flagged)
SB-0435,embed,v.,вбудовувати,Для інкапсуляції в інший документ або файл даних.,d_clean,clean-pool (never flagged)
SB-0436,embody,v.,втілювати,Представляти у фізичній або конкретній формі; втілювати чи персоніфікувати.,d_clean,clean-pool (never flagged)
SB-0437,emergence,n.,поява,"Акт підйому з рідини, виходу з огортання чи приховування, або підняття в поле зору; зовнішній вигляд.",d_clean,clean-pool (never flagged)
SB-0438,empirical,adj.,емпіричний,"Стосовно або засноване на досвіді, на відміну від теорії.",d_clean,clean-pool (never flagged)
SB-0441,encompass,v.,охоплювати,"Включити в його сферу дії; обвести або обійти так, щоб оточити; підкладати; містити.",d_clean,clean-pool (never flagged)
SB-0442,encouragement,n.,заохочення,"Слова чи дії, які підвищують чиюсь впевненість",d_clean,clean-pool (never flagged)
SB-0444,endeavour,n.,зусилля,Серйозна або наполеглива спроба досягти певної мети.,d_clean,clean-pool (never flagged)
SB-0445,endless,adj.,нескінченний,Не маючи кінця.,d_clean,clean-pool (never flagged)
SB-0446,endorse,v.,схвалити,"Виражати підтримку чи схвалення, особливо офіційно чи публічно; надати індосамент.",d_clean,clean-pool (never flagged)
SB-0453,enquire,v.,запитувати,"Просити інформацію або ставити запитання, щоб щось з’ясувати.",d_clean,clean-pool (never flagged)
SB-0455,enrol,v.,зарахувати,"Офіційно записати або записатися на курс, програму чи до установи.",d_clean,clean-pool (never flagged)
SB-0457,enterprise,n.,підприємство,"Компанія, бізнес, організація чи інша цілеспрямована діяльність.",d_clean,clean-pool (never flagged)
SB-0458,enthusiast,n.,ентузіаст,"Людина, сповнена або керована ентузіазмом.",d_clean,clean-pool (never flagged)
SB-0460,entity,n.,сутність,"Те, що існує як окрема одиниця, часто використовується для організацій, які не мають фізичної форми.",d_clean,clean-pool (never flagged)
SB-0461,epidemic,n.,епідемія,"Широко поширене захворювання, яке вражає багато людей у ​​популяції.",d_clean,clean-pool (never flagged)
SB-0464,erect,v.,звести,Збирати шляхом з’єднання матеріалів або частин.,d_clean,clean-pool (never flagged)
SB-0466,essence,n.,суть,Внутрішня природа речі або ідеї.,d_clean,clean-pool (never flagged)
SB-0467,establishment,n.,заклад,"Те, що встановлено; як форма правління, постійна організація, бізнес або сила, або місце, де людина постійно проживає.",c_known_open,known-open-24 (seed-20260913; grammar-calque-fragment)
SB-0468,eternal,adj.,вічний,Триває назавжди; нескінченний.,d_clean,clean-pool (never flagged)
SB-0470,evoke,v.,викликати,"Викликати прояв чогось (емоції, картини тощо) в чиємусь розумі чи уяві.",d_clean,clean-pool (never flagged)
SB-0471,evolutionary,adj.,еволюційний,Відносно біологічної теорії еволюції або до неї.,d_clean,clean-pool (never flagged)
SB-0472,exaggerate,v.,перебільшувати,"Перебільшувати, описувати більше, ніж факт.",d_clean,clean-pool (never flagged)
SB-0474,exceptional,adj.,винятковий,Формування винятку; не звичайний; незвичайний; рідкісні.,d_clean,clean-pool (never flagged)
SB-0475,excess,"n., adj.",надлишок,"Стан перевищення або виходу за межі; стан поза достатністю, необхідністю або обов'язком; більше, ніж те, що є звичайним або належним.",d_clean,clean-pool (never flagged)
SB-0478,exclusively,adv.,виключно,на виключення будь-чого або будь-кого іншого; виключно або цілком,d_clean,clean-pool (never flagged)
SB-0479,execute,v.,виконувати,Здійснювати; ввести в дію.,d_clean,clean-pool (never flagged)
SB-0480,execution,n.,виконання,"Дія, спосіб або стиль виконання (дій, маневрів, вистав).",d_clean,clean-pool (never flagged)
SB-0482,exile,n.,вигнання,Стан вигнання з дому чи країни.,d_clean,clean-pool (never flagged)
SB-0485,experimental,adj.,експериментальний,Відносно або засноване на експерименті.,d_clean,clean-pool (never flagged)
SB-0489,exploitation,n.,експлуатація,Неправомірне використання чого-небудь в корисливих цілях.,d_clean,clean-pool (never flagged)
SB-0492,extremist,n.,екстреміст,"Людина, яка дотримується крайніх поглядів, особливо той, хто відстоює такі погляди; радикал або фанатик.",d_clean,clean-pool (never flagged)
SB-0493,facilitate,v.,сприяти,Зробити легко або легше.,d_clean,clean-pool (never flagged)
SB-0494,faction,n.,фракція,"Група людей, особливо всередині політичної організації, яка висловлює спільні переконання або думку, відмінну від людей, які не є частиною групи.",d_clean,clean-pool (never flagged)
SB-0498,fatal,adj.,фатальний,Заподіяння смерті або руйнування.,c_known_open,known-open-24 (seed-20260913; pos-morphology-mismatch)
SB-0499,fate,n.,доля,"Передбачувана причина, сила, принцип або божественна воля, яка визначає події.",d_clean,clean-pool (never flagged)
SB-0500,favourable,adj.,сприятливий,"Вираження або вказівка ​​на прихильність чи доброзичливість; схвалюючи, заохочуючи.",d_clean,clean-pool (never flagged)
SB-0501,feat,n.,подвиг; визначне досягнення,Відносно рідкісне або важке досягнення.,d_clean,clean-pool (never flagged)
SB-0503,fibre,n.,клітковина,Харчові волокна.,d_clean,clean-pool (never flagged)
SB-0508,firearm,n.,вогнепальна зброя,"Особиста зброя, яка використовує вибуховий порох для приведення в дію снаряда, який часто виготовляється зі свинцю.",d_clean,clean-pool (never flagged)
SB-0511,flaw,n.,недолік,"Дефект, помилка або недосконалість, особливо прихована.",d_clean,clean-pool (never flagged)
SB-0512,flawed,adj.,дефектний,Наявність недоліку або недосконалості.,d_clean,clean-pool (never flagged)
SB-0513,flee,v.,тікати,Втікати; втекти.,d_clean,clean-pool (never flagged)
SB-0514,fleet,n.,флот,Група суден або транспортних засобів.,d_clean,clean-pool (never flagged)
SB-0515,flesh,n.,плоть,"М’які тканини тіла, особливо м’язи та жир.",d_clean,clean-pool (never flagged)
SB-0516,flexibility,n.,гнучкість,"Якість бути гнучким, фізично чи метафорично.",d_clean,clean-pool (never flagged)
SB-0518,fluid,n.,рідина,Рідина (на відміну від твердого або газоподібного).,d_clean,clean-pool (never flagged)
SB-0519,footage,n.,кадри,"Кількість плівки або стрічки, яка була використана для запису чогось.",d_clean,clean-pool (never flagged)
SB-0520,foreigner,n.,іноземець,Людина з чужої країни.,d_clean,clean-pool (never flagged)
SB-0522,formula,n.,формула,План або метод вирішення проблеми або досягнення результату.,d_clean,clean-pool (never flagged)
SB-0523,formulate,v.,формулювати,Викласти в ясній і певній формі твердження або вираз.,d_clean,clean-pool (never flagged)
SB-0524,forth,adv.,вперед,"Назовні, уперед або від певного місця; переважно у сталих виразах.",d_clean,clean-pool (never flagged)
SB-0527,fragile,adj.,крихкий,"Легко ламається, не міцний; з ніжного матеріалу.",d_clean,clean-pool (never flagged)
SB-0528,franchise,n.,франшиза; право на здійснення діяльності,"Дозвіл, наданий компанією на продаж або розповсюдження своїх товарів чи послуг на певній території.",d_clean,clean-pool (never flagged)
SB-0533,functional,adj.,функціональний,"Корисний; служіння меті, виконання функції.",d_clean,clean-pool (never flagged)
SB-0534,fundraising,n.,збір коштів,Процес збору грошей шляхом запитів пожертвувань від приватних осіб і компаній.,d_clean,clean-pool (never flagged)
SB-0535,funeral,n.,похорон,"Церемонія вшанування та пам’яті померлої людини, яка часто відрізняється від панахиди присутністю тіла померлого.",d_clean,clean-pool (never flagged)
SB-0537,gambling,n.,азартні ігри,"Діяльність, що характеризується балансом між виграшем і програшем, що регулюється сумішшю навичок і випадковості, як правило, із ставкою на результат.",d_clean,clean-pool (never flagged)
SB-0539,gaze,"n., v.",погляд,Дивитися пильно або серйозно.,d_clean,clean-pool (never flagged)
SB-0542,genocide,n.,геноцид,"Систематичне та умисне знищення групи людей; як правило, вбиваючи значну кількість з них на основі їхньої етнічної приналежності, релігії чи національності.",d_clean,clean-pool (never flagged)
SB-0543,glance,"n., v.",погляд,"Звернути (очі чи погляд) на щось, часто ненадовго.",d_clean,clean-pool (never flagged)
SB-0545,glorious,adj.,славний,"Демонстрація атрибутів, якостей або вчинків, які гідні чи отримують славу.",d_clean,clean-pool (never flagged)
SB-0546,glory,n.,слава,"Честь, захоплення чи відзнака, надані особі чи речі за спільною згодою; висока репутація; відомість.",d_clean,clean-pool (never flagged)
SB-0547,governance,n.,управління,"Процес, або сила, управління; уряд або адміністрація.",d_clean,clean-pool (never flagged)
SB-0550,grave (for dead person),n.,могила,"Місце в землі, де поховано померлу людину.",d_clean,clean-pool (never flagged)
SB-0551,grave (serious),adj.,серйозний; тяжкий,"Надзвичайно серйозний, небезпечний або такий, що викликає значне занепокоєння.",d_clean,clean-pool (never flagged)
SB-0553,grid,n.,сітка,"Система доставки електроенергії, що складається з різних підстанцій, трансформаторів і генераторів, з'єднаних дротом.",d_clean,clean-pool (never flagged)
SB-0556,grind,v.,молоти,Розрізати на дрібніші шматки шляхом подрібнення бічними рухами.,d_clean,clean-pool (never flagged)
SB-0559,guerrilla,n.,партизан,"Солдат у невеликій незалежній групі, який бореться проти уряду чи регулярних сил шляхом раптових набігів.",d_clean,clean-pool (never flagged)
SB-0560,guidance,n.,керівництво,Порада або консультація з якоїсь теми.,d_clean,clean-pool (never flagged)
SB-0561,guilt,n.,вина,Відповідальність за протиправні дії.,d_clean,clean-pool (never flagged)
SB-0562,gut,n.,кишка,"Травний тракт, особливо кишечник.",d_clean,clean-pool (never flagged)
SB-0564,halfway,adv.,на півдорозі,Половина шляху між двома точками.,d_clean,clean-pool (never flagged)
SB-0566,handful,n.,жменя,"Кількість, яку рука може схопити або вмістити.",d_clean,clean-pool (never flagged)
SB-0567,handling,n.,поводження,"Торкатися, контролювати, керувати, використовувати, піклуватися тощо рукою або руками або як руками.",d_clean,clean-pool (never flagged)
SB-0568,handy,adj.,зручний,"Простий у використанні, корисний.",d_clean,clean-pool (never flagged)
SB-0571,harmony,n.,гармонія,Договір чи згода.,c_known_open,known-open-24 (seed-20260913; semantic-pedagogical-error)
SB-0573,harvest,"n., v.",урожай,Принести врожай; жати; підбирати.,d_clean,clean-pool (never flagged)
SB-0574,hatred,n.,ненависть,Сильна відраза; сильна неприязнь.,d_clean,clean-pool (never flagged)
SB-0575,haunt,v.,переслідувати,Населяти або часто відвідувати (найчастіше використовується стосовно привидів).,d_clean,clean-pool (never flagged)
SB-0578,heritage,n.,спадщина,"традиція; практика або набір цінностей, які передаються від попередніх поколінь через сім’ї або через інституційну пам’ять.",d_clean,clean-pool (never flagged)
SB-0579,hierarchy,n.,ієрархія,"Соціальна, релігійна, економічна чи політична система або організація, в якій люди або групи людей перевищують інших на основі їхнього статусу, авторитету чи інших рис.",d_clean,clean-pool (never flagged)
SB-0580,high-profile,adj.,гучний,Важливий або добре розрекламований.,d_clean,clean-pool (never flagged)
SB-0581,hint,"n., v.",підказка,Мати на увазі без прямого твердження; щоб надати підказку.,d_clean,clean-pool (never flagged)
SB-0582,homeland,n.,батьківщина,"Країна, яку людина вважає домом.",d_clean,clean-pool (never flagged)
SB-0585,horizon,n.,горизонт,"Видима горизонтальна лінія (у всіх напрямках), де небо, здається, зустрічається з землею на відстані.",d_clean,clean-pool (never flagged)
SB-0586,horn,n.,ріг,"Твердий наріст кератину, який виступає з верхньої частини голови певних тварин, як правило, парний.",d_clean,clean-pool (never flagged)
SB-0587,hostage,n.,заручник,"Особа, захоплена з метою примусити іншу сторону діяти (або утримуватися від дій) певним чином через загрозу заподіяння шкоди заручнику.",d_clean,clean-pool (never flagged)
SB-0588,hostile,adj.,ворожий,Не доброзичливий; відповідний ворогові; показ розташування ворога; прояв злої волі та зловмисності або бажання перешкодити та завдати шкоди.,d_clean,clean-pool (never flagged)
SB-0589,hostility,n.,ворожість,Стан ворожості.,d_clean,clean-pool (never flagged)
SB-0590,humanitarian,adj.,гуманітарний,Що стосується добробуту людей.,d_clean,clean-pool (never flagged)
SB-0591,humanity,n.,людство,Людство; люди як група.,d_clean,clean-pool (never flagged)
SB-0592,humble,adj.,скромний,"Мати низьку думку про себе; не гордий, зарозумілий або самовпевнений; скромний.",d_clean,clean-pool (never flagged)
SB-0593,hydrogen,n.,водень,"Найлегший хімічний елемент (символ H), з атомним номером 1 і атомною вагою 1,008.",d_clean,clean-pool (never flagged)
SB-0595,ideological,adj.,ідеологічний,Що стосується однієї чи кількох ідеологій.,d_clean,clean-pool (never flagged)
SB-0596,ideology,n.,ідеологія,"Доктрина, філософія, сукупність переконань або принципів, що належать окремій особі чи групі.",d_clean,clean-pool (never flagged)
SB-0598,ignorance,n.,незнання,Стан необізнаності або неосвіченості; брак знань або інформації.,d_clean,clean-pool (never flagged)
SB-0599,imagery,n.,зображення,"Риторичне оформлення в письмовій чи усній формі; яскраві описи, що представляють або навіюють образи чуттєвих об'єктів; фігури в дискурсі.",d_clean,clean-pool (never flagged)
SB-0600,immense,adj.,величезний,"Величезний, гігантський, дуже великий.",d_clean,clean-pool (never flagged)
SB-0602,implementation,n.,впровадження,"Процес переходу ідеї від концепції до реальності. У бізнесі, інженерії та інших сферах реалізація відноситься до процесу будівництва, а не до процесу проектування.",d_clean,clean-pool (never flagged)
SB-0605,inability,n.,неспроможність,Відсутність вміння щось робити; недієздатність.,d_clean,clean-pool (never flagged)
SB-0610,inclusion,n.,включення,"Акт включення, тобто додавання або анексування (чогось) до групи, набору або сукупності.",d_clean,clean-pool (never flagged)
SB-0611,incur,v.,понести,"Накликати на себе або піддаватися, особливо чомусь незручному, шкідливому чи обтяжливому; стати відповідальним або підлягати.",d_clean,clean-pool (never flagged)
SB-0614,indigenous,adj.,корінний,"Народився або походить з країни чи регіону, особливо до вторгнення.",d_clean,clean-pool (never flagged)
SB-0619,infant,n.,немовля,"Дуже молода людська істота, від народження до віку від шести місяців до двох років після народження, яка потребує майже постійного догляду та уваги.",d_clean,clean-pool (never flagged)
SB-0620,infect,v.,заразити,"Привести (тіло або його частину) в контакт з речовиною, що викликає хворобу (збудником), щоб збудник почав діяти на організм;",d_clean,clean-pool (never flagged)
SB-0622,influential,adj.,впливовий,Володіння чи здійснення впливу.,d_clean,clean-pool (never flagged)
SB-0623,inherent,adj.,властивий,"Природно, як частина або наслідок чогось.",d_clean,clean-pool (never flagged)
SB-0626,inject,v.,вводити,"Робити ін’єкцію (комусь або чомусь), особливо ліків або наркотиків.",d_clean,clean-pool (never flagged)
SB-0628,injustice,n.,несправедливість,Порушення прав іншої людини чи людей.,d_clean,clean-pool (never flagged)
SB-0629,inmate,n.,в'язень,"Особа, яка перебуває в установі, наприклад, в’язниці (як засуджений) або лікарні (як пацієнт).",d_clean,clean-pool (never flagged)
SB-0630,insertion,n.,вставка,Акт вставки або щось вставлене.,d_clean,clean-pool (never flagged)
SB-0631,insider,n.,інсайдер,"Особа, яка володіє спеціальними знаннями про внутрішню роботу групи, організації чи установи.",d_clean,clean-pool (never flagged)
SB-0632,inspect,v.,оглядати,Вивчати критично або уважно; особливо для пошуку проблем або визначення стану; придивлятися.,d_clean,clean-pool (never flagged)
SB-0633,inspection,n.,огляд,"Акт вивчення чогось, часто уважно.",d_clean,clean-pool (never flagged)
SB-0634,inspiration,n.,натхнення,"Акт або процес піднесення чи стимулювання впливу на інтелект, емоції чи творчість.",d_clean,clean-pool (never flagged)
SB-0635,instinct,n.,інстинкт,Природний або вроджений імпульс або поведінка.,d_clean,clean-pool (never flagged)
SB-0636,institutional,adj.,інституційний,"З, відноситься до, характерний або організований за принципами установи.",d_clean,clean-pool (never flagged)
SB-0639,insufficient,adj.,недостатній,"Недостатньо; типу або виду, якого недостатньо, який не задовольняє вимоги чи потреби.",d_clean,clean-pool (never flagged)
SB-0642,intake,n.,споживання,Прийнята кількість.,d_clean,clean-pool (never flagged)
SB-0644,integrated,adj.,інтегрований,"складений і скоординований, щоб утворити ціле",d_clean,clean-pool (never flagged)
SB-0647,intellectual,n.,інтелектуал,"Розумна, вчена людина, особливо та, яка говорить про вчені питання.",c_known_open,known-open-24 (seed-20260913; semantic-pedagogical-error)
SB-0648,intensify,v.,посилити,Стати інтенсивним або більш інтенсивним; діяти зі зростаючою силою чи енергією.,d_clean,clean-pool (never flagged)
SB-0649,intensity,n.,інтенсивність,Якість інтенсивності.,d_clean,clean-pool (never flagged)
SB-0650,intensive,adj.,інтенсивний,Виконується з інтенсивністю або значною мірою; ретельний.,d_clean,clean-pool (never flagged)
SB-0651,intent,n.,намір,Щось призначене.,d_clean,clean-pool (never flagged)
SB-0652,interactive,adj.,інтерактивний,Пропозиція або залучення взаємодії з користувачем.,d_clean,clean-pool (never flagged)
SB-0653,interface,n.,інтерфейс,Точка взаємозв'язку між системами або підсистемами.,d_clean,clean-pool (never flagged)
SB-0654,interfere,v.,заважати,"Вплутуватися або втягуватись, завдаючи занепокоєння.",d_clean,clean-pool (never flagged)
SB-0656,interim,adj.,тимчасовий,Тимчасовий.,d_clean,clean-pool (never flagged)
SB-0658,intermediate,adj.,проміжний,Знаходження між двома крайнощами або в середині діапазону.,d_clean,clean-pool (never flagged)
SB-0659,intervene,v.,втручатися,"Втягнутися в ситуацію, щоб змінити або запобігти дії. [з в]",d_clean,clean-pool (never flagged)
SB-0662,intriguing,adj.,інтригуючий,Викликання бажання знати більше; таємничий.,d_clean,clean-pool (never flagged)
SB-0664,invisible,adj.,невидимий,Неможливо побачити; з поля зору; не видно.,d_clean,clean-pool (never flagged)
SB-0668,ironically,adv.,іронічно,В іронічній манері; певною мірою демонструючи іронію.,d_clean,clean-pool (never flagged)
SB-0671,isolation,n.,ізоляція,"Стан ізольованості, відчуженості або відокремленості; стан віддаленості від інших людей.",d_clean,clean-pool (never flagged)
SB-0672,judicial,adj.,судовий,Що стосується відправлення правосуддя.,d_clean,clean-pool (never flagged)
SB-0674,jurisdiction,n.,юрисдикція,"Влада, право чи повноваження тлумачити та застосовувати закон.",d_clean,clean-pool (never flagged)
SB-0676,justification,n.,виправдання,"Причина, пояснення або виправдання, які, на думку когось, надають переконливу, морально прийнятну підтримку для поведінки, віри чи події.",d_clean,clean-pool (never flagged)
SB-0678,kidney,n.,нирка,"Орган в організмі, який фільтрує кров, утворюючи сечу.",d_clean,clean-pool (never flagged)
SB-0681,landlord,n.,орендодавець,"Особа, яка здає в оренду нерухоме майно; орендодавець.",d_clean,clean-pool (never flagged)
SB-0685,laser,n.,лазер,"Пристрій, який створює монохроматичний когерентний пучок світла.",d_clean,clean-pool (never flagged)
SB-0687,lawn,n.,газон,"Земля (зазвичай перед або навколо будинку), вкрита травою, ретельно підкошена.",d_clean,clean-pool (never flagged)
SB-0688,lawsuit,n.,позов,"У цивільному праві — справа, у якій двоє або більше людей не погоджуються, і одна або більше сторін передають справу до суду для вирішення.",d_clean,clean-pool (never flagged)
SB-0689,layout,n.,макет,Структуроване розташування елементів у певних межах.,d_clean,clean-pool (never flagged)
SB-0692,legacy,n.,спадок,Щось успадковане від попередника чи минулого.,d_clean,clean-pool (never flagged)
SB-0693,legendary,adj.,легендарний,"Маючи неймовірну велич; чудовий до такої міри, щоб викликати історії.",d_clean,clean-pool (never flagged)
SB-0694,legislation,n.,законодавство,"Закон, прийнятий законодавчим або іншим керівним органом.",d_clean,clean-pool (never flagged)
SB-0695,legislative,adj.,законодавчий,Створення закону або законів або наявність повноважень приймати закони; правотворчість.,d_clean,clean-pool (never flagged)
SB-0697,legitimate,adj.,законний,Відповідно до закону або встановлених правових форм і вимог.,d_clean,clean-pool (never flagged)
SB-0700,lesser,adj.,менший,"З двох (або, рідше, більше двох) речей: меншої за розміром (менше), за цінністю, за важливістю тощо.",d_clean,clean-pool (never flagged)
SB-0704,liberation,n.,звільнення,Акт звільнення або стан звільнення.,d_clean,clean-pool (never flagged)
SB-0709,limb,n.,кінцівка,"Основний відросток людини або тварини, який використовується для пересування (наприклад, рука, нога або крило).",d_clean,clean-pool (never flagged)
SB-0710,linear,adj.,лінійний,Має форму лінії; прямі або приблизно прямі; за прямим курсом.,d_clean,clean-pool (never flagged)
SB-0711,line-up,n.,склад учасників; програма,"Склад людей або виконавців, які беруть участь у події, команді чи програмі.",d_clean,clean-pool (never flagged)
SB-0713,listing,n.,список,Запис у списку або каталозі.,d_clean,clean-pool (never flagged)
SB-0714,literacy,n.,грамотність,Уміння читати і писати.,d_clean,clean-pool (never flagged)
SB-0715,liver,n.,печінка,"Великий орган в організмі, який зберігає та метаболізує поживні речовини, знищує токсини та виробляє жовч. Він відповідає за тисячі біохімічних реакцій.",d_clean,clean-pool (never flagged)
SB-0718,logic,n.,логіка,"Метод людського мислення, який передбачає лінійне, поетапне мислення про те, як можна вирішити проблему. Логіка є основою багатьох принципів, включаючи науковий метод.",d_clean,clean-pool (never flagged)
SB-0719,long-standing,adj.,давній,Існуючи тривалий час; тривалого існування.,d_clean,clean-pool (never flagged)
SB-0720,long-time,adj.,давній,"Такий, що існує, триває або виконує певну роль протягом тривалого часу.",d_clean,clean-pool (never flagged)
SB-0723,loyalty,n.,вірність,"Вірність або відданість якійсь людині, справі чи нації.",d_clean,clean-pool (never flagged)
SB-0724,machinery,n.,машини,"Машини, що складають виробничий апарат на заводі тощо, разом.",c_known_open,known-open-24 (seed-20260913; grammar-calque-fragment)
SB-0726,magistrate,n.,суддя,"Судовий службовець з обмеженими повноваженнями для адміністрування та забезпечення виконання закону. Магістратський суд може мати юрисдикцію в цивільних або кримінальних справах, або в обох.",d_clean,clean-pool (never flagged)
SB-0728,magnitude,n.,величина,"Абсолютний або відносний розмір, ступінь або важливість чогось.",d_clean,clean-pool (never flagged)
SB-0729,mainland,n.,материк,"Континент; основна земля, на відміну від островів або півострова.",d_clean,clean-pool (never flagged)
SB-0730,mainstream,"n., adj.",мейнстрим; загальноприйнятий напрям,"Те, що загальне; норма.",d_clean,clean-pool (never flagged)
SB-0732,mandate,n.,мандат; офіційні повноваження,Офіційна або авторитетна команда; наказ чи розпорядження; комісія; судовий припис; дозвіл.,d_clean,clean-pool (never flagged)
SB-0733,mandatory,adj.,обов'язковий,обов'язковий; вимагається або наказується владою.,d_clean,clean-pool (never flagged)
SB-0736,manipulation,n.,маніпуляція,Практика маніпулювання або стан маніпулювання.,d_clean,clean-pool (never flagged)
SB-0737,manuscript,n.,рукопис,"Книга, твір або будь-який інший документ, написаний від руки (або машинописний), не відтворений механічно.",d_clean,clean-pool (never flagged)
SB-0740,marine,adj.,морський,Приналежність або характеристика моря; існуючі або знайдені в морі; утворені або вироблені морем.,d_clean,clean-pool (never flagged)
SB-0741,marketplace,n.,ринок,Світ комерції та торгівлі.,d_clean,clean-pool (never flagged)
SB-0742,mask,n.,маска,"Покриття, або часткове покриття, для обличчя, яке використовується для маскування або захисту.",d_clean,clean-pool (never flagged)
SB-0743,massacre,n.,різанина,"Вбивство значної кількості (зазвичай обмежене людьми), де спротив чинити незначний або взагалі відсутній, із застосуванням невибіркового насильства, без необхідності та/або всупереч цивілізованим нормам.",d_clean,clean-pool (never flagged)
SB-0746,maximize,v.,максимізувати,Зробити якомога більшим.,d_clean,clean-pool (never flagged)
SB-0747,meaningful,adj.,значущий,"Має значення, значний.",d_clean,clean-pool (never flagged)
SB-0748,meantime,n.,тим часом,"Час, витрачений на очікування іншої події; час між ними.",d_clean,clean-pool (never flagged)
SB-0749,medieval,adj.,середньовічний,"Середньовіччя або пов’язане з ним, період приблизно з 500 до 1500 року нашої ери.",c_known_open,known-open-24 (seed-20260913; pos-morphology-mismatch)
SB-0751,melody,n.,мелодія,"Послідовність нот, що складає музичну фразу.",d_clean,clean-pool (never flagged)
SB-0752,memo,n.,записка,Коротка записка; меморандум.,d_clean,clean-pool (never flagged)
SB-0753,memoir,n.,мемуари,"автобіографія; книга, що описує особистий досвід автора.",d_clean,clean-pool (never flagged)
SB-0754,memorial,n.,меморіал,"Щось, наприклад пам'ятник, яким хтось або щось згадується.",d_clean,clean-pool (never flagged)
SB-0755,mentor,n.,ментор,Мудрий і надійний порадник або вчитель.,d_clean,clean-pool (never flagged)
SB-0756,merchant,n.,купець,"Людина, яка торгує товарами з метою отримання прибутку.",d_clean,clean-pool (never flagged)
SB-0757,mercy,n.,милосердя,"Прощення або співчуття, особливо до тих, кому пощастило менше.",d_clean,clean-pool (never flagged)
SB-0760,merge,v.,злити,Поєднати в ціле.,d_clean,clean-pool (never flagged)
SB-0761,merger,n.,злиття,"Юридичне об’єднання двох або більше корпорацій в одну юридичну особу, активи та зобов’язання, як правило, бере на себе сторона-покупець.",d_clean,clean-pool (never flagged)
SB-0762,merit,n.,заслуга,"Щось, що заслуговує або гідне позитивного визнання чи винагороди.",d_clean,clean-pool (never flagged)
SB-0763,methodology,n.,методологія,"Набір методів, практик, процедур і правил, які використовують ті, хто працює в певній сфері.",d_clean,clean-pool (never flagged)
SB-0764,midst,n.,посеред,Місце в середині чого-небудь; може використовуватися в буквальному або метафоричному значенні.,d_clean,clean-pool (never flagged)
SB-0765,migration,n.,міграція,Випадок переїзду на деякий час жити в інше місце.,d_clean,clean-pool (never flagged)
SB-0768,mill,n.,млин,"Пристрій для подрібнення таких речовин, як зерно, насіння тощо (деякі малі та прості, а інші великі та складні).",d_clean,clean-pool (never flagged)
SB-0769,minimal,adj.,мінімальний,"Найменша можлива сума, кількість або ступінь.",d_clean,clean-pool (never flagged)
SB-0770,minimize,v.,мінімізувати,Зробити (щось) менше або якомога менше; скорочуватися; зменшити.,d_clean,clean-pool (never flagged)
SB-0771,mining,n.,видобуток,Діяльність із вилучення цінних ресурсів (часто мінералів) із землі.,d_clean,clean-pool (never flagged)
SB-0774,miracle,n.,чудо,"Подія, яка здається незрозумілою за законами природи і тому вважається надприродною за походженням.",d_clean,clean-pool (never flagged)
SB-0775,misery,n.,страждання,Велике нещастя; сильний біль тіла або розуму; убогість; дистрес; горе.,d_clean,clean-pool (never flagged)
SB-0776,misleading,adj.,оманливий,"Оманливий або схильний вводити в оману чи створювати хибне враження, навіть якщо технічно відповідає дійсності.",d_clean,clean-pool (never flagged)
SB-0779,mobility,n.,мобільність,Здатність до пересування; здатність до руху.,d_clean,clean-pool (never flagged)
SB-0782,modification,n.,модифікація,Результат модифікації чогось; нову або змінену форму.,d_clean,clean-pool (never flagged)
SB-0784,monk,n.,чернець,"Чоловічий член чернечого ордену, який присвятив своє життя релігійному служінню.",d_clean,clean-pool (never flagged)
SB-0787,motive,n.,мотив,"Стимул діяти певним чином; причина або емоція, яка спонукає щось зробити; все, що спонукає до вибору дії.",d_clean,clean-pool (never flagged)
SB-0788,motorist,n.,автомобіліст,"Той, хто керує транспортним засобом.",d_clean,clean-pool (never flagged)
