id,word,source,category,severity,issue,proposed_correction,confidence
SB-0420,ease,main-pass,grammar,P1,"pos n.,v. but only noun; def is verbal; duplicated word.",легкість; полегшувати,high
SB-0423,educator,main-pass,pedagogical-accuracy,P1,'вихователь' narrow to kindergarten caregiver.,"педагог (broader, primary)",medium
SB-0424,effectiveness,main-pass,pedagogical-accuracy,P1,"Same ua as efficiency, erasing distinction.",результативність,medium
SB-0425,efficiency,main-pass,pedagogical-accuracy,P1,Identical translation as effectiveness.,Differentiate effectiveness as результативність.,medium
SB-0439,empower,main-pass,semantic-fidelity,P1,'уповноважити' narrow legal; def is modern empowerment sense.,розширювати права і можливості,medium
SB-0443,encouraging,main-pass,semantic-fidelity,P1,'заохочувальний' implies official incentive not hope-giving.,"обнадійливий, сприятливий",medium
SB-0449,enforce,main-pass,other,P1,'Не відставати' irrelevant/garbled opening.,"забезпечувати виконання (закону, правила)",medium
SB-0463,equation,main-pass,other,P1,Truncated.,Complete sentence.,high
SB-0473,excellence,main-pass,semantic-fidelity,P1,'відмінність' means difference not excellence.,досконалість,medium
SB-0486,expire,main-pass,grammar,P1,Conjugated form not infinitive; generic sense.,втрачати чинність / закінчуватися,medium
SB-0487,explicit,main-pass,semantic-fidelity,P1,"'явний'=obvious, confuses explicit/implicit/obvious triad.","чіткий, недвозначний, прямо виражений",medium
SB-0488,explicitly,main-pass,semantic-fidelity,P1,Same issue as explicit.,"чітко, прямо, недвозначно",medium
SB-0490,explosive,main-pass,grammar,P1,"pos adj.,n. but only adj given; def is noun sense.",вибуховий; вибухівка,medium
SB-0502,feminist,main-pass,grammar,P1,"pos adj.,n. but only fem noun given.",феміністський (adj.); фемініст/феміністка (n.),high
SB-0506,filter,main-pass,grammar,P1,"pos n.,v. but only noun; stilted def.",фільтр (n.); фільтрувати (v.),high
SB-0509,fit,main-pass,semantic-fidelity,P1,"ua=seizure sense; def=degree of fit sense, mismatched.","Add відповідність, посадка sense.",high
SB-0525,forthcoming,main-pass,semantic-fidelity,P1,"ua=upcoming; def=forthright/willing sense, missing.","1) майбутній; 2) відвертий, готовий надати інформацію",high
SB-0526,foster,main-pass,pedagogical-accuracy,P1,Misses academic 'foster growth/cooperation' sense.,"сприяти, заохочувати (розвитку)",medium
SB-0530,frustrated,main-pass,other,P1,"Garbled, truncated; 'розчарований'=disappointed near-miss for frustrated.","роздратований, фрустрований",high
SB-0532,frustration,main-pass,semantic-fidelity,P1,'розчарування'=disappointment; def=frustration(irritation).,"фрустрація; роздратування, безсилля",medium
SB-0538,gathering,main-pass,grammar,P1,"'збирання'=harvesting gerund, wrong word for 'зібрання'.",зібрання,high
SB-0540,gear,main-pass,semantic-fidelity,P1,ua=cog; def=equipment sense.,"спорядження, екіпіровка",high
SB-0544,glimpse,main-pass,semantic-fidelity,P1,'проблиск'=glimmer not glimpse; garbled fragment.,побіжний погляд; швидкий погляд,high
SB-0548,grace,main-pass,semantic-fidelity,P1,'благодать'=religious grace; def=secular elegance.,"грація, витонченість",high
SB-0557,grip,main-pass,semantic-fidelity,P1,'зчеплення' is technical traction term.,"міцно тримати, стискати",medium
SB-0563,hail,main-pass,grammar,P1,pos v. but ua is noun; missing 'hail as' sense.,"падати (про град); проголошувати, вихваляти",medium
SB-0584,hopeful,main-pass,grammar,P1,'обнадійливий' describes thing not person; def incomplete.,сповнений надії (про людину); обнадійливий (про факт),medium
SB-0594,identification,main-pass,pedagogical-accuracy,P1,"Narrows to ID-document sense, omits process sense.",Процес встановлення особи/явища; also ID document.,medium
SB-0601,imminent,main-pass,other,P1,"Garbled/duplicated, irrelevant duration clause.",Що має статися дуже скоро; близький.,medium
SB-0604,imprisonment,main-pass,other,P1,Word duplicated.,Fix duplication.,high
SB-0606,inadequate,main-pass,semantic-fidelity,P1,"'неадекватний' connotes irrational behavior, false friend.",недостатній / невідповідний,high
SB-0616,indulge,main-pass,semantic-fidelity,P1,'балуватися'=fool around; stray leading colon.,потурати (собі); давати собі волю,medium
SB-0618,infamous,main-pass,other,P1,'безсолідний' not a real word.,Remove artifact.,high
SB-0621,inflict,main-pass,circular-definition,P1,Vague gloss.,"Заподіювати, завдавати (болю, шкоди).",medium
SB-0625,initiate,main-pass,grammar,P1,"'Для початку' = 'for starters' discourse marker, mistranslation.",Розпочати; започаткувати.,high
SB-0640,insult,main-pass,grammar,P1,"pos n.,v. but only noun; def is verbal.",образа (n.); ображати (v.),high
SB-0641,intact,main-pass,other,P1,Nonsensical 'Ліва' (Left) mistranslation.,Залишається повним або цілим.,high
SB-0643,integral,main-pass,semantic-fidelity,P1,Academic sense is 'невід'ємний' not math term 'інтегральний'.,невід'ємний,high
SB-0655,interference,main-pass,semantic-fidelity,P1,'інтерференція' is physics term; def is general meddling.,втручання,high
SB-0661,intimate,main-pass,semantic-fidelity,P1,"'інтимний' connotes sexual/private, register trap for academic use.",близький (intimate friend/knowledge),medium
SB-0682,landmark,main-pass,semantic-fidelity,P1,'орієнтир' emphasizes navigation; def is historic site.,пам'ятка / визначна пам'ятка,medium
SB-0690,leak,main-pass,grammar,P1,"pos v.,n. but only noun; def verbal.",витікати / просочуватися (v.); витік (n.),medium
SB-0691,leap,main-pass,grammar,P1,"pos v.,n. but only noun; def is bare verb infinitive.",стрибати (v.); стрибок (n.),high
SB-0696,legislature,main-pass,semantic-fidelity,P1,ua=abstract power; def=specific institution.,законодавчий орган,medium
SB-0702,liable,main-pass,other,P1,Duplicated fragments; loses legal/likelihood senses.,Юридично зобов'язаний нести відповідальність.,high
SB-0703,liberal,main-pass,semantic-fidelity,P1,"pos adj.,n. mismatch; narrows to left-wing politics only.",ліберальний; ліберал with broader def.,medium
SB-0707,lifelong,main-pass,grammar,P1,pos adj. but ua is noun phrase.,довічний; пожиттєвий,high
SB-0716,lobby,main-pass,semantic-fidelity,P1,"pos n.,v. but only ambiguous noun; def is verb sense.",лобіювання (n.); лобіювати (v.),medium
SB-0717,log,main-pass,grammar,P1,"pos n.,v. but only noun; misses 'record' sense.",колода (n.); вести журнал (v.),medium
SB-0738,march,main-pass,grammar,P1,"pos n.,v. but only noun; def verbal.",марш (n.); маршувати (v.),medium
SB-0745,mature,main-pass,grammar,P1,"pos adj.,v. but only adj; def is verb.",зрілий (adj.); дозрівати (v.),high
SB-0750,meditation,main-pass,other,P1,Truncated.,Complete sentence.,high
SB-0766,militant,main-pass,semantic-fidelity,P1,"pos n.,adj. but only adj; def is noun sense.","войовничий (adj.); войовник, бойовик (n.)",high
SB-0767,militia,main-pass,other,P1,Truncated; 'міліція' evokes Soviet police.,Complete sentence; clarify sense.,high
SB-0772,ministry,main-pass,other,P1,Truncated mid-word.,Complete sentence.,high
SB-0773,minute2,main-pass,other,P1,'word' field malformed ('minute2').,Fix word field to 'minute'.,high
SB-0778,mob,main-pass,register,P1,"'моб' is gaming slang, not academic.",натовп; юрба,high
SB-0785,monopoly,main-pass,other,P1,Truncated.,Complete sentence.,high
SB-0793,naval,main-pass,semantic-fidelity,P1,Same as 'marine'; loses military-specific nuance.,військово-морський,medium
SB-0803,nomination,main-pass,grammar,P1,Broken/reversed word order.,Акт висування кандидатури на посаду.,high
SB-0805,nonetheless,main-pass,russianism-calque,P1,Calque of Russian; also circular definition.,проте / однак / тим не менш,medium
SB-0816,oblige,main-pass,semantic-fidelity,P1,Only dated 'do a favor' sense given; missing primary legal/moral require sense.,Змусити когось щось зробити через закон/правило.,medium
SB-0819,occasional,main-pass,semantic-fidelity,P1,"'випадковий'=random/accidental, different nuance.",нечастий; періодичний,medium
SB-0828,oral,main-pass,pedagogical-accuracy,P1,ua=spoken sense (correct for exam context) but def is anatomical 'mouth' sense.,"Здійснюваний за допомогою мовлення, не письма.",medium
SB-0829,organizational,main-pass,grammar,P1,"Broken syntax calque 'З, пов'язані'.","Той, що стосується організації.",high
SB-0831,originate,main-pass,other,P1,'веснятися' not a real word; duplicated fragment.,Виникати; мати початок.,high
SB-0836,outrage,main-pass,grammar,P1,pos v. included but only noun given; def is verbal.,обурення (n.); обурювати (v.),high
SB-0843,overwhelming,main-pass,semantic-fidelity,P1,'переважний' fits only 'majority'; def is broader sense.,приголомшливий; непереборний,medium
SB-0844,pad,main-pass,semantic-fidelity,P1,"'колодка' is hard block, not soft cushion.",подушечка; м'яка прокладка,medium
SB-0849,partial,main-pass,grammar,P1,Duplicated fragment; missing 'biased' sense.,"Такий, що є лише частиною; also упереджений.",high
SB-0855,patent,spot-check,russianism-calque,P1,"'листи патент' literal calque of 'letters patent', not real Ukrainian.","ua: ""патент"" | definitionUa: ""Офіційний документ, що надає винахіднику виключне право виготовляти, використовувати чи продавати винахід протягом визначеного строку.""",high
SB-0857,patrol,main-pass,semantic-fidelity,P1,pos v. but only noun; 'або бити' mistranslates 'beat' (route).,патруль (n.); патрулювати (v.),medium
SB-0861,peculiar,main-pass,semantic-fidelity,P1,'своєрідний' neutral/positive vs 'strange'; 'непарний' mistranslation of 'odd'.,"дивний, незвичний; remove 'непарний'",medium
SB-0863,persistent,main-pass,semantic-fidelity,P1,'стійкий'=stable; def=determined sense (наполегливий).,наполегливий; тривалий/хронічний,medium
SB-0869,pioneer,main-pass,grammar,P1,pos v. included but only noun; verb form missing.,піонер (n.); започаткувати (v.),medium
SB-0874,plead,main-pass,semantic-fidelity,P1,'благати'=beg; def=legal plea sense.,заявляти (про визнання вини),medium
SB-0876,plug,main-pass,semantic-fidelity,P1,'Зупинити вилкою' confuses plug/fork nonsensically.,"закупорити, заткнути (отвір).",medium
SB-0889,precision,main-pass,circular-definition,P1,"Word repeated, destroying accuracy/precision distinction.",Стан бути точним; високий ступінь деталізації.,high
SB-0898,premium,main-pass,semantic-fidelity,P1,'премія' reads as bonus; needs qualifier for insurance sense.,страховий внесок / страхова премія,medium
SB-0901,presently,main-pass,semantic-fidelity,P1,Duplicated text; misses formal 'soon' sense dominant in academic register.,незабаром; наразі,medium
SB-0916,probe,main-pass,semantic-fidelity,P1,ua only physical-instrument; misses investigative sense common in IELTS.,зонд; розслідування,high
SB-0927,projection,main-pass,pedagogical-accuracy,P1,Misses forecast/estimate sense central to Writing Task 1.,Add прогноз/оцінка майбутніх показників.,high
SB-0932,prosecute,main-pass,semantic-fidelity,P1,"Ambiguous with 'persecute', false-friend trap.",притягати до кримінальної відповідальності,medium
SB-0934,prosecutor,main-pass,circular-definition,P1,Circular.,"Посадова особа, яка представляє обвинувачення в суді.",high
SB-0935,prospective,main-pass,semantic-fidelity,P1,"'перспективний' implies promise, prospective is neutral future/potential.",майбутній; потенційний,medium
SB-0941,provision,main-pass,semantic-fidelity,P1,ua=general supply sense; def=narrow 'provisions'(food stockpile) sense.,Split into provision/provisions entries.,high
SB-0948,quest,main-pass,register,P1,"'квест' strongly gaming-associated, register mismatch for formal use.",пошук(и); прагнення,medium
SB-0950,radar,main-pass,other,P1,Truncated.,Complete sentence.,high
SB-0960,readily,main-pass,semantic-fidelity,P1,"ua=willingly; def=easily sense, conflated.",охоче; легко (both senses).,medium
SB-0961,realization,main-pass,semantic-fidelity,P1,"ua=achieving sense; def=becoming aware sense, mismatched.",Align sense or list both.,high
SB-0964,reasoning,main-pass,other,P1,'приміщень'(rooms) mistranslation of 'premises'(logic).,Replace with 'передумов'/'посилок'.,high
SB-0986,reluctant,main-pass,grammar,P1,pos adj. but ua is adverb form; def repeats idea twice.,неохочий,high
SB-1004,residence,main-pass,pedagogical-accuracy,P1,'резиденція' implies official/grand residence.,місце проживання; помешкання,medium
SB-1007,resignation,main-pass,semantic-fidelity,P1,'звільнення' ambiguous with being fired; resignation is voluntary.,Добровільна відмова від посади.,medium
SB-1011,restoration,main-pass,pedagogical-accuracy,P1,'реставрація' narrow to art/architecture; broader 'відновлення' more useful.,відновлення (spec. реставрація for art),medium
SB-1012,restraint,main-pass,russianism-calque,P1,'резерв' calque confusing personal restraint with stockpile.,"Стриманість, самоконтроль.",medium
SB-1014,retreat,main-pass,grammar,P1,"pos n.,v. but only noun; garbled def.",відступ (n.); відступати (v.),medium
SB-1021,revolutionary,main-pass,grammar,P1,"Ungrammatical, largely incomprehensible.","Такий, що спричиняє докорінні зміни.",high
SB-1027,robust,main-pass,pedagogical-accuracy,P1,Only physical/health sense; misses academic 'robust economy/methodology'.,Add систему/економіку/методологію sense.,medium
SB-1036,sacrifice,main-pass,grammar,P1,"pos n.,v. but only noun given.",жертва (n.); жертвувати (v.),medium
SB-1044,screw,main-pass,grammar,P1,"pos v.,n. but only noun; awkward calque def.",гвинт (n.); прикручувати (v.),medium
SB-1059,settlement,main-pass,pedagogical-accuracy,P1,Missing legal/negotiation 'agreement resolving dispute' sense.,"Add угода, врегулювання спору.",medium
SB-1061,sexuality,main-pass,pedagogical-accuracy,P1,Reduces to sexual activity; academic use is orientation/identity.,Сукупність особливостей орієнтації та ідентичності.,medium
SB-1077,skip,main-pass,semantic-fidelity,P1,"ua=omit sense; def=hopping movement, mismatched.",Align to same sense.,medium
SB-1079,slap,main-pass,grammar,P1,pos v. but ua is noun.,ляснути; дати ляпаса,high
SB-1084,snap,main-pass,semantic-fidelity,P1,"ua=grab; def=break suddenly, mismatched.",тріснути; ламатися з тріском,medium
SB-1090,solicitor,main-pass,pedagogical-accuracy,P1,"Definition explicitly says NOT court representative, but ua='адвокат' contradicts this.",соліситор (не представляє в суді).,medium
SB-1103,spectrum,main-pass,circular-definition,P1,Circular/incomplete for general 'spectrum of opinions' sense.,Повний діапазон значень чи варіантів.,medium
SB-1109,spouse,main-pass,semantic-fidelity,P1,"ua only 'wife', losing gender-neutral meaning.",чоловік/дружина (у шлюбі),high
SB-1110,spy,main-pass,grammar,P1,"pos n.,v. but only noun.",шпигун (n.); шпигувати (v.),medium
SB-1117,standing,main-pass,grammar,P1,pos adj. but ua is adverbial participle (while standing).,"той, що стоїть (не зрубаний); постійний",high
SB-1126,straightforward,main-pass,semantic-fidelity,P1,'прямолінійний' connotes bluntness not simplicity.,простий; зрозумілий; нескладний,medium
SB-1132,strip,main-pass,grammar,P1,ua reflexive but def is transitive action.,"знімати, здирати (шар) з когось/чогось",medium
SB-1134,structural,main-pass,russianism-calque,P1,"Broken calque, ungrammatical opening.","Такий, що стосується структури.",high
SB-1138,subscriber,main-pass,pedagogical-accuracy,P1,'абонент' primarily telecom term; inconsistent with subscription='підписка'.,передплатник / підписник,medium
SB-1143,substitute,main-pass,grammar,P1,"pos n.,v. but only noun; verb missing.",замінник (n.); замінювати (v.),medium
SB-1157,supervise,main-pass,semantic-fidelity,P1,"Inconsistent with family words supervision=нагляд, supervisor=наглядач.",наглядати (за); керувати,medium
SB-1159,supervisor,main-pass,register,P1,'наглядач' carries negative prison-guard connotation.,керівник; науковий керівник,high
SB-1160,supplement,main-pass,grammar,P1,"pos n.,v. but only noun.",додаток (n.); доповнювати (v.),medium
SB-1165,surge,main-pass,grammar,P1,"Imprecise noun match, missing verb form.","сплеск, різке зростання (n.); наростати (v.)",medium
SB-1167,surplus,main-pass,other,P1,"Duplicated phrase, nonsensical 'excessive age' fragment.","Те, що залишається понад потребу.",high
SB-1169,surveillance,main-pass,other,P1,Disconnected garbled second clause.,"Ретельне, часто приховане спостереження.",medium
SB-1174,swing,main-pass,pedagogical-accuracy,P1,Only playground sense; misses fluctuate/change sense.,Add коливання; зміна (opinion swing).,medium
SB-1179,systematic,main-pass,russianism-calque,P1,'замовленою'(ordered/commissioned) mistranslation of 'ordered'(orderly).,впорядкованою процедурою,high
SB-1187,tenure,main-pass,semantic-fidelity,P1,ua=general possession; def=academic tenure specifically.,тенюр; безстрокова посада,medium
SB-1188,terminal,main-pass,semantic-fidelity,P1,ua=general final; def=medical incurable sense.,невиліковний; смертельний (medical),medium
SB-1195,thankfully,main-pass,semantic-fidelity,P1,"ua=fortunately(correct); def=literal 'gratefully' sense, mismatched.","На щастя; добре, що так сталося.",high
SB-1198,theoretical,main-pass,other,P1,'анотація'(annotation/abstract-doc) mistranslation of adjective 'abstract'.,"абстрактний, не емпіричний.",high
SB-1201,thoughtful,main-pass,semantic-fidelity,P1,"ua=reflective sense; def=considerate/kind sense, mismatched.","Align: вдумливий=reflective, or change ua to уважний до інших.",high
SB-1204,threshold,main-pass,other,P1,"Wrongly appends 'windowsill', unrelated object.",Remove 'підвіконня'.,medium
SB-1206,thrive,main-pass,pedagogical-accuracy,P1,Only financial sense via calque; misses general flourish sense.,"Успішно розвиватися, процвітати (general).",medium
SB-1214,toll,main-pass,semantic-fidelity,P1,'мито'=customs duty; def=road/bridge toll.,плата за проїзд,high
SB-1216,torture,main-pass,semantic-fidelity,P1,"pos n.,v. but only noun; verb missing.",тортури; катувати,medium
SB-1220,trace,main-pass,circular-definition,P1,Meaningless calque using technical loanword.,Ледь помітний знак чи ознака.,high
SB-1222,trail,main-pass,register,P1,ua noun but def is verb; 'хвостити' colloquial slang inconsistent with register.,Split senses; avoid slang.,medium
SB-1226,transformation,main-pass,circular-definition,P1,Circular.,Докорінна зміна форми чи характеру.,high
SB-1231,trauma,main-pass,circular-definition,P1,Circular; omits physical/medical sense.,Сильне фізичне ушкодження або емоційне потрясіння.,high
SB-1237,trigger,main-pass,pedagogical-accuracy,P1,Only literal firearm sense; academic 'cause/trigger' abstract sense missing.,"Add подія/фактор, що спричиняє реакцію.",high
SB-1256,uphold,main-pass,pedagogical-accuracy,P1,Garbled repetition; misses legal/principle-defending sense.,"Підтримувати, захищати рішення/принцип.",high
SB-1264,variable,main-pass,pedagogical-accuracy,P1,Definition is programming-only; misses statistical/scientific sense.,"Фактор, що може змінюватися (research).",high
SB-1265,varied,main-pass,circular-definition,P1,"Word repeated, no real explanation.","Такий, що містить багато різних видів.",high
SB-1267,venture,main-pass,semantic-fidelity,P1,ua noun but def is weak verb gloss.,Split noun/verb senses properly.,medium
SB-1276,vibrant,main-pass,semantic-fidelity,P1,ua=visual brightness; def=figurative energy sense.,"жвавий; енергійний, повний життя",medium
SB-1278,vicious,main-pass,semantic-fidelity,P1,'порочний'=wicked/depraved; def=cruel sense.,жорстокий,medium
SB-1279,villager,main-pass,semantic-fidelity,P1,'селянин' has occupational (peasant) connotation.,мешканець села / сільський житель,medium
SB-1283,vocal,main-pass,pedagogical-accuracy,P1,Missing figurative 'outspoken/vocal critic' sense.,Add відкрито висловлює свою думку.,medium
SB-1286,vulnerable,main-pass,pedagogical-accuracy,P1,Awkward calque frames as noun phrase not quality.,"Такий, що легко піддається нападу чи шкоді.",medium
SB-1290,warrant,main-pass,pedagogical-accuracy,P1,Missing verb sense 'to warrant/justify'.,"Add виправдовувати, бути підставою для.",medium
SB-1296,well-being,main-pass,pedagogical-accuracy,P1,'добробут' connotes material prosperity; broader concept needed.,благополуччя,medium
SB-1297,whatsoever,main-pass,grammar,P1,'будь-що' pronoun vs adverbial emphatic function of whatsoever.,взагалі (emphatic),medium
SB-1298,whereby,main-pass,register,P1,Colloquial connective mismatches formal register; terse definition.,згідно з яким / за допомогою якого,medium
SB-1301,wholly,main-pass,circular-definition,P1,"Garbled, tautological.","Повністю, цілком, без винятків.",high
SB-1305,willingness,main-pass,semantic-fidelity,P1,'бажання'=desire not readiness; circular.,готовність,high
SB-1307,wit,main-pass,semantic-fidelity,P1,'розум'=intellect general; standard term is 'дотепність'.,дотепність,medium
SB-1309,workout,main-pass,semantic-fidelity,P1,"'ЛФК' narrowly therapeutic exercise, misleading as synonym.",Період фізичних вправ.,medium
SB-1314,yield,main-pass,russianism-calque,P1,"'рендерити' is 3D-graphics calque, not natural equivalent.","виробляти, приносити (плоди, прибуток)",high
SB-1315,youngster,main-pass,semantic-fidelity,P1,'юнак'=young man specifically; def is gender-neutral.,підліток / молода людина,high
SB-1317,approach,main-pass,semantic-fidelity,P1,ua=method sense; def=physical-approach sense only.,Add method definition.,high
SB-1318,area,main-pass,semantic-fidelity,P1,ua=abstract field sense; def=geographic only.,Add сфера діяльності definition.,high
SB-1319,assessment,main-pass,circular-definition,P1,Repeats headword twice.,Процес визначення якості на основі аналізу.,high
SB-1320,assume,main-pass,other,P1,First clause nonsensical garbled.,Remove first clause; keep здогадуватися.,high
SB-1328,create,main-pass,other,P1,"Truncated, dangling colon.",Complete sentence.,high
SB-1331,derived,main-pass,circular-definition,P1,"Circular, same root.",Отриманий або утворений з чогось іншого.,medium
SB-1347,involved,main-pass,grammar,P1,ua is participle but def is verb infinitive (defines 'involve' not 'involved').,"Той, хто бере участь у чомусь.",medium
SB-1362,response,main-pass,circular-definition,P1,Tautological.,Реакція на щось сказане чи зроблене.,high
SB-1365,sector,main-pass,circular-definition,P1,"Too vague, confusingly reuses 'section' gloss.",Окрема частина економіки чи діяльності.,high
SB-1376,appropriate,main-pass,semantic-fidelity,P1,"'щасливий'(happy/lucky) wrong synonym, likely mistranslated 'felicitous'.",Remove 'щасливий'.,medium
SB-1378,assistance,main-pass,grammar,P1,ua given in accusative not nominative.,допомога,high
SB-1383,complex,main-pass,grammar,P1,ua is plural form not base singular.,складний,high
SB-1390,credit,main-pass,semantic-fidelity,P1,"ua=financial loan; def=trust/belief sense, conflated.",Separate senses.,high
SB-1393,elements,main-pass,grammar,P1,ua is genitive not nominative plural; word 'основи' repeated.,елементи,high
SB-1395,features,main-pass,semantic-fidelity,P1,Doesn't capture 'distinctive characteristics' sense.,Характерні риси чи властивості чогось.,medium
SB-1396,final,main-pass,semantic-fidelity,P1,ua=adjective sense; def=noun 'final exam' sense only.,"Такий, що є останнім або завершальним.",high
SB-1406,participation,main-pass,circular-definition,P1,"Circular, repeated.",Акт участі в діяльності чи події.,high
SB-1407,perceived,main-pass,other,P1,Stilted awkward calque.,Витлумачений або оцінений певним чином.,medium
SB-1408,positive,main-pass,pedagogical-accuracy,P1,"Narrow logical sense, omits favorable/optimistic sense.","Сприятливий, оптимістичний, корисний.",high
SB-1416,relevant,main-pass,semantic-fidelity,P1,Plural form; leans toward 'timely' not 'pertinent'.,релевантний (singular),medium
SB-1420,security,main-pass,grammar,P1,ua in genitive not nominative.,безпека,high
SB-1426,text,spot-check,circular-definition,P1,'Напис'(inscription) wrong word entirely for general 'text'.,"ua: ""текст"" | definitionUa: ""Написаний або надрукований набір слів чи речень; основний словесний зміст книжки, статті або повідомлення.""",high
SB-1429,alternative,main-pass,grammar,P1,ua noun but def is adjective sense.,Один з двох або більше варіантів.,medium
SB-1447,excluded,main-pass,other,P1,"Opens with 'Зберігається'(preserved), contradicting meaning.",Не допущений до участі; вилучений.,medium
SB-1448,framework,main-pass,pedagogical-accuracy,P1,"ua too literal (picture frame); def software-only, misses theoretical/legal framework.",основа / структура / каркас,high
SB-1449,funds,main-pass,grammar,P1,ua genitive not nominative.,кошти,high
SB-1453,initial,main-pass,semantic-fidelity,P1,"ua=adjective sense; def=noun 'initials' sense, mismatched.","Такий, що є першим чи на самому початку.",medium
SB-1454,instance,main-pass,semantic-fidelity,P1,'екземпляр'=copy/specimen; def='example/case' sense.,приклад / випадок,high
SB-1470,reliance,main-pass,semantic-fidelity,P1,"'опора' is the support itself, not the act of relying.",покладання (на когось/щось),medium
SB-1475,shift,main-pass,other,P1,"Garbled, unclear.",Зміна становища/напрямку; also робочий період.,high
SB-1483,access,main-pass,grammar,P1,ua genitive not nominative.,доступ,high
SB-1488,attitudes,main-pass,pedagogical-accuracy,P1,"Archaic/narrow sense, misses opinion/viewpoint sense central to IELTS topics.",Стійка думка чи оцінне ставлення до чогось.,high
SB-1501,domestic,main-pass,other,P1,Garbled duplicated word; ua plural not singular.,вітчизняний; домашній/внутрішній,high
SB-1506,granted,main-pass,semantic-fidelity,P1,"ua=passive participle sense; def=discourse-marker 'granted,...' sense, mismatched.",Align: визнаючи це / хоча й.,high
SB-1519,output,spot-check,semantic-fidelity,P1,'Вихід'(exit) mismatches economic/industrial output sense in definition.,"ua: ""продукція; обсяг виробництва; результат"" | definitionUa: ""Кількість чогось виробленого, особливо за певний період або внаслідок певних зусиль.""",high
SB-1526,professional,main-pass,semantic-fidelity,P1,ua=adjective; def=noun 'a professional' sense.,Align part of speech and definition.,high
SB-1528,promote,main-pass,semantic-fidelity,P1,'сприяти'=facilitate; def=advertising sense needs просувати/рекламувати.,просувати / рекламувати (advertising sense),medium
SB-1535,subsequent,main-pass,other,P1,Second half nonsensical; ua plural not singular.,"наступний; Такий, що йде після чогось.",high
SB-1537,summary,main-pass,pedagogical-accuracy,P1,"'резюме' commonly means job CV, confusing in essay context.",підсумок / короткий виклад,medium
SB-1541,aware,main-pass,register,P1,Colloquial phrase inconsistent with academic/neutral register.,обізнаний / усвідомлений,medium
SB-1543,challenge,main-pass,other,P1,'сміливість'(courage) confuses concept with personal trait.,Складне завдання; заклик позмагатися.,medium
SB-1548,decline,main-pass,semantic-fidelity,P1,"ua=deterioration sense; def=refusal sense, mismatched.","Align: занепад with deterioration definition, or ua=відмова.",high
SB-1549,draft,main-pass,pedagogical-accuracy,P1,"Same ua as 'project', erasing distinction; 'чернетка' more precise.",чернетка,medium
SB-1569,objective,spot-check,pedagogical-accuracy,P1,Only adjective sense; misses common noun 'goal' sense despite word-family tag.,"ua: ""об'єктивний (прикм.); ціль, мета (ім.)"" | definitionUa: ""1. (прикм.) Не залежний від сильних емоцій чи упереджень; неупереджений. 2. (ім.) Мета або ціль, якої прагнуть досягти.""",high
SB-1571,precise,main-pass,other,P1,Nonsensical repeated word; ua plural not singular.,точний; Чіткий і достеменно правильний.,high
SB-1574,pursue,main-pass,pedagogical-accuracy,P1,"'переслідувати' hostile connotation, misleading for 'pursue a degree/career'.",прагнути до / домагатися,medium
SB-1581,trend,main-pass,pedagogical-accuracy,P1,Only fashion/fad sense; misses core statistical 'trend' sense for Writing Task 1.,Загальний напрямок зміни з часом.,medium
SB-1592,bond,main-pass,other,P1,Truncated mid-word.,Complete sentence.,high
SB-1595,cited,main-pass,other,P1,"Too thin/vague, confuses 'cited' with 'quotation'.",Згаданий або наведений як джерело.,medium
SB-1596,display,spot-check,pedagogical-accuracy,P1,Only narrow tech-screen sense; misses verb and 'display of emotion' senses.,"ua: ""дисплей, екран (ім.); показувати, виявляти (дієсл.); вияв, прояв"" | definitionUa: ""1. (ім.) Електронний екран, що показує зображення чи текст; показ, виставка. 2. (дієсл.) Показувати або відкрито виявляти щось, зокрема почуття.""",high
SB-1600,estate,main-pass,semantic-fidelity,P1,'маєток'=manor house; def=legal estate(assets/liabilities) sense.,спадщина / майно (legal sense),medium
SB-1607,ignored,main-pass,grammar,P1,ua present-passive form not participle; def is bare infinitive.,проігнорований,medium
SB-1611,inhibition,main-pass,circular-definition,P1,"Circular, misses psychological/social-inhibition sense.",Психологічний стан стримування реакції.,medium
SB-1612,initiatives,main-pass,pedagogical-accuracy,P1,"Only etymological sense, misses 'programme/measure' academic sense.",План дій чи програма для розв'язання проблеми.,medium
SB-1620,neutral,main-pass,grammar,P1,Infinitive defines adjective; dangling genitive plural with no head noun.,"Такий, що не підтримує жодну зі сторін.",high
SB-1624,presumption,main-pass,pedagogical-accuracy,P1,'презумпція' almost exclusively legal term; general sense needs 'припущення'.,припущення (з юридичною поміткою для презумпції),medium
SB-1629,transport,main-pass,grammar,P1,ua noun but def is verb sense.,Split noun/verb or align.,medium
SB-1634,classical,main-pass,pedagogical-accuracy,P1,"Narrows to classical-music sense only, omits classical literature/economics/physics.",Add broader traditional-authority sense.,medium
SB-1636,comprise,main-pass,semantic-fidelity,P1,"'включати'=include(whole→part); comprise def is consist of(part→whole), classic usage trap, contradicts own def.",складатися з (primary),high
SB-1654,inferred,main-pass,grammar,P1,ua unrelated noun 'a conclusion'; def entirely verbal.,виведений (шляхом умовиводу),high
SB-1655,innovation,main-pass,semantic-fidelity,P1,"'інноваційність'=innovativeness(quality), not 'an innovation'(the thing itself).",інновація / нововведення,high
