id,stage,source_stage,proposal_source,word,pos,category,confidence,provenance,finding_evidence,proposal_rationale,current_ua,current_definitionUa,source_proposed_target,source_proposed_value,proposed_ua,proposed_definitionUa,proposal_fields,effective_fields,current_pair_sha256,finding_rationale,finding_confidence,proposal_evidence_quote
SB-0467,A,part1-floor,docs/G4A_RESIDUAL_AUDIT_R2_INTAKE.csv,establishment,n.,grammar-calque-fragment,medium,R1-listed defect; severity normalized to P1 by Codex acceptance review,"Run-on, malformed establishment list ('...постійна організація, бізнес або сила...'); 'сила' is an off gloss and the list is grammatically awkward.",,заклад,"Те, що встановлено; як форма правління, постійна організація, бізнес або сила, або місце, де людина постійно проживає.",definitionUa,"Установа, заклад або підприємство, створені для сталої діяльності; також сам процес заснування.",,"Установа, заклад або підприємство, створені для сталої діяльності; також сам процес заснування.",definitionUa,definitionUa,9b81dc72b1c84da9defec6e41b4b52e49863560ff9c36a96b29d429694081305,,medium,
SB-0471,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,evolutionary,adj.,calque-russianism,high,R2 A/B reconciliation (union-defect roster),Відносно біологічної теорії еволюції або до неї,,еволюційний,Відносно біологічної теорії еволюції або до неї.,definitionUa,Пов’язаний з еволюцією або теорією еволюції.,,Пов’язаний з еволюцією або теорією еволюції.,definitionUa,definitionUa,9a4d853fdac013b6c1017a63248b29ba5e432f9e5907413eabf6da4ca6cf3150,«Відносно… або до неї» is a malformed Russian-influenced calque — confirmed.,high,
SB-0474,A,part1-floor,docs/G4A_RESIDUAL_AUDIT_R2_INTAKE.csv,exceptional,adj.,grammar-calque-fragment,medium,R1-listed defect; severity normalized to P1 by Codex acceptance review,'exceptional' led with awkward calque 'Формування винятку' (formation of an exception) and ends with number-disagreeing plural adj 'рідкісні' (should be sing. 'рідкісний'); core sense 'незвичайний' present.,,винятковий,Формування винятку; не звичайний; незвичайний; рідкісні.,definitionUa,"Такий, що становить виняток; незвичайний; рідкісний.",,"Такий, що становить виняток; незвичайний; рідкісний.",definitionUa,definitionUa,a67df83062089775df1a4c066b4cc41ec084c8b3e7fd841e7b83ae584be43390,,medium,
SB-0475,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,excess,"n., adj.",pos-alignment,high,R2 A/B reconciliation (union-defect roster),Стан перевищення,,надлишок,"Стан перевищення або виходу за межі; стан поза достатністю, необхідністю або обов'язком; більше, ніж те, що є звичайним або належним.",both,"ua: надлишок; надмірний | definitionUa: Кількість понад необхідну норму; також більший, ніж потрібно або дозволено.",надлишок; надмірний,"Кількість понад необхідну норму; також більший, ніж потрібно або дозволено.",ua|definitionUa,ua|definitionUa,5016e1ba0e7b01b80c4ed2b9a6fe44a23e0ce95bdd2bffea21b3869b64e18927,"excess is n.,adj. but ua «надлишок» and the definition cover only the noun sense — the coverage defect is confirmed.",high,
SB-0478,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,exclusively,adv.,calque-russianism,high,R2 A/B reconciliation (union-defect roster),на виключення будь-чого,,виключно,на виключення будь-чого або будь-кого іншого; виключно або цілком,definitionUa,"Лише для когось або чогось, без залучення інших; винятково.",,"Лише для когось або чогось, без залучення інших; винятково.",definitionUa,definitionUa,1af694a4daa6dcb19c022c83219db713326901833dfccec3234d68ee1eaca095,lowercase «на виключення» is an unidiomatic calque and the definition lacks terminal punctuation — confirmed.,high,
SB-0485,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,experimental,adj.,calque-russianism,high,R2 A/B reconciliation (union-defect roster),засноване,,експериментальний,Відносно або засноване на експерименті.,definitionUa,"Такий, що стосується експерименту або ґрунтується на ньому.",,"Такий, що стосується експерименту або ґрунтується на ньому.",definitionUa,definitionUa,e3b87d36cfdd4bd8938a8f140c09b20029d1a8da80a6940f5069357daa206ecb,«Відносно» calque plus neuter «засноване» not agreeing with the masculine adjective — confirmed.,high,
SB-0493,A,part1-floor,docs/G4A_RESIDUAL_AUDIT_R2_INTAKE.csv,facilitate,v.,grammar-calque-fragment,low,R1-listed defect; severity normalized to P1 by Codex acceptance review,'facilitate' glossed 'Зробити легко' uses adverb 'легко' where 'зробити легким/полегшити' is required; 'або легше' is fine.,,сприяти,Зробити легко або легше.,definitionUa,Робити легшим; полегшувати.,,Робити легшим; полегшувати.,definitionUa,definitionUa,5a19a78b9f7f7dc84943a5b581de25df7c0707296e5f573ccd8a87c09cfb0a01,,low,
SB-0494,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,faction,n.,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),відмінну від людей,,фракція,"Група людей, особливо всередині політичної організації, яка висловлює спільні переконання або думку, відмінну від людей, які не є частиною групи.",definitionUa,"Група всередині більшої організації, члени якої мають спільні погляди, відмінні від поглядів інших членів.",,"Група всередині більшої організації, члени якої мають спільні погляди, відмінні від поглядів інших членів.",definitionUa,definitionUa,7511f3f2de569e0ec31b75ba9f563b761a64740ad1acf90f3b4a3aac701d3810,"«думку, відмінну від людей» contrasts an opinion with people rather than with their views — the semantic slip is confirmed.",high,
SB-0498,A,part1-floor,docs/G4A_RESIDUAL_AUDIT_R2_INTAKE.csv,fatal,adj.,pos-morphology-mismatch,high,R1-listed defect; severity normalized to P1 by Codex acceptance review,Adjective 'fatal' defined with a noun head 'Заподіяння' ('the causing'); should be adjectival (смертельний/згубний).,,фатальний,Заподіяння смерті або руйнування.,definitionUa,"Такий, що спричиняє смерть або руйнування; смертельний, згубний.",,"Такий, що спричиняє смерть або руйнування; смертельний, згубний.",definitionUa,definitionUa,b0a16c5b3eff9bc2e341b3d293bf2fc59e5471b8d55c6a106059b0010794d6ba,,high,
SB-0500,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,favourable,adj.,pos-alignment,high,R2 A/B reconciliation (union-defect roster),Вираження або вказівка,,сприятливий,"Вираження або вказівка ​​на прихильність чи доброзичливість; схвалюючи, заохочуючи.",definitionUa,"Такий, що виражає схвалення або створює добрі умови для успіху.",,"Такий, що виражає схвалення або створює добрі умови для успіху.",definitionUa,definitionUa,1ff5b7516f5fbb21af80e7cd7c6599e6ea94fe3649a52a82bb81f3f998479920,the definition uses a noun phrase plus adverbial participles instead of defining the adjective favourable — confirmed.,high,
SB-0516,A,part1-floor,docs/G4A_R2_SUPPLEMENTAL_PROPOSALS.csv,flexibility,n.,grammar-calque,high,Codex seed-20260914 blinded acceptance challenge,'Якість бути гнучким' is an English-pattern calque; idiomatic Ukrainian requires 'здатність/властивість бути гнучким'.,"Narrow-token case: confirmed 'Якість бути гнучким' calques the English 'quality of being flexible' pattern, which is unidiomatic in Ukrainian. Replaced only 'Якість' with 'Здатність' (the standard здатність+infinitive construction used for abilities/properties), leaving 'бути гнучким, фізично чи метафорично' untouched.",гнучкість,"Якість бути гнучким, фізично чи метафорично.",,,,"Здатність бути гнучким, фізично чи метафорично.",definitionUa,definitionUa,3481787de618a464d1719915b85ea5df594576ce678a6838464bd8263d75c9aa,,high,Якість бути гнучким
SB-0518,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,fluid,n.,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),на відміну від твердого або газоподібного,,рідина,Рідина (на відміну від твердого або газоподібного).,both,"ua: рідина; текуча речовина | definitionUa: Речовина, що може текти й набувати форми посудини, зокрема рідина або газ.",рідина; текуча речовина,"Речовина, що може текти й набувати форми посудини, зокрема рідина або газ.",ua|definitionUa,ua|definitionUa,11e03209b5637029631a85b2ea1cd9592996b23c7caa0a96be3dc64c94cb6c2f,"the definition contrasts fluid with gas and ua gives only «рідина», whereas a fluid includes gases — the semantic defect is confirmed.",high,
SB-0519,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,footage,n.,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),Кількість плівки або стрічки,,кадри,"Кількість плівки або стрічки, яка була використана для запису чогось.",definitionUa,"Відеоматеріал або кадри, записані для фільму, телебачення чи іншої мети.",,"Відеоматеріал або кадри, записані для фільму, телебачення чи іншої мети.",definitionUa,definitionUa,74cd0c1874adbebfe2de09655331f441a1873fe263498aa89f46fe131a500e00,"footage is recorded moving-image material, not «Кількість плівки або стрічки» consumed — semantic defect confirmed.",high,
SB-0539,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,gaze,"n., v.",pos-alignment,high,R2 A/B reconciliation (union-defect roster),Дивитися пильно або серйозно,,погляд,Дивитися пильно або серйозно.,both,ua: пильний погляд; пильно дивитися | definitionUa: Тривалий уважний погляд; також довго й уважно дивитися.,пильний погляд; пильно дивитися,Тривалий уважний погляд; також довго й уважно дивитися.,ua|definitionUa,ua|definitionUa,efafeacc4022bb1abbe28fd85e4fffa5368128daa45e4ae0afeaaef270dbe1b2,"gaze is n.,v. but ua «погляд» is noun-only while the definition is verb-only — the coverage defect is confirmed.",high,
SB-0543,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,glance,"n., v.",pos-alignment,high,R2 A/B reconciliation (union-defect roster),Звернути (очі чи погляд),,погляд,"Звернути (очі чи погляд) на щось, часто ненадовго.",both,ua: швидкий погляд; швидко глянути | definitionUa: Короткий погляд; також швидко подивитися на когось або щось.,швидкий погляд; швидко глянути,Короткий погляд; також швидко подивитися на когось або щось.,ua|definitionUa,ua|definitionUa,308d9b1c325aeaf158e219e9d7036e29fbaf94248621be35e956509255ea77be,"glance is n.,v. but ua «погляд» is noun-only while the definition is verb-only — coverage defect confirmed.",high,
SB-0545,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,glorious,adj.,pos-alignment,high,R2 A/B reconciliation (union-defect roster),Демонстрація атрибутів,,славний,"Демонстрація атрибутів, якостей або вчинків, які гідні чи отримують славу.",definitionUa,"Такий, що заслуговує великої слави або викликає захоплення.",,"Такий, що заслуговує великої слави або викликає захоплення.",definitionUa,definitionUa,c7cbf341947be5ba9bd3cabd11629acc740ba5573e8bbfe0419e5b5d97f6190e,«Демонстрація атрибутів…» is a noun phrase rather than an adjective definition for glorious — confirmed.,high,
SB-0547,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,governance,n.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),"Процес, або сила, управління",,управління,"Процес, або сила, управління; уряд або адміністрація.",definitionUa,"Система й процеси, за допомогою яких організацією або державою керують і контролюють її діяльність.",,"Система й процеси, за допомогою яких організацією або державою керують і контролюють її діяльність.",definitionUa,definitionUa,053df36d4a7a4074edbc6208060ce805df0c454d7d872db423ef7fe98cbf3d2d,"«Процес, або сила, управління» has invalid punctuation and does not coherently define governance — confirmed.",high,
SB-0556,A,part1-floor,docs/G4A_R2_SUPPLEMENTAL_PROPOSALS.csv,grind,v.,semantic-pedagogical,medium,Codex seed-20260914 blinded acceptance challenge,"Grind is rendered as cutting by sideways movements; the core action is crushing, rubbing, or milling into smaller particles.","Whole-definition case: the recorded claim criticises the whole rendering as cutting by sideways movements, not a single token, and the gloss is 'молоти' (to mill/grind), so rewrote the full definition rather than swapping one word. Built on imperfective verbs ('Перетворювати', gerunds of 'розтирати'/'розмелювати') to match this bank's convention for verb entries (cf. 'Обговорювати', 'Брати участь'), and avoided circularity -- my prior draft's 'Розтерти ... шляхом подрібнення' said crush by means of crushing, which this version does not repeat. Confidence is medium: the exact choice of manner verbs (розтирати/розмелювати) is a defensible but not uniquely determined rendering of 'grind'.",молоти,Розрізати на дрібніші шматки шляхом подрібнення бічними рухами.,,,,"Перетворювати щось на дрібні частинки, розтираючи або розмелюючи його.",definitionUa,definitionUa,ad394d01d2204cc9f3e050f3842cecb8cba3e7df1e08050d719ba2b12974b2e5,,high,Розрізати на дрібніші шматки
SB-0567,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,handling,n.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),або як руками,,поводження,"Торкатися, контролювати, керувати, використовувати, піклуватися тощо рукою або руками або як руками.",definitionUa,"Спосіб поводження з предметом, ситуацією або питанням; керування чи оброблення.",,"Спосіб поводження з предметом, ситуацією або питанням; керування чи оброблення.",definitionUa,definitionUa,ec830c1fcea7320e078c3ea15bea021076a5ecdc9520089a3112d7a5e21cd0b5,the ending «або як руками» is nonsensical and leaves handling undefined — confirmed.,high,
SB-0571,A,part1-floor,docs/G4A_RESIDUAL_AUDIT_R2_INTAKE.csv,harmony,n.,semantic-pedagogical-error,high,R1-listed defect; severity normalized to P1 by Codex acceptance review,'Договір' (a contract) is wrong for harmony; harmony = 'співзвуччя/злагода'.,,гармонія,Договір чи згода.,definitionUa,Злагода або співзвуччя; погодженість.,,Злагода або співзвуччя; погодженість.,definitionUa,definitionUa,36f26c69b7178a4afacd16f38ca297ddbdeece0b436e6d2b1edd0c23c0965dad,,high,
SB-0573,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,harvest,"n., v.",pos-alignment,high,R2 A/B reconciliation (union-defect roster),Принести врожай; жати; підбирати,,урожай,Принести врожай; жати; підбирати.,both,ua: урожай; збирати врожай | definitionUa: Зібрані сільськогосподарські культури; також збирати їх після дозрівання.,урожай; збирати врожай,Зібрані сільськогосподарські культури; також збирати їх після дозрівання.,ua|definitionUa,ua|definitionUa,538b231b2a643b9c5567a04822303dfb1f684678ca9e7454aa23438588e6adb9,"harvest is n.,v. but ua «урожай» is noun-only while the definition is verb-only — coverage defect confirmed.",high,
SB-0581,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,hint,"n., v.",pos-alignment,high,R2 A/B reconciliation (union-defect roster),Мати на увазі без прямого твердження,,підказка,Мати на увазі без прямого твердження; щоб надати підказку.,both,ua: натяк; натякати | definitionUa: Непряма підказка; також давати зрозуміти щось без прямого твердження.,натяк; натякати,Непряма підказка; також давати зрозуміти щось без прямого твердження.,ua|definitionUa,ua|definitionUa,271fb2bb7aedc3ed0af32fedbc7822653405ab10759abbf120218ac9f51a4c8d,"hint is n.,v. but ua «підказка» is noun-only while the definition is verb-framed and breaks its own pattern — the POS coverage/consistency defect is confirmed.",high,
SB-0588,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,hostile,adj.,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),показ розташування ворога,,ворожий,Не доброзичливий; відповідний ворогові; показ розташування ворога; прояв злої волі та зловмисності або бажання перешкодити та завдати шкоди.,definitionUa,"Недружній або ворожий; такий, що виявляє злу волю чи бажання завдати шкоди.",,"Недружній або ворожий; такий, що виявляє злу волю чи бажання завдати шкоди.",definitionUa,definitionUa,0c1d43487171819814ac79f750ac20b5ee6f65303c8f6f9251465e6371d86bcd,«показ розташування ворога» is a false rendering of 'showing the disposition of an enemy' (розташування = physical position) — confirmed.,high,
SB-0599,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,imagery,n.,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),фігури в дискурсі,,зображення,"Риторичне оформлення в письмовій чи усній формі; яскраві описи, що представляють або навіюють образи чуттєвих об'єктів; фігури в дискурсі.",both,"ua: образність; образи | definitionUa: Виразні мовні образи й описи, що викликають чуттєві уявлення.",образність; образи,"Виразні мовні образи й описи, що викликають чуттєві уявлення.",ua|definitionUa,ua|definitionUa,155d7d9760e70426a83fa395cbf2924eb10297469f4bb1e964bafac17be959ab,ua «зображення» misses literary imagery and «фігури в дискурсі» is opaque and unidiomatic — confirmed.,high,
SB-0602,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,implementation,n.,calque-russianism,high,R2 A/B reconciliation (union-defect roster),реалізація відноситься до,,впровадження,"Процес переходу ідеї від концепції до реальності. У бізнесі, інженерії та інших сферах реалізація відноситься до процесу будівництва, а не до процесу проектування.",definitionUa,"Процес практичного здійснення плану, ідеї, системи або рішення.",,"Процес практичного здійснення плану, ідеї, системи або рішення.",definitionUa,definitionUa,9c98c8d20fa27f1db35e5bf0aeed72b481007a8c1e5f924084b92047cb088918,«відноситься до» is a Russian-influenced calque and the definition wrongly equates implementation with construction — confirmed.,high,
SB-0614,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,indigenous,adj.,pos-alignment,high,R2 A/B reconciliation (union-defect roster),особливо до вторгнення,,корінний,"Народився або походить з країни чи регіону, особливо до вторгнення.",definitionUa,"Корінний для певної країни чи регіону; такий, що походить звідти природно або історично.",,"Корінний для певної країни чи регіону; такий, що походить звідти природно або історично.",definitionUa,definitionUa,3a414f1a985ed8cbe393effb327c6e1c3e13926bb881752946f84fd49f6e32bc,past-tense «Народився» does not define the adjective and the invasion qualifier is inaccurate — confirmed.,high,
SB-0634,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,inspiration,n.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),стимулювання впливу,,натхнення,"Акт або процес піднесення чи стимулювання впливу на інтелект, емоції чи творчість.",definitionUa,"Вплив або ідея, що спонукає до творчості, дії чи нового задуму.",,"Вплив або ідея, що спонукає до творчості, дії чи нового задуму.",definitionUa,definitionUa,d2688c2546885b50eb00e279b0d542909232bce2f327b1a4a87e50d40f43a18e,«піднесення чи стимулювання впливу» is grammatically opaque and does not explain inspiration — confirmed.,high,
SB-0636,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,institutional,adj.,calque-russianism,high,R2 A/B reconciliation (union-defect roster),"З, відноситься до",,інституційний,"З, відноситься до, характерний або організований за принципами установи.",definitionUa,Пов’язаний з установою або характерний для неї.,,Пов’язаний з установою або характерний для неї.,definitionUa,definitionUa,189ae1d8080d946f3cdbcb8845bfe2ed0b78120b30dbf3c0b7eab3a58472fddc,"«З, відноситься до» is malformed and contains the Russian-influenced «відноситься до» — confirmed.",high,
SB-0639,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,insufficient,adj.,pos-alignment,high,R2 A/B reconciliation (union-defect roster),"типу або виду, якого недостатньо",,недостатній,"Недостатньо; типу або виду, якого недостатньо, який не задовольняє вимоги чи потреби.",definitionUa,"Такий, якого замало для задоволення вимог або потреб.",,"Такий, якого замало для задоволення вимог або потреб.",definitionUa,definitionUa,1c7fc06f62ec9492cc16be5c2ce007786555cb270f1443432a06abebc429a63b,"«Недостатньо; типу або виду…» is a malformed adverbial fragment, not an adjective definition — confirmed.",high,
SB-0647,A,part1-floor,docs/G4A_RESIDUAL_AUDIT_R2_INTAKE.csv,intellectual,n.,semantic-pedagogical-error,medium,R1-listed defect; severity normalized to P1 by Codex acceptance review,Defining trait 'говорить про вчені питання' (merely talks about learned matters) misrepresents 'intellectual'.,,інтелектуал,"Розумна, вчена людина, особливо та, яка говорить про вчені питання.",definitionUa,"Розумна, освічена людина, особливо та, яка займається інтелектуальною працею.",,"Розумна, освічена людина, особливо та, яка займається інтелектуальною працею.",definitionUa,definitionUa,6d5a633abf27666518ec375c082697643c6ddb8a38739651160a42ab3b16178c,,medium,
SB-0651,A,part1-floor,docs/G4A_R2_SUPPLEMENTAL_PROPOSALS.csv,intent,n.,semantic-pedagogical,medium,Codex seed-20260914 blinded acceptance challenge,"Intent is defined as 'Щось призначене' rather than an intention, purpose, or aim.","Whole-definition case: verified the claim -- 'Щось призначене' means 'something designated/intended-for-a-purpose' (an object sense), not the mental-state sense of 'intent' matching the gloss 'намір'. Since the entire clause described the wrong concept, a token swap was insufficient; rewrote the definition around purpose/aim/design, the core sense of 'намір'.",намір,Щось призначене.,,,,Мета або задум зробити щось; свідоме прагнення досягти певного результату.,definitionUa,definitionUa,c32eaf71b7a02cb720239047bf05edc44383849735d6c26df28fabc08dd75040,,high,Щось призначене
SB-0652,A,part1-floor,docs/G4A_R2_SUPPLEMENTAL_PROPOSALS.csv,interactive,adj.,pos-morphology,medium,Codex seed-20260914 blinded acceptance challenge,Adjective interactive is led by the noun 'Пропозиція'; the phrase is ungrammatical and does not define the adjective.,"Whole-definition case: verified the claim -- the definition opens with the noun 'Пропозиція' (a proposal/offer), which is ungrammatical as a definition of the adjective 'інтерактивний' and does not describe the adjective at all. Rewrote as a standard adjectival formula referring to user interaction, the core sense of the headword.",інтерактивний,Пропозиція або залучення взаємодії з користувачем.,,,,"Такий, що передбачає взаємодію з користувачем.",definitionUa,definitionUa,bc98b8b92208aa7ba222375c1c574fb7f5194c9b1ac07ecde0811cc88817f7df,,high,Пропозиція або залучення
SB-0658,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,intermediate,adj.,calque-russianism,high,R2 A/B reconciliation (union-defect roster),Знаходження між двома крайнощами,,проміжний,Знаходження між двома крайнощами або в середині діапазону.,definitionUa,"Розташований або такий, що перебуває між двома рівнями чи крайнощами.",,"Розташований або такий, що перебуває між двома рівнями чи крайнощами.",definitionUa,definitionUa,ed18ae1ff85af7ed7b8962f88afcbeb5edf7d9aa074ea97676dcad3bad221b2a,the noun phrase «Знаходження між» is a Russian-influenced construction and does not define the adjective intermediate — confirmed.,high,
SB-0659,A,part1-floor,docs/G4A_RESIDUAL_AUDIT_R2_INTAKE.csv,intervene,v.,other,medium,R1-listed defect; severity normalized to P1 by Codex acceptance review,definitionUa carries a stray editorial artifact '[з в]' leaked into learner-facing text.,,втручатися,"Втягнутися в ситуацію, щоб змінити або запобігти дії. [з в]",definitionUa,"Втрутитися в ситуацію, щоб змінити або запобігти дії.",,"Втрутитися в ситуацію, щоб змінити або запобігти дії.",definitionUa,definitionUa,b24e612663495d68fb92f3bfb6d42ba341546a9e70586b1bcd170aa2b7141cfb,,medium,
SB-0694,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,legislation,n.,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),"Закон, прийнятий законодавчим",,законодавство,"Закон, прийнятий законодавчим або іншим керівним органом.",definitionUa,Сукупність законів або процес їх ухвалення законодавчим органом.,,Сукупність законів або процес їх ухвалення законодавчим органом.,definitionUa,definitionUa,cec838f7ebdee0e62c34053b11e9bfe9b0709d430b75c08a04d44e7510bdc846,"legislation is a body or process of lawmaking, not the single «Закон» the definition states — semantic defect confirmed.",high,
SB-0695,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,legislative,adj.,pos-alignment,high,R2 A/B reconciliation (union-defect roster),Створення закону або законів,,законодавчий,Створення закону або законів або наявність повноважень приймати закони; правотворчість.,definitionUa,Пов’язаний з ухваленням законів або наділений повноваженнями їх ухвалювати.,,Пов’язаний з ухваленням законів або наділений повноваженнями їх ухвалювати.,definitionUa,definitionUa,e52b8db96eacf4f92a7f3c71e60893f6608d04692ea51a3227d1fffbc081d4c0,«Створення закону» is a noun phrase rather than an adjective definition for legislative — confirmed.,high,
SB-0710,A,part1-floor,docs/G4A_R2_SUPPLEMENTAL_PROPOSALS.csv,linear,adj.,grammar-syntax,high,Codex seed-20260914 blinded acceptance challenge,"After singular 'Має форму лінії', the gloss shifts to plural adjectives 'прямі ... прямі'.","Narrow-token case: confirmed the definition shifts from the singular predicate 'Має форму лінії' to plural adjectives 'прямі ... прямі', disagreeing with the singular masculine gloss 'лінійний'. Changed only that clause to singular masculine 'прямий або приблизно прямий'; the surrounding clauses are unchanged.",лінійний,Має форму лінії; прямі або приблизно прямі; за прямим курсом.,,,,Має форму лінії; прямий або приблизно прямий; за прямим курсом.,definitionUa,definitionUa,ec0e79b756607eb90058266d380e45e58c6f77b81da63d8d7a16d68db09fd107,,high,прямі або приблизно прямі
SB-0718,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,logic,n.,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),"лінійне, поетапне мислення",,логіка,"Метод людського мислення, який передбачає лінійне, поетапне мислення про те, як можна вирішити проблему. Логіка є основою багатьох принципів, включаючи науковий метод.",definitionUa,Система принципів правильного міркування та встановлення обґрунтованих висновків.,,Система принципів правильного міркування та встановлення обґрунтованих висновків.,definitionUa,definitionUa,502707ae4f5534b77f57811430eff2b069ac5a1ba0a0181be2b1d38a72ed23b7,the definition inaccurately reduces logic to linear step-by-step problem solving — semantic defect confirmed.,high,
SB-0724,A,part1-floor,docs/G4A_RESIDUAL_AUDIT_R2_INTAKE.csv,machinery,n.,grammar-calque-fragment,high,R1-listed defect; severity normalized to P1 by Codex acceptance review,Malformed word order: trailing 'разом' dangles at the end of the definition.,,машини,"Машини, що складають виробничий апарат на заводі тощо, разом.",definitionUa,"Машини, що разом складають виробничий апарат заводу тощо.",,"Машини, що разом складають виробничий апарат заводу тощо.",definitionUa,definitionUa,4e0118684a83c1d1b54b8dd4cf4fc92e28633b04a47a723a3e3b549f1c3027ca,,high,
SB-0740,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,marine,adj.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),Приналежність або характеристика моря,,морський,Приналежність або характеристика моря; існуючі або знайдені в морі; утворені або вироблені морем.,definitionUa,"Пов’язаний із морем; такий, що існує, утворюється або відбувається в морі.",,"Пов’язаний із морем; такий, що існує, утворюється або відбувається в морі.",definitionUa,definitionUa,20f8d52e70c849db260707c616ddc0a8cc50ff74a2fbd7349b90df244c882be7,"the definition shifts from a singular noun to plural participles, producing broken adjective agreement — confirmed.",high,
SB-0748,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,meantime,n.,pos-alignment,high,R2 A/B reconciliation (union-defect roster),тим часом,,тим часом,"Час, витрачений на очікування іншої події; час між ними.",both,ua: проміжний час | definitionUa: Період між двома подіями або до настання очікуваної події.,проміжний час,Період між двома подіями або до настання очікуваної події.,ua|definitionUa,ua|definitionUa,3f4eec7d3a6c64ef4c8f6037726cbbd9e26b272cba40b0d4292d9d9d40d72eb7,"the noun meantime is glossed with the adverbial «тим часом» ('meanwhile'), a POS mismatch that mistrains usage — confirmed.",high,
SB-0749,A,part1-floor,docs/G4A_RESIDUAL_AUDIT_R2_INTAKE.csv,medieval,adj.,pos-morphology-mismatch,medium,R1-listed defect; severity normalized to P1 by Codex acceptance review,Adjective 'medieval' defined starting with the noun 'Середньовіччя'; POS mismatch.,,середньовічний,"Середньовіччя або пов’язане з ним, період приблизно з 500 до 1500 року нашої ери.",definitionUa,"Такий, що стосується Середньовіччя (приблизно 500–1500 рр. н.е.) або пов'язаний з ним.",,"Такий, що стосується Середньовіччя (приблизно 500–1500 рр. н.е.) або пов'язаний з ним.",definitionUa,definitionUa,e329b37384bebb6ee6b1d1e901bf20d7fa077d78cf56822eba5509dbfb28e534,,medium,
SB-0761,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,merger,n.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),бере на себе сторона-покупець,,злиття,"Юридичне об’єднання двох або більше корпорацій в одну юридичну особу, активи та зобов’язання, як правило, бере на себе сторона-покупець.",definitionUa,"Юридичне об’єднання двох або більше компаній в одну, за якого активи й зобов’язання переходять до об’єднаної компанії.",,"Юридичне об’єднання двох або більше компаній в одну, за якого активи й зобов’язання переходять до об’єднаної компанії.",definitionUa,definitionUa,f49ca8fedf28ab404e43ec7553e4de7cf8177eeac9087c55fecb523f9bd3adf2,«активи та зобов’язання … бере на себе сторона-покупець» miscoordinates number/agent and garbles which party assumes what — confirmed.,high,
SB-0764,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,midst,n.,pos-alignment,high,R2 A/B reconciliation (union-defect roster),посеред,,посеред,Місце в середині чого-небудь; може використовуватися в буквальному або метафоричному значенні.,both,ua: середина; центр | definitionUa: Середня частина або оточення чогось; часто у вислові «посеред чогось».,середина; центр,Середня частина або оточення чогось; часто у вислові «посеред чогось».,ua|definitionUa,ua|definitionUa,d646700eedbff00919e9496d927f96f58365ad517b8322374badc392023260dd,"midst is a noun but ua «посеред» is a preposition/adverb, giving no noun equivalent — the POS mismatch is confirmed.",high,
