id,word,pos,ua,definitionUa,disposition,category,evidence,confidence,provenance,proposed_target,proposed_value
SB-0457,enterprise,n.,підприємство,"Компанія, бізнес, організація чи інша цілеспрямована діяльність.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0458,enthusiast,n.,ентузіаст,"Людина, сповнена або керована ентузіазмом.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0460,entity,n.,сутність,"Те, що існує як окрема одиниця, часто використовується для організацій, які не мають фізичної форми.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0461,epidemic,n.,епідемія,"Широко поширене захворювання, яке вражає багато людей у ​​популяції.",P2,semantic-precision,"An epidemic is an outbreak or unusually high occurrence, not simply a widely spread disease.",medium,Codex seed-20260914 blinded acceptance challenge,,
SB-0464,erect,v.,звести,Збирати шляхом з’єднання матеріалів або частин.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0466,essence,n.,суть,Внутрішня природа речі або ідеї.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0467,establishment,n.,заклад,"Те, що встановлено; як форма правління, постійна організація, бізнес або сила, або місце, де людина постійно проживає.",P1,grammar-calque-fragment,"Run-on, malformed establishment list ('...постійна організація, бізнес або сила...'); 'сила' is an off gloss and the list is grammatically awkward.",medium,R1-listed defect; severity normalized to P1 by Codex acceptance review,definitionUa,"Установа, заклад або підприємство, створені для сталої діяльності; також сам процес заснування."
SB-0468,eternal,adj.,вічний,Триває назавжди; нескінченний.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0470,evoke,v.,викликати,"Викликати прояв чогось (емоції, картини тощо) в чиємусь розумі чи уяві.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0471,evolutionary,adj.,еволюційний,Відносно біологічної теорії еволюції або до неї.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0472,exaggerate,v.,перебільшувати,"Перебільшувати, описувати більше, ніж факт.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0474,exceptional,adj.,винятковий,Формування винятку; не звичайний; незвичайний; рідкісні.,P1,grammar-calque-fragment,'exceptional' led with awkward calque 'Формування винятку' (formation of an exception) and ends with number-disagreeing plural adj 'рідкісні' (should be sing. 'рідкісний'); core sense 'незвичайний' present.,medium,R1-listed defect; severity normalized to P1 by Codex acceptance review,definitionUa,"Такий, що становить виняток; незвичайний; рідкісний."
SB-0475,excess,"n., adj.",надлишок,"Стан перевищення або виходу за межі; стан поза достатністю, необхідністю або обов'язком; більше, ніж те, що є звичайним або належним.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0478,exclusively,adv.,виключно,на виключення будь-чого або будь-кого іншого; виключно або цілком,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0479,execute,v.,виконувати,Здійснювати; ввести в дію.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0480,execution,n.,виконання,"Дія, спосіб або стиль виконання (дій, маневрів, вистав).",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0482,exile,n.,вигнання,Стан вигнання з дому чи країни.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0485,experimental,adj.,експериментальний,Відносно або засноване на експерименті.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0489,exploitation,n.,експлуатація,Неправомірне використання чого-небудь в корисливих цілях.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0492,extremist,n.,екстреміст,"Людина, яка дотримується крайніх поглядів, особливо той, хто відстоює такі погляди; радикал або фанатик.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0493,facilitate,v.,сприяти,Зробити легко або легше.,P1,grammar-calque-fragment,'facilitate' glossed 'Зробити легко' uses adverb 'легко' where 'зробити легким/полегшити' is required; 'або легше' is fine.,low,R1-listed defect; severity normalized to P1 by Codex acceptance review,definitionUa,Робити легшим; полегшувати.
SB-0494,faction,n.,фракція,"Група людей, особливо всередині політичної організації, яка висловлює спільні переконання або думку, відмінну від людей, які не є частиною групи.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0498,fatal,adj.,фатальний,Заподіяння смерті або руйнування.,P1,pos-morphology-mismatch,Adjective 'fatal' defined with a noun head 'Заподіяння' ('the causing'); should be adjectival (смертельний/згубний).,high,R1-listed defect; severity normalized to P1 by Codex acceptance review,definitionUa,"Такий, що спричиняє смерть або руйнування; смертельний, згубний."
SB-0499,fate,n.,доля,"Передбачувана причина, сила, принцип або божественна воля, яка визначає події.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0500,favourable,adj.,сприятливий,"Вираження або вказівка ​​на прихильність чи доброзичливість; схвалюючи, заохочуючи.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0501,feat,n.,подвиг; визначне досягнення,Відносно рідкісне або важке досягнення.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0503,fibre,n.,клітковина,Харчові волокна.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0508,firearm,n.,вогнепальна зброя,"Особиста зброя, яка використовує вибуховий порох для приведення в дію снаряда, який часто виготовляється зі свинцю.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0511,flaw,n.,недолік,"Дефект, помилка або недосконалість, особливо прихована.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0512,flawed,adj.,дефектний,Наявність недоліку або недосконалості.,P2,pos-style,The noun phrase 'Наявність недоліку' is understandable but weak for adjective flawed.,medium,Codex seed-20260914 blinded acceptance challenge,,
SB-0513,flee,v.,тікати,Втікати; втекти.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0514,fleet,n.,флот,Група суден або транспортних засобів.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0515,flesh,n.,плоть,"М’які тканини тіла, особливо м’язи та жир.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0516,flexibility,n.,гнучкість,"Якість бути гнучким, фізично чи метафорично.",P1,grammar-calque,'Якість бути гнучким' is an English-pattern calque; idiomatic Ukrainian requires 'здатність/властивість бути гнучким'.,high,Codex seed-20260914 blinded acceptance challenge,,
SB-0518,fluid,n.,рідина,Рідина (на відміну від твердого або газоподібного).,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0519,footage,n.,кадри,"Кількість плівки або стрічки, яка була використана для запису чогось.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0520,foreigner,n.,іноземець,Людина з чужої країни.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0522,formula,n.,формула,План або метод вирішення проблеми або досягнення результату.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0523,formulate,v.,формулювати,Викласти в ясній і певній формі твердження або вираз.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0524,forth,adv.,вперед,"Назовні, уперед або від певного місця; переважно у сталих виразах.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0527,fragile,adj.,крихкий,"Легко ламається, не міцний; з ніжного матеріалу.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0528,franchise,n.,франшиза; право на здійснення діяльності,"Дозвіл, наданий компанією на продаж або розповсюдження своїх товарів чи послуг на певній території.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0533,functional,adj.,функціональний,"Корисний; служіння меті, виконання функції.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0534,fundraising,n.,збір коштів,Процес збору грошей шляхом запитів пожертвувань від приватних осіб і компаній.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0535,funeral,n.,похорон,"Церемонія вшанування та пам’яті померлої людини, яка часто відрізняється від панахиди присутністю тіла померлого.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0537,gambling,n.,азартні ігри,"Діяльність, що характеризується балансом між виграшем і програшем, що регулюється сумішшю навичок і випадковості, як правило, із ставкою на результат.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0539,gaze,"n., v.",погляд,Дивитися пильно або серйозно.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0542,genocide,n.,геноцид,"Систематичне та умисне знищення групи людей; як правило, вбиваючи значну кількість з них на основі їхньої етнічної приналежності, релігії чи національності.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0543,glance,"n., v.",погляд,"Звернути (очі чи погляд) на щось, часто ненадовго.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0545,glorious,adj.,славний,"Демонстрація атрибутів, якостей або вчинків, які гідні чи отримують славу.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0546,glory,n.,слава,"Честь, захоплення чи відзнака, надані особі чи речі за спільною згодою; висока репутація; відомість.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0547,governance,n.,управління,"Процес, або сила, управління; уряд або адміністрація.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0550,grave (for dead person),n.,могила,"Місце в землі, де поховано померлу людину.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0551,grave (serious),adj.,серйозний; тяжкий,"Надзвичайно серйозний, небезпечний або такий, що викликає значне занепокоєння.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0553,grid,n.,сітка,"Система доставки електроенергії, що складається з різних підстанцій, трансформаторів і генераторів, з'єднаних дротом.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0556,grind,v.,молоти,Розрізати на дрібніші шматки шляхом подрібнення бічними рухами.,P1,semantic-pedagogical,"Grind is rendered as cutting by sideways movements; the core action is crushing, rubbing, or milling into smaller particles.",high,Codex seed-20260914 blinded acceptance challenge,,
SB-0559,guerrilla,n.,партизан,"Солдат у невеликій незалежній групі, який бореться проти уряду чи регулярних сил шляхом раптових набігів.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0560,guidance,n.,керівництво,Порада або консультація з якоїсь теми.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0561,guilt,n.,вина,Відповідальність за протиправні дії.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0562,gut,n.,кишка,"Травний тракт, особливо кишечник.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0564,halfway,adv.,на півдорозі,Половина шляху між двома точками.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0566,handful,n.,жменя,"Кількість, яку рука може схопити або вмістити.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0567,handling,n.,поводження,"Торкатися, контролювати, керувати, використовувати, піклуватися тощо рукою або руками або як руками.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0568,handy,adj.,зручний,"Простий у використанні, корисний.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0571,harmony,n.,гармонія,Договір чи згода.,P1,semantic-pedagogical-error,'Договір' (a contract) is wrong for harmony; harmony = 'співзвуччя/злагода'.,high,R1-listed defect; severity normalized to P1 by Codex acceptance review,definitionUa,Злагода або співзвуччя; погодженість.
SB-0573,harvest,"n., v.",урожай,Принести врожай; жати; підбирати.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0574,hatred,n.,ненависть,Сильна відраза; сильна неприязнь.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0575,haunt,v.,переслідувати,Населяти або часто відвідувати (найчастіше використовується стосовно привидів).,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0578,heritage,n.,спадщина,"традиція; практика або набір цінностей, які передаються від попередніх поколінь через сім’ї або через інституційну пам’ять.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0579,hierarchy,n.,ієрархія,"Соціальна, релігійна, економічна чи політична система або організація, в якій люди або групи людей перевищують інших на основі їхнього статусу, авторитету чи інших рис.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0580,high-profile,adj.,гучний,Важливий або добре розрекламований.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0581,hint,"n., v.",підказка,Мати на увазі без прямого твердження; щоб надати підказку.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0582,homeland,n.,батьківщина,"Країна, яку людина вважає домом.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0585,horizon,n.,горизонт,"Видима горизонтальна лінія (у всіх напрямках), де небо, здається, зустрічається з землею на відстані.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0586,horn,n.,ріг,"Твердий наріст кератину, який виступає з верхньої частини голови певних тварин, як правило, парний.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0587,hostage,n.,заручник,"Особа, захоплена з метою примусити іншу сторону діяти (або утримуватися від дій) певним чином через загрозу заподіяння шкоди заручнику.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0588,hostile,adj.,ворожий,Не доброзичливий; відповідний ворогові; показ розташування ворога; прояв злої волі та зловмисності або бажання перешкодити та завдати шкоди.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0589,hostility,n.,ворожість,Стан ворожості.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0590,humanitarian,adj.,гуманітарний,Що стосується добробуту людей.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0591,humanity,n.,людство,Людство; люди як група.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0592,humble,adj.,скромний,"Мати низьку думку про себе; не гордий, зарозумілий або самовпевнений; скромний.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0593,hydrogen,n.,водень,"Найлегший хімічний елемент (символ H), з атомним номером 1 і атомною вагою 1,008.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0595,ideological,adj.,ідеологічний,Що стосується однієї чи кількох ідеологій.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0596,ideology,n.,ідеологія,"Доктрина, філософія, сукупність переконань або принципів, що належать окремій особі чи групі.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0598,ignorance,n.,незнання,Стан необізнаності або неосвіченості; брак знань або інформації.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0599,imagery,n.,зображення,"Риторичне оформлення в письмовій чи усній формі; яскраві описи, що представляють або навіюють образи чуттєвих об'єктів; фігури в дискурсі.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0600,immense,adj.,величезний,"Величезний, гігантський, дуже великий.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0602,implementation,n.,впровадження,"Процес переходу ідеї від концепції до реальності. У бізнесі, інженерії та інших сферах реалізація відноситься до процесу будівництва, а не до процесу проектування.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0605,inability,n.,неспроможність,Відсутність вміння щось робити; недієздатність.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0610,inclusion,n.,включення,"Акт включення, тобто додавання або анексування (чогось) до групи, набору або сукупності.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0611,incur,v.,понести,"Накликати на себе або піддаватися, особливо чомусь незручному, шкідливому чи обтяжливому; стати відповідальним або підлягати.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0614,indigenous,adj.,корінний,"Народився або походить з країни чи регіону, особливо до вторгнення.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0619,infant,n.,немовля,"Дуже молода людська істота, від народження до віку від шести місяців до двох років після народження, яка потребує майже постійного догляду та уваги.",P2,semantic-scope,The six-month-to-two-year boundary is unnecessarily rigid and culturally/source dependent.,medium,Codex seed-20260914 blinded acceptance challenge,,
SB-0620,infect,v.,заразити,"Привести (тіло або його частину) в контакт з речовиною, що викликає хворобу (збудником), щоб збудник почав діяти на організм;",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0622,influential,adj.,впливовий,Володіння чи здійснення впливу.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0623,inherent,adj.,властивий,"Природно, як частина або наслідок чогось.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0626,inject,v.,вводити,"Робити ін’єкцію (комусь або чомусь), особливо ліків або наркотиків.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0628,injustice,n.,несправедливість,Порушення прав іншої людини чи людей.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0629,inmate,n.,в'язень,"Особа, яка перебуває в установі, наприклад, в’язниці (як засуджений) або лікарні (як пацієнт).",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0630,insertion,n.,вставка,Акт вставки або щось вставлене.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0631,insider,n.,інсайдер,"Особа, яка володіє спеціальними знаннями про внутрішню роботу групи, організації чи установи.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0632,inspect,v.,оглядати,Вивчати критично або уважно; особливо для пошуку проблем або визначення стану; придивлятися.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0633,inspection,n.,огляд,"Акт вивчення чогось, часто уважно.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0634,inspiration,n.,натхнення,"Акт або процес піднесення чи стимулювання впливу на інтелект, емоції чи творчість.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0635,instinct,n.,інстинкт,Природний або вроджений імпульс або поведінка.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0636,institutional,adj.,інституційний,"З, відноситься до, характерний або організований за принципами установи.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0639,insufficient,adj.,недостатній,"Недостатньо; типу або виду, якого недостатньо, який не задовольняє вимоги чи потреби.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0642,intake,n.,споживання,Прийнята кількість.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0644,integrated,adj.,інтегрований,"складений і скоординований, щоб утворити ціле",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0647,intellectual,n.,інтелектуал,"Розумна, вчена людина, особливо та, яка говорить про вчені питання.",P1,semantic-pedagogical-error,Defining trait 'говорить про вчені питання' (merely talks about learned matters) misrepresents 'intellectual'.,medium,R1-listed defect; severity normalized to P1 by Codex acceptance review,definitionUa,"Розумна, освічена людина, особливо та, яка займається інтелектуальною працею."
SB-0648,intensify,v.,посилити,Стати інтенсивним або більш інтенсивним; діяти зі зростаючою силою чи енергією.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0649,intensity,n.,інтенсивність,Якість інтенсивності.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0650,intensive,adj.,інтенсивний,Виконується з інтенсивністю або значною мірою; ретельний.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0651,intent,n.,намір,Щось призначене.,P1,semantic-pedagogical,"Intent is defined as 'Щось призначене' rather than an intention, purpose, or aim.",high,Codex seed-20260914 blinded acceptance challenge,,
