id,word,pos,ua,definitionUa,semantic_fidelity,idiomatic_ukrainian,grammar_morphology_syntax_punctuation_word_order,pos_alignment,learner_register,russianism_surzhyk_calque_risk,ua_definition_consistency,pedagogical_accuracy,ui_formatting_integrity,pass_a_disposition,category,confidence,rationale,proposed_target,proposed_value
SB-1521,parallel,word family,паралельний,У всіх точках однаково віддалені один від одного.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,PASS,PASS,PASS,P1,number-agreement,high,Plural «віддалені» does not agree with singular паралельний.,definitionUa,"Такий, що в усіх точках залишається на однаковій відстані від іншої лінії чи площини."
SB-1522,parameters,word family,параметри,"Значення, яке залишається постійним під час експерименту, рівняння, розрахунку чи подібного, але змінюється в інших версіях експерименту, рівняння, розрахунку тощо.",PASS,PASS,DEFECT,PASS,PASS,PASS,DEFECT,PASS,PASS,P1,number-agreement,high,Plural parameters is defined as one value.,definitionUa,"Значення або умови, що визначають систему, обчислення чи експеримент."
SB-1524,predicted,word family,передбачив,відомо заздалегідь,PASS,PASS,DEFECT,DEFECT,PASS,PASS,DEFECT,PASS,DEFECT,P1,pos-alignment,high,ua masculine past «передбачив» and lowercase impersonal «відомо» do not align with predicted.,ua+definitionUa,ua: передбачений | definitionUa: Визначений або очікуваний заздалегідь.
SB-1525,prior,word family,попередній,"Прихід раніше за порядком або часом; раніше, колишній, попередній.",PASS,PASS,DEFECT,DEFECT,PASS,PASS,PASS,PASS,PASS,P1,pos-alignment,high,The noun «Прихід» does not define the adjective prior.,definitionUa,"Попередній у часі, порядку або важливості."
SB-1527,project,word family,проект,"Запланована спроба, як правило, з конкретною метою, яка виконується в кілька кроків або етапів.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1530,retained,word family,зберігається,"продовжується у вашому зберіганні, використанні чи пам’яті",PASS,PASS,DEFECT,DEFECT,DEFECT,PASS,DEFECT,PASS,PASS,P1,pos-alignment,high,ua present impersonal «зберігається» and second-person «вашому» do not align with retained.,ua+definitionUa,"ua: збережений | definitionUa: Утриманий, збережений або залишений для подальшого використання чи пам’яті."
SB-1532,statistics,word family,статистика,"Систематичний збір даних вимірювань або спостережень, часто пов’язаних із демографічною інформацією, такою як підрахунок населення, доходи, підрахунок населення в різному віці тощо.",DEFECT,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P2,sense-coverage,medium,The definition narrows statistics to demographic collections and repeats population count.,definitionUa,"Числові дані та наука про їх збирання, аналіз і тлумачення."
SB-1533,status,word family,статус,"Стан, положення або становище людини відносно інших.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1534,stress,word family,стрес,"Емоційний тиск, який відчуває людина чи інша тварина.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1536,sum,word family,сума,"Величина, отримана додаванням або агрегацією.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1539,academic,word family,академічний,"Належність до академії чи іншого вищого навчального закладу, наукового товариства чи організації.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1540,alter,word family,змінювати,Щоб змінити форму або структуру.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,PASS,PASS,PASS,P2,grammar-syntax,medium,The purpose construction «Щоб змінити» does not directly define the verb.,definitionUa,"Змінювати форму, властивість або структуру чогось."
SB-1542,capacity,word family,місткість,"Здатність утримувати, приймати або поглинати.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1544,clause,word family,пункт,"Група слів, яка містить підмет і дієслово; це може бути частиною речення або може становити все речення, залежно від синтаксису в кожному випадку.",DEFECT,PASS,PASS,PASS,PASS,PASS,DEFECT,DEFECT,PASS,P1,ua-definition-consistency,high,ua «пункт» does not match the grammatical clause explicitly defined.,ua+definitionUa,"ua: речення; клауза | definitionUa: Група слів із підметом і присудком, що є частиною складного речення або окремим реченням."
SB-1545,compounds,word family,сполуки,"Все, що зроблено шляхом поєднання кількох речей.",PASS,PASS,DEFECT,PASS,PASS,PASS,DEFECT,PASS,PASS,P1,number-agreement,high,"Plural compounds is defined with singular «Все, що».",definitionUa,"Речовини або об’єкти, утворені поєднанням двох чи більше складників."
SB-1546,conflict,word family,конфлікт,"Зіткнення або розбіжності, часто насильницькі, між двома чи більше протиборчими групами чи особами.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1547,contact,word family,контакт,Встановлення зв'язку (з).,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1552,entities,word family,сутності,"Те, що існує як окрема одиниця, часто використовується для організацій, які не мають фізичної форми.",PASS,PASS,DEFECT,PASS,PASS,PASS,DEFECT,PASS,PASS,P1,number-agreement,high,"Plural entities is defined with singular «Те, що».",definitionUa,Окремі самостійні об’єкти або організації.
SB-1554,evolution,word family,еволюція,Процес розвитку.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1555,expansion,word family,розширення,"Дія, процес або випадок розширення.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1557,external,word family,зовнішній,Поза чим-небудь; на зовнішній вигляд.,DEFECT,DEFECT,PASS,PASS,PASS,PASS,DEFECT,PASS,PASS,P1,semantic-fidelity,high,«На зовнішній вигляд» means apparently and does not define external.,definitionUa,Розташований поза чимось або пов’язаний із зовнішньою стороною.
SB-1558,fundamental,word family,фундаментальний,Основний; надзвичайно важливо.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,PASS,PASS,PASS,P1,pos-alignment,high,Adverbial «надзвичайно важливо» does not agree with the adjective.,definitionUa,"Основний, базовий або надзвичайно важливий."
SB-1559,generated,word family,створений,Приводити в життя; породжувати.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,DEFECT,PASS,PASS,P1,pos-alignment,high,"Generated is an adjective/past participle, but the definition uses present infinitives.",definitionUa,"Створений, вироблений або породжений певним процесом."
SB-1560,generation,word family,покоління,"Група людей, які народилися в певний період років і члени якої можуть мати культурні стосунки один з одним.",PASS,DEFECT,PASS,PASS,PASS,DEFECT,PASS,DEFECT,PASS,P1,calque-russianism,high,"«Певний період років» and «культурні стосунки» are literal, unidiomatic renderings.",definitionUa,"Група людей, народжених приблизно в один період і сформованих спільними історичними та культурними умовами."
SB-1561,image,word family,зображення,Візуальне чи інше зображення зовнішньої форми чогось у мистецтві.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1562,licence,word family,ліцензія,"Офіційний дозвіл на певну діяльність, володіння або використання чогось.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1563,medical,word family,медичний,Про медичну практику або пов’язану з нею.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,PASS,PASS,PASS,P1,grammar-syntax,high,The definition begins with a noun «Про» construction and then uses feminine agreement.,definitionUa,Пов’язаний із медициною або медичною практикою.
SB-1564,mental,word family,психічний,Що стосується розуму чи конкретно повної емоційної та інтелектуальної реакції індивіда на зовнішню реальність.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1565,modified,word family,змінений,змінений; змінено,PASS,PASS,DEFECT,PASS,PASS,PASS,PASS,DEFECT,DEFECT,P2,ui-formatting,medium,The lowercase definition repeats mixed adjective and impersonal forms.,definitionUa,Змінений порівняно з початковою формою.
SB-1566,monitoring,word family,моніторинг,"Здійснення спостереження за навколишнім середовищем чи людьми або безперервне чи регулярне спостереження за ними з метою виявлення сигналів, рухів або змін стану чи якості.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1568,notion,word family,поняття,"Ментальне сприйняття всього, що можна знати, думати або уявляти; ідея, концепція.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1573,psychology,word family,психологія,Вивчення людського розуму.,DEFECT,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P2,sense-coverage,medium,"Psychology studies mind and behavior, not only the human mind.",definitionUa,"Наука про психіку, поведінку та психічні процеси людей."
SB-1575,rejected,word family,відхилено,Відхилений або не прийнятий після розгляду.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,DEFECT,PASS,PASS,P2,pos-alignment,medium,ua impersonal «відхилено» does not align cleanly with rejected.,ua,відхилений
SB-1576,revenue,word family,дохід,"Загальний дохід, отриманий із певного джерела.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1579,target,word family,мета,Ціль або завдання.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1580,transition,word family,перехід,"Процес зміни однієї форми, стану, стилю чи місця в інше.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1582,version,word family,версія,Певна форма або варіація чогось.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1591,author,word family,автор,"Автор або творець твору, особливо літературного твору; або один із творців спільного твору.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1593,brief,word family,короткий,Короткочасний; відбувається швидко.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1594,capable,word family,здатний,"Умілий та ефективний; наявність здібностей, необхідних для конкретного завдання; наявність бажання щось зробити; дозволяти або бути сприйнятливим до чогось.",DEFECT,PASS,DEFECT,DEFECT,PASS,PASS,PASS,DEFECT,PASS,P1,semantic-fidelity,high,The definition uses noun phrases and wrongly treats willingness as part of being capable.,definitionUa,"Такий, що має потрібні здібності або спроможний виконати певне завдання."
SB-1597,diversity,word family,різноманітність,Якість різноманітності або відмінності; відмінність чи несхожість.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1598,edition,word family,видання,"Повна кількість примірників твору, надрукованого та виданого за один раз.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1599,enhanced,word family,посилений,"У версії або формі, яка була вдосконалена або краща за іншу стандартну форму.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1601,exceed,word family,перевищувати,Виходити за (якусь межу); перевершити; бути довшим ніж.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1602,expert,word family,експерт,Людина з широкими знаннями або здібностями в певній темі.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1603,federal,word family,федеральний,"Відноситься до рівня національного уряду у федеративній країні, на відміну від рівня штату, провінції, округу, міста чи селища.",PASS,DEFECT,PASS,PASS,PASS,DEFECT,PASS,PASS,PASS,P1,calque-russianism,high,«Відноситься до» is a Russian-influenced calque.,definitionUa,Пов’язаний із федеральним або загальнонаціональним рівнем влади у федерації.
SB-1606,gender,word family,стать,"Ідентифікація як чоловіка, жінки чи чогось іншого та асоціація з (соціальною) роллю або набором поведінкових і культурних рис, одягу тощо; категорія, до якої за цією ознакою належить особа.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1608,incentive,word family,стимул,"Щось, що мотивує, збуджує або заохочує.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1610,index,word family,індекс,Алфавітний список предметів і їх розташування.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1613,input,word family,введення,"Дані, що вводяться в процес, мають намір формувати чи впливати на результат цього процесу.",DEFECT,DEFECT,DEFECT,PASS,PASS,DEFECT,PASS,PASS,PASS,P1,semantic-fidelity,high,Data cannot «мати намір»; the literal construction assigns intention to input.,definitionUa,"Дані або ресурси, що надходять у процес і впливають на його результат."
SB-1614,instructions,word family,інструкції,"Вказівки, які пояснюють, що або як потрібно зробити.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1615,intelligence,word family,інтелект,"Здатність розуму, особливо розуміти принципи, істини, факти чи значення, здобувати знання та застосовувати їх на практиці; здатність осягати і вчитися;",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1617,lecture,word family,лекція,"Розмовний урок або експозиція, як правило, для групи.",DEFECT,DEFECT,PASS,PASS,PASS,PASS,DEFECT,PASS,PASS,P1,semantic-fidelity,high,«Експозиція» is a false friend here; a lecture is an oral presentation or lesson.,definitionUa,Усний навчальний виклад або виступ перед групою слухачів.
SB-1618,minimum,word family,мінімум,Найменша сума.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1619,motivation,word family,мотивація,Стимул або причина щось робити.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1623,preceding,word family,попередній,"Відбувається до або перед чимось іншим, у часі, місці, ранзі чи послідовності.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1627,subsidiary,word family,дочірнє підприємство,"Компанія, що належить материнській компанії або холдинговій компанії, також називається дочірньою компанією або дочірньою компанією.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P2,pedagogical-definition,medium,The definition repeats «дочірня компанія» twice.,definitionUa,"Компанія, яку контролює материнська або холдингова компанія."
SB-1628,tapes,word family,стрічки,Гнучкий матеріал в рулоні з липкою поверхнею з одного або обох боків; липка стрічка.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1633,chemical,word family,хімічний,З хімії або пов'язаної з нею.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,PASS,PASS,PASS,P1,grammar-syntax,high,«З хімії або пов’язаної з нею» is a fragment with feminine agreement.,definitionUa,Пов’язаний із хімією або хімічними речовинами.
SB-1637,confirmed,word family,підтверджено,Перевірено або ратифіковано.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,DEFECT,PASS,PASS,P2,pos-alignment,medium,ua impersonal «підтверджено» does not align cleanly with confirmed.,ua,підтверджений
SB-1638,converted,word family,перетворений,змінилася форма чи функція тощо.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,DEFECT,PASS,DEFECT,P1,pos-alignment,high,Lowercase feminine past «змінилася» does not align with masculine converted.,definitionUa,"Перетворений на іншу форму, функцію або систему."
SB-1639,couple,word family,пара,Два партнери в романтичних або сексуальних стосунках.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1640,decades,word family,десятиліть,Періоди тривалістю по десять років.,PASS,PASS,DEFECT,PASS,PASS,PASS,DEFECT,PASS,PASS,P1,case-alignment,high,ua genitive «десятиліть» does not match nominative plural decades.,ua,десятиліття
SB-1641,definite,word family,певний,Без жодних сумнівів.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1642,deny,word family,заперечувати,"Стверджувати, що щось неправда.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1644,eliminate,word family,ліквідувати,"Повністю прибрати, позбутися, покінчити.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1645,equipment,word family,обладнання,"Будь-які предмети, які використовуються для спорядження чогось або когось, наприклад речі, необхідні для експедиції чи плавання.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1646,file,word family,файл,"Збірка документів, зібраних і архівованих разом.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1647,finite,word family,кінцевий,"Такий, що має визначену межу, кінець або обмежену кількість.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1648,foundation,word family,основа,"Те, на чому все засновано; те, на чому що-небудь стоїть і чим воно підтримується; нижній і опорний шар надбудови; підбудова.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1649,global,word family,глобальний,Щодо всіх частин світу.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1650,grade,word family,клас,"Виконання тесту чи іншого оцінювання, виражене цифрою, літерою чи іншим символом; оцінка.",DEFECT,PASS,PASS,PASS,PASS,PASS,DEFECT,DEFECT,PASS,P1,ua-definition-consistency,high,ua «клас» conflicts with the definition's assessment-mark sense.,ua+definitionUa,"ua: оцінка | definitionUa: Результат оцінювання, виражений числом, літерою чи іншим символом."
SB-1651,guarantee,word family,гарантія,"Все, що забезпечує певний результат.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1652,hierarchical,word family,ієрархічний,Що стосується ієрархії.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1653,identical,word family,однакові,"Маючи повну схожість, маючи абсолютно однаковий набір характеристик; нерозрізнений.",PASS,PASS,DEFECT,DEFECT,PASS,PASS,DEFECT,PASS,PASS,P1,number-agreement,high,Plural ua «однакові» and participial definition do not align with singular identical.,ua+definitionUa,ua: однаковий; ідентичний | definitionUa: Цілком такий самий за всіма істотними ознаками.
SB-1658,media,word family,ЗМІ,Засоби та інститути публікації та трансляції інформації.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1660,paradigm,word family,парадигма,"Зразок, спосіб виконання чогось; особливо модель мислення, система вірувань, концептуальна основа.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1661,phenomenon,word family,явище,"Річ або істота, подія або процес, що сприймаються органами чуття; або факт чи подія цього.",PASS,DEFECT,DEFECT,PASS,PASS,PASS,PASS,DEFECT,PASS,P1,grammar-syntax,high,The ending «факт чи подія цього» is grammatically meaningless.,definitionUa,"Подія, факт або процес, які можна спостерігати чи досліджувати."
SB-1662,priority,word family,пріоритет,Відносна важливість елемента.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1663,prohibited,word family,заборонено,Заборонено; заборонений; недозволено.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,DEFECT,PASS,PASS,P2,pos-alignment,medium,"ua and the definition mix impersonal, masculine adjective, and impersonal adverb forms.",ua+definitionUa,"ua: заборонений | definitionUa: Не дозволений правилом, законом або владою."
SB-1664,publication,word family,публікація,Акт видання друкованого чи іншого видання.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1665,quotation,word family,цитата,"Фрагмент людського виразу, який повторює хтось інший, наприклад, з літератури чи відомої промови.",PASS,DEFECT,PASS,PASS,PASS,DEFECT,PASS,DEFECT,PASS,P1,calque-russianism,high,«Фрагмент людського виразу» is a literal and unidiomatic rendering of someone's words.,definitionUa,Точне відтворення слів іншої людини або уривка з тексту.
SB-1667,somewhat,word family,дещо,В обмеженій мірі або ступені; не повністю.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1669,survive,word family,вижити,"Про людину, продовжувати жити; залишитися живим.",DEFECT,PASS,DEFECT,PASS,PASS,PASS,PASS,DEFECT,PASS,P1,grammar-syntax,high,"«Про людину, продовжувати жити» is a broken construction and unnecessarily excludes other organisms or persistence.",definitionUa,Залишатися живим після небезпеки; також продовжувати існувати.
SB-1670,thesis,word family,теза,"Розгорнута наукова робота або основне твердження, яке автор обґрунтовує доказами.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1672,ultimately,word family,зрештою,Зрештою; нарешті.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1675,voluntary,word family,добровільний,"Робиться, дається або діє за власним бажанням.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1677,accompanied,word family,у супроводі,Наявність супроводу; бути частиною групи щонайменше з двох.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,DEFECT,PASS,PASS,P1,pos-alignment,high,Prepositional ua «у супроводі» and noun/infinitive definition do not align with accompanied.,ua+definitionUa,"ua: супроводжуваний; у супроводі | definitionUa: Такий, що прибув або відбувся разом із кимось чи чимось."
SB-1678,ambiguous,word family,неоднозначний,Відкритий для багатьох інтерпретацій.,DEFECT,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P2,semantic-fidelity,medium,«Багатьох інтерпретацій» overstates the sense; ambiguity requires more than one plausible meaning.,definitionUa,"Такий, що допускає кілька різних тлумачень і не має одного ясного значення."
